,industry,index_x
19277,Biotechnology,43141.0
19278,Biotechnology,348.0
19279,Biotechnology,255060.0
19280,Internet Software & Services,8432.0
19286,Medical Information,960.0
19295,Drug Development,6863.0
19296,Medical Facilities & Services,17682.0
19302,Medical Devices & Equipment,9988.0
19304,Biotechnology,501893.0
19305,Drug Development,40998.0
19306,Medical Devices & Equipment,42243.0
19310,Drug Delivery,6615.0
19311,Medical Facilities & Services,38702.0
19312,Biotechnology,503317.0
19315,Biotechnology,503978.0
19316,Biotechnology,86603.0
19317,Biotechnology,41595.0
19340,Pharmaceuticals / Drugs,40146.0
19345,Medical Facilities & Services,504637.0
19350,Pharmaceuticals / Drugs,523193.0
19351,Healthcare Software,541630.0
19355,Medical Devices & Equipment,26478.0
19356,Biotechnology,494646.0
19363,Medical Equipment & Supplies,513923.0
19365,Healthcare Software,549662.0
19367,Medical Equipment & Supplies,492540.0
19370,Healthcare Software,508632.0
19371,Medical Facilities & Services,506788.0
19373,Medical Devices & Equipment,524070.0
19375,Medical Devices & Equipment,529415.0
19380,Medical Devices & Equipment,531393.0
19383,Drug Delivery,533953.0
19390,Medical Devices & Equipment,57830.0
19391,Healthcare Software,25733.0
19392,Internet Software & Services,336470.0
19393,Drug Discovery,336695.0
19394,Medical Facilities & Services,336734.0
19395,Medical Facilities & Services,15941.0
19396,Biotechnology,36423.0
19397,Pharmaceuticals / Drugs,36426.0
19398,Pharmaceuticals / Drugs,23539.0
19399,Biotechnology,42053.0
19400,Medical Devices & Equipment,36515.0
19401,Medical Facilities & Services,42075.0
19402,Medical Facilities & Services,16955.0
19404,Pharmaceuticals / Drugs,8190.0
19405,Drug Discovery,4980.0
19406,Biotechnology,36845.0
19407,Drug Discovery,12645.0
19408,Medical Devices & Equipment,4999.0
19409,Biotechnology,17857.0
19410,Biotechnology,17910.0
19411,Pharmaceuticals / Drugs,560.0
19412,Pharmaceuticals / Drugs,42932.0
19413,Healthcare Software,79056.0
19414,Biotechnology,25283.0
19415,Drug Delivery,15939.0
19416,Medical Devices & Equipment,13533.0
19417,Drug Development,21740.0
19418,Medical Devices & Equipment,15932.0
19420,Medical Devices & Equipment,25135.0
19421,Medical Facilities & Services,23886.0
19422,Medical Devices & Equipment,26545.0
19423,Medical Devices & Equipment,5284.0
19424,Pharmaceuticals / Drugs,9844.0
19425,Dental Products & Services,80740.0
19426,Medical Equipment & Supplies,43701.0
19427,Medical Devices & Equipment,353.0
19428,Medical Devices & Equipment,8179.0
19429,Medical Facilities & Services,9679.0
19430,Medical Devices & Equipment,36709.0
19433,Medical Facilities & Services,41559.0
19434,Medical Facilities & Services,43833.0
19436,Medical Facilities & Services,43855.0
19437,Medical Facilities & Services,9311.0
19438,Medical Devices & Equipment,3921.0
19439,Pharmaceuticals / Drugs,25853.0
19440,Pharmaceuticals / Drugs,5904.0
19441,Healthcare Software,10204.0
19442,Biotechnology,38887.0
19443,Medical Devices & Equipment,44071.0
19444,Medical Devices & Equipment,14343.0
19445,Pharmaceuticals / Drugs,41382.0
19446,Medical Devices & Equipment,85024.0
19447,Pharmaceuticals / Drugs,13437.0
19448,Pharmaceuticals / Drugs,44472.0
19449,Internet Software & Services,19911.0
19450,Internet Software & Services,79724.0
19451,Medical Facilities & Services,15994.0
19452,Biotechnology,186.0
19453,Medical Equipment & Supplies,39529.0
19454,Biotechnology,44627.0
19455,Medical Devices & Equipment,9527.0
19456,Medical Devices & Equipment,4896.0
19457,Medical Information,8726.0
19458,Medical Devices & Equipment,7873.0
19459,Medical Devices & Equipment,5984.0
19460,Medical Devices & Equipment,5985.0
19461,Medical Devices & Equipment,44951.0
19462,Medical Devices & Equipment,1727.0
19463,Medical Facilities & Services,40282.0
19464,Pharmaceuticals / Drugs,21744.0
19465,Biotechnology,45296.0
19466,Medical Facilities & Services,45340.0
19467,Medical Facilities & Services,266209.0
19468,Medical Facilities & Services,40757.0
19469,Healthcare Software,1500.0
19470,Biotechnology,235862.0
19471,Drug Development,743.0
19472,Biotechnology,341103.0
19473,Medical Facilities & Services,388317.0
19474,Medical Devices & Equipment,42973.0
19476,Medical Devices & Equipment,494266.0
19477,Biotechnology,500005.0
19479,Drug Development,507410.0
19485,Healthcare Software,508645.0
19489,Healthcare Software,515750.0
19490,Disease Diagnosis,518161.0
19492,Drug Development,526874.0
19495,Medical Devices & Equipment,533138.0
19496,Medical Devices & Equipment,536176.0
19499,Medical Equipment & Supplies,541006.0
19500,Drug Development,8976.0
19501,Biotechnology,42879.0
19502,Healthcare Software,518980.0
19504,Drug Development,364958.0
19506,Medical Devices & Equipment,8455.0
19508,Drug Development,496185.0
19517,Drug Development,503382.0
19522,Pharmaceuticals / Drugs,14972.0
19523,Drug Delivery,17597.0
19525,Medical Devices & Equipment,5999.0
19527,Medical Devices & Equipment,493734.0
19531,Medical Equipment & Supplies,533578.0
19533,Biotechnology,24055.0
19534,Healthcare Software,16658.0
19543,Pharmaceuticals / Drugs,43121.0
19545,Biotechnology,492304.0
19547,Biotechnology,6663.0
19570,Biotechnology,523527.0
19571,Biotechnology,8822.0
19572,Drug Discovery,13568.0
19577,Biotechnology,42864.0
19586,Medical Facilities & Services,37752.0
19587,Medical Facilities & Services,23554.0
19593,Biotechnology,24278.0
19602,Drug Discovery,10983.0
19603,Medical Devices & Equipment,11506.0
19605,Biotechnology,526298.0
19609,Biotechnology,230233.0
19610,Medical Facilities & Services,37684.0
19619,Drug Development,494663.0
19620,Biotechnology,503177.0
19623,Biotechnology,513221.0
19628,Pharmaceuticals / Drugs,499213.0
19629,Biotechnology,13523.0
19644,Medical Devices & Equipment,23854.0
19650,Biotechnology,76374.0
19651,Pharmaceuticals / Drugs,39802.0
19655,Pharmaceuticals / Drugs,7114.0
19659,Pharmaceuticals / Drugs,24391.0
19671,Biotechnology,519506.0
19672,Biotechnology,530355.0
19675,Healthcare Software,532966.0
19677,Drug Delivery,507741.0
19682,Medical Facilities & Services,42745.0
19685,Biotechnology,529653.0
19688,Biotechnology,44258.0
19689,Disease Diagnosis,530811.0
19690,Medical Devices & Equipment,40551.0
19691,Drug Discovery,18680.0
19692,Drug Development,43116.0
19698,Medical Facilities & Services,36359.0
19701,Medical Devices & Equipment,36411.0
19704,Medical Devices & Equipment,43641.0
19705,Disease Diagnosis,13294.0
19711,Biotechnology,499733.0
19712,Medical Facilities & Services,548445.0
19715,Medical Equipment & Supplies,505848.0
19716,Medical Equipment & Supplies,526125.0
19717,Healthcare Software,529438.0
19723,Healthcare Software,532967.0
19724,Disease Diagnosis,499721.0
19726,Medical Devices & Equipment,518921.0
19727,Healthcare Software,525487.0
19731,Medical Facilities & Services,535560.0
19732,Medical Facilities & Services,538385.0
19734,Internet Software & Services,24149.0
19735,Biotechnology,36385.0
19741,Healthcare Software,57421.0
19742,Healthcare Software,501649.0
19743,Biotechnology,501889.0
19744,Medical Devices & Equipment,512679.0
19746,Healthcare Software,520972.0
19747,Medical Devices & Equipment,526092.0
19750,Medical Facilities & Services,525171.0
19751,Stealth Mode,526478.0
19752,Disease Diagnosis,530817.0
19753,Biotechnology,533255.0
19754,Biotechnology,545195.0
19757,Medical Devices & Equipment,544065.0
19758,Medical Devices & Equipment,21461.0
19763,Medical Devices & Equipment,38855.0
19766,Biotechnology,43214.0
19767,Healthcare Software,1542.0
19768,Drug Delivery,551309.0
19769,Pharmaceuticals / Drugs,38861.0
19778,Medical Devices & Equipment,44530.0
19783,Drug Development,516785.0
19788,Healthcare Software,14521.0
19790,Medical Facilities & Services,45538.0
19793,Healthcare Software,8313.0
19794,Drug Development,5750.0
19797,Pharmaceuticals / Drugs,40206.0
19798,Health & Wellness (non-internet/mobile)…,46506.0
19805,Healthcare Software,545513.0
19806,Biotechnology,40517.0
19808,Pharmaceuticals / Drugs,24454.0
19817,Medical Devices & Equipment,546472.0
19818,Medical Devices & Equipment,42339.0
19824,Medical Facilities & Services,37070.0
19833,Disease Diagnosis,495408.0
19835,Drug Development,496951.0
19837,Biotechnology,42728.0
19838,Drug Development,517834.0
19839,Stealth Mode,525382.0
19840,Medical Facilities & Services,530768.0
19841,Medical Devices & Equipment,536400.0
19843,Healthcare Software,543882.0
19844,Medical Facilities & Services,13519.0
19846,Biotechnology,513703.0
19847,Medical Devices & Equipment,52474.0
19854,Biotechnology,43678.0
19856,Drug Development,41875.0
19865,Medical Facilities & Services,513634.0
19867,Biotechnology,533083.0
19873,Medical Facilities & Services,14426.0
19875,Medical Facilities & Services,9872.0
19878,Drug Delivery,16664.0
19883,Biotechnology,536740.0
19884,Medical Devices & Equipment,15931.0
19887,Medical Facilities & Services,41610.0
19889,Pharmaceuticals / Drugs,1190.0
19890,Medical Facilities & Services,511230.0
19892,Medical Devices & Equipment,449518.0
19893,Drug Discovery,1893.0
19896,Drug Development,500030.0
19897,Disease Diagnosis,512711.0
19900,Medical Devices & Equipment,16694.0
19905,Healthcare Software,525144.0
19906,Healthcare Software,509902.0
19911,Biotechnology,502719.0
19912,Pharmaceuticals / Drugs,278211.0
19913,Healthcare Software,520745.0
19914,Medical Devices & Equipment,520421.0
19915,Drug Development,524581.0
19916,Pharmaceuticals / Drugs,532352.0
19918,Healthcare Software,546220.0
19920,Biotechnology,255292.0
19921,Healthcare Software,114921.0
19922,Drug Manufacturing,487006.0
19923,Biotechnology,493238.0
19927,Healthcare Software,500583.0
19929,Medical Devices & Equipment,508237.0
19931,Medical Devices & Equipment,504121.0
19935,Medical Devices & Equipment,502247.0
19938,Healthcare Software,504257.0
19940,Biotechnology,502458.0
19943,Biotechnology,502721.0
19945,Medical Equipment & Supplies,513916.0
19950,Biotechnology,520261.0
19952,Drug Development,520255.0
19954,Biotechnology,520975.0
19955,Medical Equipment & Supplies,522430.0
19958,Medical Equipment & Supplies,525422.0
19959,Medical Equipment & Supplies,524737.0
19960,Biotechnology,525491.0
19963,Biotechnology,530276.0
19967,Medical Facilities & Services,533172.0
19971,Pharmaceuticals / Drugs,532789.0
19972,Pharmaceuticals / Drugs,535786.0
19973,Medical Equipment & Supplies,548100.0
19974,Medical Devices & Equipment,549355.0
19976,Medical Devices & Equipment,15045.0
19977,Biotechnology,234119.0
19978,Medical Facilities & Services,15943.0
19979,Healthcare Software,507303.0
19980,Healthcare Software,519652.0
19983,Medical Devices & Equipment,15052.0
19987,Biotechnology,517969.0
19988,Biotechnology,537495.0
19990,Biotechnology,543167.0
19996,Biotechnology,17533.0
20004,Biotechnology,530521.0
20008,Healthcare Software,41696.0
20011,Medical Devices & Equipment,39797.0
20012,Biotechnology,45868.0
20013,Medical Facilities & Services,26154.0
20015,Drug Development,514287.0
20016,Biotechnology,546845.0
20018,Medical Facilities & Services,274383.0
20019,Biotechnology,36357.0
20022,Medical Facilities & Services,42775.0
20024,Pharmaceuticals / Drugs,45637.0
20025,Medical Devices & Equipment,502857.0
20028,Healthcare Software,529027.0
20030,Drug Manufacturing,241208.0
20031,Biotechnology,235.0
20037,Medical Facilities & Services,12861.0
20038,Medical Facilities & Services,37602.0
20039,Mobile Software & Services,274066.0
20040,Drug Development,277391.0
20041,Internet Software & Services,277515.0
20042,Internet Software & Services,228591.0
20043,Medical Devices & Equipment,293245.0
20044,Medical Devices & Equipment,428237.0
20046,Mobile Software & Services,402129.0
20047,Biotechnology,494352.0
20048,Medical Devices & Equipment,506236.0
20049,Medical Facilities & Services,497627.0
20050,Medical Devices & Equipment,496849.0
20051,Drug Development,513913.0
20052,Healthcare Software,516935.0
20055,Medical Facilities & Services,542449.0
20056,Medical Facilities & Services,272624.0
20057,Medical Facilities & Services,272625.0
20058,Medical Product Distribution,272626.0
20059,Medical Facilities & Services,272627.0
20060,Mobile Software & Services,240779.0
20061,Biotechnology,22563.0
20063,Medical Devices & Equipment,300172.0
20064,Drug Development,308863.0
20065,Medical Devices & Equipment,285318.0
20066,Medical Devices & Equipment,39997.0
20068,Biotechnology,89904.0
20075,Pharmaceuticals / Drugs,5361.0
20078,Drug Discovery,27463.0
20079,Pharmaceuticals / Drugs,8953.0
20082,Biotechnology,37601.0
20084,Medical Facilities & Services,492723.0
20087,Biotechnology,495070.0
20088,Biotechnology,496689.0
20095,Medical Devices & Equipment,509297.0
20098,Biotechnology,510893.0
20101,Biotechnology,523850.0
20102,Medical Devices & Equipment,528228.0
20103,Medical Devices & Equipment,531588.0
20104,Medical Facilities & Services,536352.0
20105,Medical Facilities & Services,535807.0
20106,Medical Facilities & Services,536932.0
20107,Medical Facilities & Services,544676.0
20108,Drug Development,550098.0
20111,Medical Devices & Equipment,39888.0
20119,Disease Diagnosis,531643.0
20122,Biotechnology,544764.0
20125,Pharmaceuticals / Drugs,42941.0
20135,Healthcare Software,15779.0
20139,Biotechnology,15191.0
20145,Medical Devices & Equipment,20531.0
20151,Drug Development,509511.0
20152,Medical Equipment & Supplies,514017.0
20157,Biotechnology,44847.0
20158,Drug Discovery,23560.0
20159,Medical Devices & Equipment,9283.0
20166,Pharmaceuticals / Drugs,21786.0
20167,Medical Facilities & Services,45166.0
20171,Medical Facilities & Services,25756.0
20172,Biotechnology,522299.0
20174,Medical Facilities & Services,543497.0
20175,Healthcare Software,508406.0
20176,Healthcare Software,492370.0
20178,Drug Manufacturing,660589.0
20179,Medical Equipment & Supplies,549524.0
20180,Internet Software & Services,43398.0
20185,Pharmaceuticals / Drugs,492522.0
20186,Medical Devices & Equipment,496326.0
20187,Disease Diagnosis,503338.0
20188,Medical Facilities & Services,503890.0
20192,Drug Development,505881.0
20197,Medical Devices & Equipment,512724.0
20198,Internet Software & Services,14993.0
20204,Healthcare Plans,350225.0
20205,,525508.0
20207,Internet Software & Services,43206.0
20208,Biotechnology,514015.0
20209,Medical Devices & Equipment,522169.0
20210,Biotechnology,528576.0
20211,Disease Diagnosis,535016.0
20212,Medical Equipment & Supplies,535034.0
20215,Drug Development,538170.0
20216,Biotechnology,546339.0
20217,Disease Diagnosis,8527.0
20218,Medical Devices & Equipment,9400.0
20219,Pharmaceuticals / Drugs,6146.0
20220,Biotechnology,23650.0
20223,Disease Diagnosis,26531.0
20224,Internet Software & Services,33609.0
20225,Pharmaceuticals / Drugs,42150.0
20226,Medical Devices & Equipment,56830.0
20227,Alternative Medicine,2574.0
20228,Pharmaceuticals / Drugs,42280.0
20229,Medical Devices & Equipment,14929.0
20230,Pharmaceuticals / Drugs,5777.0
20231,Biotechnology,14227.0
20233,Medical Devices & Equipment,26582.0
20235,Internet Software & Services,8257.0
20236,Medical Devices & Equipment,23549.0
20237,Disease Diagnosis,14244.0
20238,Pharmaceuticals / Drugs,2665.0
20240,Pharmaceuticals / Drugs,42860.0
20241,Medical Facilities & Services,46524.0
20242,,9629.0
20243,Biotechnology,5826.0
20244,Medical Devices & Equipment,57017.0
20245,Medical Devices & Equipment,5226.0
20246,Drug Discovery,9787.0
20247,Medical Devices & Equipment,35338.0
20249,Medical Devices & Equipment,21524.0
20250,Medical Devices & Equipment,7761.0
20251,Medical Devices & Equipment,26653.0
20252,Medical Devices & Equipment,23899.0
20253,Medical Equipment & Supplies,8445.0
20254,Biotechnology,813.0
20255,Biotechnology,36450.0
20257,Medical Devices & Equipment,57912.0
20258,Medical Devices & Equipment,767.0
20259,Medical Facilities & Services,14991.0
20260,Medical Facilities & Services,38751.0
20261,Internet Software & Services,19566.0
20262,Internet Software & Services,3931.0
20263,,19576.0
20264,Biotechnology,10371.0
20266,Healthcare Software,8549.0
20267,Pharmaceuticals / Drugs,988.0
20268,Medical Devices & Equipment,9281.0
20269,Biotechnology,25279.0
20270,,156589.0
20271,Elective & Aesthetic Medicine,4596.0
20272,Pharmaceuticals / Drugs,15179.0
20273,Medical Devices & Equipment,1026.0
20274,Medical Devices & Equipment,39381.0
20275,Internet Software & Services,6638.0
20276,Medical Facilities & Services,24086.0
20278,,6283.0
20279,Medical Devices & Equipment,39532.0
20280,,10705.0
20281,Medical Devices & Equipment,24107.0
20282,Drug Development,8688.0
20283,Medical Facilities & Services,39717.0
20284,Medical Devices & Equipment,6607.0
20286,Medical Devices & Equipment,8745.0
20287,Biotechnology,86831.0
20289,Medical Devices & Equipment,14980.0
20291,Medical Devices & Equipment,45739.0
20292,Pharmaceuticals / Drugs,17534.0
20293,Pharmaceuticals / Drugs,59095.0
20294,Pharmaceuticals / Drugs,45308.0
20295,,17584.0
20296,Biotechnology,2491.0
20297,,25856.0
20298,Biotechnology,40502.0
20299,Pharmaceuticals / Drugs,9100.0
20300,Biotechnology,17586.0
20301,,340595.0
20302,,341032.0
20303,,343134.0
20304,,343416.0
