,industry,index_x,target_founded,target_status,alive
21403,Healthcare Software,501008.0,2000.0,Alive / Active,1
21407,Pharmaceuticals / Drugs,522587.0,2000.0,Dead / Inactive,0
21416,Drug Development,537813.0,2000.0,Acquired,0
21417,Medical Devices & Equipment,550132.0,2000.0,Acquired,0
21500,Drug Development,493899.0,2000.0,Acquired,0
21536,Healthcare Software,497138.0,2000.0,Acquired,0
21551,Healthcare Software,517060.0,2000.0,Dead / Inactive,0
21570,Pharmaceuticals / Drugs,493514.0,2000.0,Dead / Inactive,0
21676,Healthcare Software,547835.0,2000.0,Alive / Active,1
21680,Medical Devices & Equipment,520455.0,2000.0,Acquired,0
21682,Biotechnology,524055.0,2000.0,Dead / Inactive,0
21687,Biotechnology,529810.0,2000.0,IPO / Went public,0
21705,Biotechnology,504638.0,2000.0,Acquired,0
21707,Drug Development,504085.0,2000.0,Acquired,0
21722,Pharmaceuticals / Drugs,513241.0,2000.0,Alive / Active,1
21724,Drug Development,513951.0,2000.0,Dead / Inactive,0
21727,Biotechnology,529123.0,2000.0,Dead / Inactive,0
21730,Disease Diagnosis,532095.0,2000.0,Alive / Active,1
21786,Medical Devices & Equipment,10470.0,2000.0,IPO / Went public,0
21816,Medical Equipment & Supplies,10245.0,2003.0,Acquired,0
21873,Drug Development,518259.0,2000.0,Acquired,0
21888,Drug Discovery,6784.0,2000.0,Acquired,0
21952,Biotechnology,525660.0,2000.0,IPO / Went public,0
21998,Drug Discovery,9135.0,2000.0,IPO / Went public,0
22012,Biotechnology,496199.0,2000.0,Dead / Inactive,0
22033,Healthcare Software,508867.0,2000.0,Dead / Inactive,0
22035,Drug Delivery,524398.0,2000.0,Dead / Inactive,0
22050,Biotechnology,531917.0,2000.0,Alive / Active,1
22058,Medical Devices & Equipment,551605.0,2000.0,Alive / Active,1
22117,Medical Devices & Equipment,4886.0,2000.0,IPO / Went public,0
22174,Medical Devices & Equipment,25027.0,2000.0,Alive / Active,1
22189,Medical Equipment & Supplies,531032.0,2000.0,Dead / Inactive,0
22199,Drug Development,508380.0,2000.0,Acquired,0
22266,Medical Devices & Equipment,13524.0,2000.0,Alive / Active,1
22268,Medical Devices & Equipment,20523.0,2000.0,Alive / Active,1
22291,Biotechnology,514240.0,2000.0,Acquired,0
22299,Healthcare Software,527570.0,2000.0,Acquired,0
22301,Drug Development,532732.0,2000.0,Dead / Inactive,0
22335,Medical Devices & Equipment,9707.0,2000.0,Acquired,0
22342,Medical Devices & Equipment,41680.0,2000.0,Acquired,0
22347,Medical Devices & Equipment,6130.0,2001.0,Acquired,0
22391,Medical Devices & Equipment,26516.0,2000.0,Acquired,0
22400,Biotechnology,45536.0,2000.0,Acquired,0
22452,Medical Devices & Equipment,93996.0,2001.0,Alive / Active,1
22454,Drug Discovery,7121.0,2000.0,Alive / Active,1
22455,Medical Devices & Equipment,493106.0,2000.0,Alive / Active,1
22458,Medical Devices & Equipment,495457.0,2001.0,Alive / Active,1
22465,Biotechnology,511282.0,2000.0,Dead / Inactive,0
22481,Pharmaceuticals / Drugs,523518.0,2001.0,Dead / Inactive,0
22493,Medical Devices & Equipment,530822.0,2001.0,Alive / Active,1
22506,Medical Devices & Equipment,547903.0,2001.0,Acquired,0
22518,Medical Devices & Equipment,6773.0,2000.0,Alive / Active,1
22548,Medical Devices & Equipment,4597.0,2000.0,Alive / Active,1
22561,Drug Discovery,46376.0,2001.0,Dead / Inactive,0
22598,Medical Facilities & Services,36945.0,2001.0,Alive / Active,1
22611,Medical Facilities & Services,25785.0,2000.0,Acquired,0
22625,Drug Delivery,512318.0,2000.0,Acquired,0
22627,Drug Development,513586.0,2000.0,Alive / Active,1
22630,Drug Development,519162.0,2001.0,Dead / Inactive,0
22655,Drug Delivery,523034.0,2001.0,Alive / Active,1
22676,Medical Facilities & Services,511685.0,2001.0,Assets Purchased,0
22699,Medical Devices & Equipment,514375.0,2000.0,Alive / Active,1
22729,Drug Development,534401.0,2000.0,Acquired,0
22730,Biotechnology,549884.0,2001.0,Dead / Inactive,0
22732,Medical Devices & Equipment,550255.0,2000.0,Dead / Inactive,0
22737,Medical Facilities & Services,39189.0,2000.0,Alive / Active,1
22768,Biotechnology,43301.0,2001.0,Acquired,0
22771,Biotechnology,39645.0,2001.0,Alive / Active,1
22794,Medical Facilities & Services,42488.0,2000.0,Acquired,0
22818,Medical Facilities & Services,518720.0,2000.0,Dead / Inactive,0
22842,Biotechnology,543304.0,2001.0,Acquired,0
22872,Drug Development,521846.0,2000.0,Dead / Inactive,0
22891,Medical Facilities & Services,525991.0,2000.0,Dead / Inactive,0
22897,Drug Development,529076.0,2001.0,Dead / Inactive,0
22953,Biotechnology,502119.0,2000.0,Assets Purchased,0
22955,Medical Devices & Equipment,513132.0,2001.0,Alive / Active,1
22990,Medical Facilities & Services,27169.0,2000.0,Acquired,0
22994,Medical Devices & Equipment,4972.0,2000.0,Acquired,0
23045,Medical Devices & Equipment,25179.0,2000.0,Acquired,0
23052,Medical Devices & Equipment,17605.0,2000.0,Alive / Active,1
23057,Pharmaceuticals / Drugs,40305.0,2000.0,Alive / Active,1
23067,Biotechnology,40339.0,2001.0,Acquired,0
23130,Biotechnology,42267.0,2000.0,Acquired,0
23132,Pharmaceuticals / Drugs,21762.0,2001.0,Acquired,0
23154,Medical Devices & Equipment,8465.0,2001.0,Acquired,0
23159,Medical Devices & Equipment,1794.0,2001.0,Alive / Active,1
23164,Pharmaceuticals / Drugs,7048.0,2000.0,Merged,0
23170,Internet Software & Services,24346.0,2001.0,Acquired,0
23175,Pharmaceuticals / Drugs,41160.0,2000.0,Acquired,0
23180,Drug Development,24320.0,2000.0,Acquired,0
23187,Biotechnology,40259.0,2000.0,Alive / Active,1
23193,Pharmaceuticals / Drugs,45579.0,2001.0,Alive / Active,1
23195,Medical Devices & Equipment,4651.0,2000.0,Alive / Active,1
23259,Medical Devices & Equipment,502295.0,2000.0,Dead / Inactive,0
23265,Drug Development,519495.0,2001.0,Dead / Inactive,0
23267,Healthcare Software,530182.0,2000.0,Acquired,0
23269,Drug Development,533892.0,2000.0,Acquired,0
23277,Biotechnology,536412.0,2000.0,Acquired,0
23324,Medical Devices & Equipment,993.0,2001.0,IPO / Went public,0
23339,Pharmaceuticals / Drugs,520490.0,2001.0,Alive / Active,1
23350,Medical Devices & Equipment,44523.0,2000.0,Alive / Active,1
23376,Pharmaceuticals / Drugs,24495.0,2001.0,Alive / Active,1
23383,Biotechnology,514752.0,2001.0,Dead / Inactive,0
23437,Biotechnology,39312.0,2001.0,Alive / Active,1
23457,Pharmaceuticals / Drugs,10780.0,2001.0,Acquired,0
23496,Drug Development,9020.0,2000.0,Acquired,0
23498,Drug Delivery,502186.0,2000.0,Alive / Active,1
23503,Biotechnology,496387.0,2000.0,Dead / Inactive,0
23519,Medical Devices & Equipment,502536.0,2001.0,Dead / Inactive,0
23522,Drug Development,520247.0,2001.0,Dead / Inactive,0
23532,Biotechnology,534914.0,2001.0,Alive / Active,1
23572,Drug Development,2295.0,2001.0,Acquired,0
23579,Pharmaceuticals / Drugs,25198.0,2001.0,Acquired,0
23589,Pharmaceuticals / Drugs,40670.0,2000.0,Acquired,0
23621,Drug Discovery,9034.0,2000.0,Acquired,0
23645,Medical Equipment & Supplies,525948.0,2001.0,Acquired,0
23709,Healthcare Software,499632.0,2000.0,Alive / Active,1
23712,Biotechnology,501742.0,2001.0,Acquired,0
23768,Drug Development,497530.0,2000.0,Dead / Inactive,0
23770,Disease Diagnosis,532347.0,2001.0,Acquired,0
23821,Drug Development,500022.0,2001.0,IPO / Went public,0
23823,Drug Development,505796.0,2000.0,Dead / Inactive,0
23843,Biotechnology,514096.0,2001.0,Alive / Active,1
23851,Medical Devices & Equipment,525593.0,2000.0,IPO / Went public,0
23855,Biotechnology,537911.0,2001.0,Dead / Inactive,0
23856,Biotechnology,541939.0,2001.0,Acquired,0
23857,Biotechnology,541313.0,2001.0,Alive / Active,1
23891,Medical Facilities & Services,508390.0,2001.0,Acquired,0
23899,Medical Devices & Equipment,5723.0,2001.0,Acquired,0
23947,Drug Delivery,12876.0,2000.0,IPO / Went public,0
23964,Biotechnology,40761.0,2001.0,Alive / Active,1
24000,Drug Development,493050.0,2000.0,Dead / Inactive,0
24016,Drug Delivery,519455.0,2000.0,Dead / Inactive,0
24026,Drug Development,549334.0,2000.0,Dead / Inactive,0
24112,Disease Diagnosis,19624.0,2000.0,Acquired,0
24115,Biotechnology,523226.0,2000.0,Acquired,0
24150,Biotechnology,42123.0,2000.0,Alive / Active,1
24151,Pharmaceuticals / Drugs,340.0,2000.0,Acquired,0
24160,Pharmaceuticals / Drugs,27.0,2001.0,Acquired,0
24162,Pharmaceuticals / Drugs,26926.0,2000.0,Acquired,0
24166,Biotechnology,14030.0,2001.0,Alive / Active,1
24176,Medical Devices & Equipment,10653.0,2000.0,Acquired,0
24181,Drug Discovery,2005.0,2000.0,Assets Purchased,0
24197,Biotechnology,24117.0,2001.0,Acquired,0
24201,Biotechnology,1256.0,2001.0,IPO / Went public,0
24203,Pharmaceuticals / Drugs,9196.0,2001.0,Alive / Active,1
24206,Medical Devices & Equipment,10980.0,2001.0,Alive / Active,1
24208,Biotechnology,40342.0,2000.0,Acquired,0
24276,Drug Development,520740.0,2001.0,Dead / Inactive,0
24287,Biotechnology,530168.0,2001.0,Acquired,0
24294,Medical Devices & Equipment,537892.0,2000.0,Alive / Active,1
24298,Biotechnology,550260.0,2001.0,Dead / Inactive,0
24337,Disease Diagnosis,500023.0,2000.0,Alive / Active,1
24386,Disease Diagnosis,493382.0,2000.0,Acquired,0
24387,Disease Diagnosis,500165.0,2000.0,Dead / Inactive,0
24389,Biotechnology,510310.0,2001.0,Dead / Inactive,0
24461,Drug Development,550245.0,2001.0,Acquired,0
24493,Medical Devices & Equipment,1236.0,2001.0,IPO / Went public,0
24499,Drug Development,519420.0,2001.0,Acquired,0
24503,Drug Development,495778.0,2000.0,Dead / Inactive,0
24517,Biotechnology,495053.0,2001.0,Dead / Inactive,0
24521,Pharmaceuticals / Drugs,513882.0,2001.0,Acquired,0
24537,Pharmaceuticals / Drugs,1888.0,2000.0,Alive / Active,1
24540,Biotechnology,518131.0,2001.0,Alive / Active,1
24574,Biotechnology,15996.0,2001.0,Acquired,0
24610,Drug Discovery,6695.0,2001.0,IPO / Went public,0
24657,Disease Diagnosis,527767.0,2000.0,Alive / Active,1
24693,Stealth Mode,525199.0,2001.0,Dead / Inactive,0
24720,Pharmaceuticals / Drugs,531490.0,2001.0,Dead / Inactive,0
24725,Healthcare Software,31606.0,2000.0,Acquired,0
24735,Drug Development,527472.0,2001.0,Dead / Inactive,0
24744,Biotechnology,539859.0,2001.0,Alive / Active,1
24749,Medical Devices & Equipment,506895.0,2001.0,Alive / Active,1
24761,Biotechnology,549170.0,2001.0,Alive / Active,1
24763,Healthcare Software,550851.0,2000.0,IPO / Went public,0
24809,Biotechnology,12749.0,2001.0,Dead / Inactive,0
24815,Biotechnology,42213.0,2001.0,Acquired,0
24829,Pharmaceuticals / Drugs,516922.0,2000.0,Dead / Inactive,0
24840,Biotechnology,502911.0,2001.0,Acquired,0
24855,Biotechnology,536539.0,2001.0,Dead / Inactive,0
24890,Biotechnology,484.0,2000.0,Dead / Inactive,0
24892,Biotechnology,495388.0,2001.0,Dead / Inactive,0
24936,Disease Diagnosis,4988.0,2001.0,Dead / Inactive,0
24941,Biotechnology,42733.0,2001.0,Acquired,0
24942,Medical Devices & Equipment,9727.0,2000.0,Dead / Inactive,0
24984,Biotechnology,2452.0,2001.0,IPO / Went public,0
24993,Drug Delivery,27298.0,2000.0,Acquired,0
24994,Drug Discovery,6288.0,2001.0,Acquired,0
25068,Biotechnology,516476.0,2003.0,Dead / Inactive,0
25090,Medical Facilities & Services,525507.0,2001.0,Dead / Inactive,0
25133,Biotechnology,45048.0,2000.0,Acquired,0
25161,Drug Development,507880.0,2000.0,Dead / Inactive,0
25172,Drug Development,545182.0,2001.0,Dead / Inactive,0
25194,Medical Devices & Equipment,15419.0,2000.0,Acquired,0
25254,Medical Devices & Equipment,499987.0,2001.0,Dead / Inactive,0
25258,Biotechnology,516966.0,2001.0,Alive / Active,1
25260,Medical Devices & Equipment,18434.0,2001.0,Alive / Active,1
25280,Biotechnology,537538.0,2001.0,Alive / Active,1
25281,Medical Devices & Equipment,544430.0,2001.0,Dead / Inactive,0
25282,Drug Development,6844.0,2001.0,Acquired,0
25290,Drug Development,502979.0,2001.0,Acquired,0
25293,Biotechnology,509924.0,2001.0,Alive / Active,1
25301,Drug Development,520466.0,2001.0,Acquired,0
25337,Drug Development,519300.0,2001.0,Acquired,0
25338,Biotechnology,533966.0,2000.0,Dead / Inactive,0
25368,Pharmaceuticals / Drugs,494125.0,2001.0,Dead / Inactive,0
25395,Drug Discovery,45474.0,2001.0,Acquired,0
25468,Pharmaceutical Distribution & Wholesale…,1264.0,2001.0,Alive / Active,1
25492,Biotechnology,550001.0,2001.0,Alive / Active,1
25496,Healthcare Software,551800.0,2000.0,Dead / Inactive,0
25599,Drug Discovery,16676.0,2001.0,Acquired,0
25689,Biotechnology,502347.0,2000.0,Dead / Inactive,0
25727,Biotechnology,500694.0,2001.0,Assets Purchased,0
25735,Medical Facilities & Services,532774.0,2001.0,Alive / Active,1
25749,Medical Devices & Equipment,524227.0,2000.0,Alive / Active,1
25766,Biotechnology,21759.0,2001.0,Acquired,0
25801,Biotechnology,496035.0,2001.0,Acquired,0
25806,Medical Facilities & Services,41282.0,2001.0,Alive / Active,1
25807,Medical Equipment & Supplies,506098.0,2001.0,Dead / Inactive,0
25809,Healthcare Software,518463.0,2000.0,Acquired,0
25817,Medical Equipment & Supplies,495116.0,2000.0,Dead / Inactive,0
25823,Medical Devices & Equipment,524160.0,2001.0,Dead / Inactive,0
25852,Biotechnology,339304.0,2000.0,IPO / Went public,0
25864,Medical Devices & Equipment,495640.0,2001.0,Alive / Active,1
25868,Biotechnology,503229.0,2002.0,Alive / Active,1
25869,Medical Devices & Equipment,506875.0,2002.0,Alive / Active,1
25870,Pharmaceuticals / Drugs,515575.0,2002.0,Alive / Active,1
25885,Medical Facilities & Services,528265.0,2002.0,Dead / Inactive,0
25888,Biotechnology,533548.0,2001.0,Dead / Inactive,0
25893,Biotechnology,551271.0,2001.0,Dead / Inactive,0
25960,Medical Equipment & Supplies,495370.0,2002.0,Alive / Active,1
25972,Medical Facilities & Services,43948.0,2000.0,Acquired,0
26005,Medical Devices & Equipment,505610.0,2001.0,Acquired,0
26011,Medical Facilities & Services,534872.0,2000.0,Dead / Inactive,0
26015,Drug Development,541919.0,2002.0,Acquired,0
26072,Biotechnology,1471.0,2000.0,IPO / Went public,0
26125,Pharmaceuticals / Drugs,514497.0,2002.0,Acquired,0
26184,Biotechnology,492701.0,2001.0,Dead / Inactive,0
26186,Disease Diagnosis,503155.0,2001.0,Dead / Inactive,0
26195,Healthcare Software,532148.0,2000.0,Dead / Inactive,0
26200,Pharmaceuticals / Drugs,9025.0,2001.0,Dead / Inactive,0
26224,Drug Development,512227.0,2001.0,Dead / Inactive,0
26241,Drug Discovery,1458.0,2000.0,IPO / Went public,0
26247,Biotechnology,1713.0,2001.0,Merged,0
26263,Disease Diagnosis,533018.0,2001.0,Acquired,0
26278,Biotechnology,543537.0,2001.0,Dead / Inactive,0
26391,Disease Diagnosis,545861.0,2002.0,Dead / Inactive,0
26413,Drug Development,506217.0,2001.0,Dead / Inactive,0
26418,Biotechnology,544909.0,2001.0,Dead / Inactive,0
26425,Medical Devices & Equipment,2003.0,2001.0,Dead / Inactive,0
26445,Disease Diagnosis,38956.0,2001.0,Acquired,0
26463,Drug Delivery,533421.0,2002.0,Dead / Inactive,0
26465,Medical Devices & Equipment,10630.0,2000.0,Acquired,0
26494,Drug Development,527537.0,2001.0,Acquired,0
26500,Medical Devices & Equipment,15966.0,2001.0,Dead / Inactive,0
26502,Biotechnology,516610.0,2001.0,Dead / Inactive,0
26511,Biotechnology,502346.0,2001.0,Acquired,0
26517,Medical Equipment & Supplies,530398.0,2000.0,Dead / Inactive,0
26526,Medical Devices & Equipment,530094.0,2002.0,Alive / Active,1
26535,Biotechnology,551200.0,2002.0,Alive / Active,1
26550,Drug Development,773.0,2001.0,Alive / Active,1
26595,Biotechnology,36388.0,2002.0,Alive / Active,1
26609,Pharmaceuticals / Drugs,21806.0,2000.0,Alive / Active,1
26613,Healthcare Software,495806.0,2003.0,Dead / Inactive,0
26622,Drug Discovery,1833.0,2001.0,Acquired,0
26650,Biotechnology,19254.0,2001.0,Alive / Active,1
26683,Biotechnology,492957.0,2002.0,Acquired,0
26725,Medical Devices & Equipment,713.0,2000.0,Dead / Inactive,0
26732,Drug Discovery,5931.0,2001.0,Alive / Active,1
26761,Disease Diagnosis,54439.0,2000.0,Alive / Active,1
26763,Healthcare Software,502142.0,2002.0,Alive / Active,1
26768,Healthcare Software,515621.0,2000.0,Dead / Inactive,0
26775,Medical Devices & Equipment,524332.0,2002.0,Alive / Active,1
26790,Medical Devices & Equipment,534196.0,2002.0,Acquired,0
26800,Pharmaceuticals / Drugs,2084.0,2001.0,IPO / Went public,0
26804,Medical Facilities & Services,23796.0,2007.0,Acquired,0
26834,Biotechnology,513377.0,2000.0,Dead / Inactive,0
26838,Drug Development,221361.0,2005.0,Acquired,0
26866,Biotechnology,424.0,2002.0,Dead / Inactive,0
26872,Pharmaceuticals / Drugs,1626.0,2001.0,Acquired,0
26932,Drug Discovery,3747.0,2000.0,Alive / Active,1
26950,Medical Devices & Equipment,2448.0,2000.0,Alive / Active,1
26953,Biotechnology,670.0,2002.0,Acquired,0
26998,Medical Equipment & Supplies,540886.0,2002.0,Alive / Active,1
27034,Biotechnology,508596.0,2001.0,Alive / Active,1
27051,Pharmaceuticals / Drugs,17941.0,2001.0,Acquired,0
27057,Biotechnology,502781.0,2001.0,Dead / Inactive,0
27068,Drug Delivery,510720.0,2000.0,Alive / Active,1
27075,Medical Facilities & Services,529437.0,2002.0,IPO / Went public,0
27088,Drug Development,514377.0,2000.0,Dead / Inactive,0
27113,Medical Devices & Equipment,500775.0,2000.0,Dead / Inactive,0
27122,Medical Devices & Equipment,15977.0,2000.0,Alive / Active,1
27148,Medical Facilities & Services,534729.0,2001.0,Alive / Active,1
27183,Drug Development,49670.0,2002.0,IPO / Went public,0
27191,Drug Delivery,496719.0,2001.0,Dead / Inactive,0
27192,Pharmaceuticals / Drugs,504968.0,2002.0,Dead / Inactive,0
27201,Healthcare Software,534435.0,2001.0,Dead / Inactive,0
27208,Drug Development,544527.0,2002.0,Acquired,0
27249,Medical Devices & Equipment,527944.0,2002.0,Dead / Inactive,0
27262,Medical Equipment & Supplies,533923.0,2002.0,Acquired,0
27298,Pharmaceuticals / Drugs,22514.0,2001.0,Alive / Active,1
27300,Biotechnology,501692.0,2000.0,Dead / Inactive,0
27330,Pharmaceuticals / Drugs,531679.0,2000.0,Alive / Active,1
27339,Drug Development,506486.0,2002.0,Acquired,0
27343,Drug Development,502609.0,2002.0,Alive / Active,1
27355,Drug Development,532770.0,2001.0,Alive / Active,1
27361,Drug Delivery,543510.0,2002.0,Alive / Active,1
27372,Biotechnology,514400.0,2001.0,Dead / Inactive,0
27373,Medical Facilities & Services,520681.0,2001.0,Acquired,0
27375,Medical Devices & Equipment,525076.0,2001.0,Dead / Inactive,0
27383,Biotechnology,534788.0,2002.0,Acquired,0
27398,Biotechnology,530418.0,2000.0,Alive / Active,1
27414,Biotechnology,6978.0,2002.0,IPO / Went public,0
27424,Drug Development,15984.0,2001.0,Assets Purchased,0
27439,Biotechnology,444.0,2000.0,Dead / Inactive,0
27451,Medical Devices & Equipment,4935.0,2002.0,Acquired,0
27462,Pharmaceuticals / Drugs,41901.0,2002.0,Alive / Active,1
27467,Drug Delivery,9895.0,2000.0,Alive / Active,1
27475,Medical Facilities & Services,510190.0,2002.0,Acquired,0
27503,Biotechnology,42490.0,2002.0,Acquired,0
27508,Medical Devices & Equipment,16667.0,2001.0,Acquired,0
27510,Pharmaceuticals / Drugs,2540.0,2002.0,Acquired,0
27581,Drug Development,501951.0,2002.0,Dead / Inactive,0
27588,Biotechnology,536463.0,2001.0,Alive / Active,1
27611,Medical Devices & Equipment,1233.0,2002.0,Alive / Active,1
27640,Medical Product Distribution,45949.0,2000.0,Acquired,0
27666,Drug Development,496215.0,2001.0,Assets Purchased,0
27671,Biotechnology,510291.0,2002.0,Acquired,0
27683,Healthcare Software,550251.0,2002.0,Dead / Inactive,0
27684,Biotechnology,9011.0,2002.0,Alive / Active,1
27753,Drug Development,532895.0,2002.0,Alive / Active,1
27767,Biotechnology,496093.0,2001.0,Dead / Inactive,0
27770,Biotechnology,496587.0,2001.0,Dead / Inactive,0
27782,Biotechnology,373700.0,2001.0,IPO / Went public,0
27838,Medical Equipment & Supplies,535042.0,2000.0,Alive / Active,1
27850,Medical Facilities & Services,493326.0,2000.0,Acquired,0
27852,Medical Facilities & Services,39716.0,2002.0,Acquired,0
27857,Pharmaceuticals / Drugs,13243.0,2001.0,Merged,0
27866,Drug Development,494871.0,2001.0,Dead / Inactive,0
27893,Elective & Aesthetic Medicine,42260.0,2001.0,Alive / Active,1
27910,Medical Facilities & Services,15943.0,2000.0,Alive / Active,1
27922,Medical Devices & Equipment,493142.0,2002.0,Dead / Inactive,0
27925,Pharmaceuticals / Drugs,42303.0,2002.0,Acquired,0
27926,Biotechnology,8329.0,2000.0,Acquired,0
27938,Pharmaceuticals / Drugs,16697.0,2002.0,IPO / Went public,0
27963,Medical Devices & Equipment,509518.0,2002.0,Alive / Active,1
27998,Medical Facilities & Services,544421.0,2001.0,Dead / Inactive,0
28008,Biotechnology,497092.0,2002.0,Alive / Active,1
28017,Healthcare Software,529101.0,2002.0,Dead / Inactive,0
28020,Drug Development,17893.0,2000.0,IPO / Went public,0
28030,Medical Facilities & Services,1801.0,2002.0,Acquired,0
28035,Pharmaceuticals / Drugs,17887.0,2002.0,Acquired,0
