node,index,country,continent,industry,bipartite,id,eigen_max,eigen_min,pages_max,pages_min,degcen_max,degcen_min,bet_max,bet_min,avg_max,avg_min,newman_max,newman_min,vote_min,vote_max,sub_max,sub_min,clo_max,clo_min,num
ArtusLabs,14217.0,United States,North America,Drug Discovery,1,341,0.092207568,0.02255892,0.0034159240000000003,0.001112642,0.06230200599999999,0.017423442,0.020614473,0.004371408,48.49350649,48.49350649,0.019810887,0.0046633740000000005,16.0,163.0,9.55e+19,5.72e+18,0.391736023,0.33623604100000004,3
BioRegen,86093.0,China,Asia,Medical Devices & Equipment,1,347,0.022904253,0.004341391,0.001141288,0.00019485,0.026353276000000002,0.003917379,0.004009461,1.29e-05,111.6363636,111.6363636,0.003946295,1.4800000000000002e-05,154.0,154.0,1.32e+32,4.74e+30,0.37344730200000004,0.32012559,2
Suneva Medical,28763.0,United States,North America,Drug Manufacturing,1,350,0.126585242,0.081171439,0.0046322590000000005,0.003135603,0.125269203,0.08901651099999999,0.048221652999999996,0.027381667999999998,74.24545455,74.24545455,0.044820022,0.025793768999999998,0.0,8.0,1.91e+35,7.83e+34,0.433748908,0.41952763200000004,3
Endotronix,22776.0,United States,North America,Medical Devices & Equipment,1,354,0.080758016,0.01492267,0.002939759,0.0005569630000000001,0.07656695200000001,0.013532764,0.02129139,0.0004999119999999999,103.47368420000001,103.47368420000001,0.019631862,0.000540469,12.0,798.0,1.64e+33,5.6e+31,0.417090377,0.35400817100000004,6
FluGen,22817.0,United States,North America,Drug Development,1,371,0.00010659,1.96e-06,0.0002652,0.00017194200000000001,0.002463921,0.001055966,0.0007951330000000001,0.0,18.2,18.2,0.00077857,0.0,530.0,1412.0,5.93e+31,2.01e+28,0.25446218,0.205949683,4
Adamas Pharmaceuticals,27421.0,United States,North America,Pharmaceuticals / Drugs,1,387,0.02074934,0.004574911,0.001347815,0.00038574599999999996,0.033381192000000004,0.007537688000000001,0.00326454,0.001054832,73.57142857,73.57142857,0.003247317,0.00098673,102.0,567.0,5.11e+33,2.49e+32,0.359948617,0.318306842,2
ReCor Medical,86606.0,United States,North America,Medical Devices & Equipment,1,398,,,,,,,,,,,,,,,,,,,1
Immunomic Therapeutics,22928.0,United States,North America,Pharmaceuticals / Drugs,1,413,0.064528209,0.0024561789999999997,0.002140493,0.00021019799999999998,0.060894051,0.004575854,0.013784737,3.32e-05,136.5333333,136.5333333,0.01283257,4.46e-05,46.0,1590.0,2.18e+37,3.15e+34,0.403839438,0.304700698,7
ImmunoReagents,22929.0,United States,North America,Pharmaceuticals / Drugs,1,414,0.000258143,2.82e-06,0.000332958,0.000252227,0.0023341110000000003,0.0013337779999999999,0.002496812,0.0,11.42857143,11.42857143,0.0025108360000000002,0.0,584.0,1574.0,7.96e+33,9.5e+29,0.257387375,0.201904688,6
Integral Molecular,982.0,United States,North America,Pharmaceuticals / Drugs,1,419,,,,,,,,,,,,,,,,,,,1
Molecular Partners,17981.0,Switzerland,Europe,Biotechnology,1,436,1.3399999999999999e-37,1.3399999999999999e-37,0.000355999,0.000355999,0.001068376,0.001068376,0.0,0.0,3.0,3.0,0.0,0.0,974.0,974.0,5.2972938119999995,5.2972938119999995,0.001068376,0.001068376,1
MOgene LC,23065.0,United States,North America,Biotechnology,1,466,,,,,,,,,,,,,,,,,,,1
Novozymes,23126.0,Denmark,Europe,Biotechnology,1,487,0.06563065,0.025572627999999997,0.003379793,0.001057244,0.092697566,0.031010337000000002,0.029684105,0.001256235,95.07526882,95.07526882,0.027512277999999998,0.001234796,9.0,284.0,5.14e+38,7.810000000000001e+37,0.42240372200000004,0.36832086399999997,3
Immatics Biotechnologies,28498.0,Germany,Europe,Drug Discovery,1,490,,,,,,,,,,,,,,,,,,,1
Sonoma Orthopedic Products,1973.0,United States,North America,Medical Devices & Equipment,1,496,0.005496031,0.002499222,0.001110655,0.000242518,0.016511127,0.003589375,0.008314267,0.00037156900000000003,76.7,76.7,0.008217084,0.000407152,122.0,761.0,3.59e+32,7.42e+31,0.328182606,0.307530722,2
Orexigen Therapeutics,1982.0,United States,North America,Biotechnology,1,524,0.11868969800000001,0.025234875,0.00364711,0.000520493,0.078202247,0.010337079,0.02515661,0.000286638,87.52173913,87.52173913,0.023874071,0.00029491,7.0,748.0,1.85e+23,8.36e+21,0.40711116299999994,0.341696596,7
SenesTech,23314.0,United States,North America,Biotechnology,1,552,0.004898727,9.65e-05,0.000411478,0.00011413100000000001,0.005279831,0.000527983,0.001018144,0.0,31.3,31.3,0.0010310480000000001,0.0,778.0,778.0,2.69e+17,104544000000000.0,0.291609334,0.2218663,2
SFC Fluidics,23320.0,United States,North America,Medical Devices & Equipment,1,555,0.002561318,3.91e-05,0.000360201,0.00023031900000000002,0.0029051,0.0012911560000000001,0.002333836,0.0,36.44444444,36.44444444,0.002333836,0.0,359.0,1529.0,3.97e+24,9.23e+20,0.27048749,0.208303138,5
Archemix,2005.0,United States,North America,Drug Discovery,1,561,,,,,,,,,,,,,,,,,,,1
SpineMatrix,20818.0,United States,North America,Medical Devices & Equipment,1,565,0.103254361,0.002235196,0.0030496620000000003,0.00012665200000000002,0.06124604,0.001055966,0.018703648,0.0,66.0,66.0,0.017795711000000002,0.0,22.0,597.0,1.2e+20,5.61e+16,0.405897509,0.285774076,3
Noveome Biotherapeutics,23358.0,United States,North America,Biotechnology,1,569,0.007034526,0.004029151,0.000531863,0.0005204469999999999,0.010683761000000002,0.009259259,0.00206787,0.0009741169999999999,64.26666667,64.26666667,0.002108098,0.0010494810000000001,270.0,465.0,1.24e+31,4.08e+30,0.329208083,0.31469415300000003,2
TNI medical,23423.0,Germany,Europe,Medical Devices & Equipment,1,587,0.025118044,0.008348449,0.0012932739999999999,0.0006744660000000001,0.035902851,0.015487504,0.003695003,0.001097839,87.38181818,87.38181818,0.003820944,0.001114146,143.0,584.0,3.3000000000000004e+36,3.64e+35,0.370529965,0.34059486899999997,4
Transposagen Biopharmaceuticals,23430.0,United States,North America,Drug Discovery,1,589,0.0033414490000000002,5.19e-05,0.000442303,8.7e-05,0.005611222,0.00040080199999999996,0.001056607,0.0,31.64285714,31.64285714,0.0011658039999999999,0.0,382.0,382.0,1.02e+23,2.46e+19,0.29813012,0.226660155,2
Valencell,23449.0,United States,North America,Mobile Software & Services,1,594,0.128450641,0.029792265,0.004231877,0.0014790270000000002,0.119774386,0.03583278,0.044166185999999996,0.007782908000000001,80.4870317,80.4870317,0.041059706,0.00762302,1.0,66.0,1.8400000000000002e+37,9.9e+35,0.419887048,0.3705915,4
VIDA Diagnostics,23459.0,United States,North America,Healthcare Software,1,603,0.04696676599999999,0.017036941,0.001698154,0.001105654,0.042713568,0.025125627999999997,0.007016121,0.004229828,92.87,92.87,0.006815039,0.004137048,58.0,145.0,2.6200000000000004e+34,3.45e+33,0.3841156,0.356071254,3
BIOARRAY Genetics,90022.0,United States,North America,Disease Diagnosis,1,607,,,,,,,,,,,,,,,,,,,1
GNS Healthcare,76311.0,United States,North America,Internet Software & Services,1,614,0.12519624599999998,0.025938757000000003,0.004306266,0.0008869360000000001,0.11787749300000001,0.023860398999999997,0.047910517,0.0008657999999999999,93.07462687,93.07462687,0.044354539000000005,0.0008697539999999999,2.0,457.0,3.95e+33,1.69e+32,0.44137741399999997,0.368002482,2
Zystor Therapeutics,10937.0,United States,North America,Biotechnology,1,617,1.3399999999999999e-37,1.3399999999999999e-37,0.000355999,0.000355999,0.001068376,0.001068376,0.0,0.0,3.0,3.0,0.0,0.0,974.0,974.0,5.2972938119999995,5.2972938119999995,0.001068376,0.001068376,1
Anaeropharma Science,23542.0,Japan,Asia,Drug Discovery,1,622,0.004231418,7.659999999999999e-05,0.000280498,0.000102728,0.005640345,0.000995355,0.000433625,1.97e-06,79.58823529,79.58823529,0.00042616800000000004,2.47e-06,784.0,784.0,2.0000000000000001e+34,6.55e+30,0.30948593,0.241158243,2
CoMentis,4295.0,United States,North America,Drug Development,1,626,0.117605659,0.022645678,0.003361104,0.0008991369999999999,0.07101123599999999,0.015280898999999999,0.017392908999999998,0.003702355,56.13888889,56.13888889,0.016434852,0.003687884,13.0,200.0,1.82e+23,6.73e+21,0.40025912799999996,0.333971994,3
Radius Health,2044.0,United States,North America,Drug Development,1,628,0.11666777099999999,0.028082462000000002,0.003973976,0.000855173,0.072808989,0.016179775,0.035940504,0.0007039510000000001,75.0,75.0,0.03468875,0.000798633,10.0,399.0,1.79e+23,1.04e+22,0.415260322,0.34785274200000005,8
SurgRx,2058.0,United States,North America,Medical Devices & Equipment,1,632,0.101616194,0.025699105,0.003299033,0.00123963,0.09869956699999999,0.035345115,0.029136935,0.002656732,88.13245033,88.13245033,0.027181515,0.002703616,10.0,111.0,1.2300000000000001e+39,7.890000000000001e+37,0.425624516,0.36956606799999997,5
ISA Pharmaceuticals,24445.0,Netherlands,Europe,Pharmaceuticals / Drugs,1,650,0.030658339,0.016086356,0.001406659,0.000829933,0.041013671,0.022674225,0.003170899,0.001379077,87.5,87.5,0.002995602,0.001382613,88.0,286.0,1.1200000000000001e+38,3.09e+37,0.37415138600000003,0.35621853600000003,2
BioSeek,18680.0,United States,North America,Drug Discovery,1,661,0.06385903,0.0013294679999999999,0.002840718,0.00010127700000000001,0.075677578,0.001407955,0.02547189,0.0,115.53125,115.53125,0.023768139,0.0,16.0,364.0,2.1300000000000003e+37,9.24e+33,0.418931111,0.300249263,6
Binx Health,18591.0,United States,North America,Medical Devices & Equipment,1,664,0.023612067999999996,0.011194573000000001,0.00174163,0.000613183,0.041995693,0.014357502,0.0068779869999999995,0.0010602510000000001,89.15,89.15,0.006551547,0.001083653,55.0,506.0,6.62e+33,1.49e+33,0.370540286,0.345124747,2
AVEO Oncology,2084.0,United States,North America,Pharmaceuticals / Drugs,1,665,1.0499999999999999e-35,1.0499999999999999e-35,0.00033333300000000006,0.00033333300000000006,0.000333444,0.000333444,0.0,0.0,1.0,1.0,0.0,0.0,1407.0,1407.0,1.543080635,1.543080635,0.000333444,0.000333444,2
CryoPen,23826.0,United States,North America,Medical Devices & Equipment,1,685,,,,,,,,,,,,,,,,,,,1
f-star Biotechnology,16630.0,Austria,Europe,Drug Development,1,686,0.14210082300000001,0.007907978000000001,0.00456444,0.000220589,0.098876404,0.0035955059999999996,0.032115745,0.0,76.82,76.82,0.030070832000000002,0.0,1.0,1250.0,2.65e+23,8.21e+20,0.411840015,0.303795369,9
Orphazyme,92556.0,Denmark,Europe,Drug Development,1,688,0.005187942,8.420000000000001e-05,0.00052139,8.740000000000001e-05,0.010050251,0.000717875,0.001219361,0.0,63.07142857,63.07142857,0.0012961630000000001,0.0,304.0,1087.0,3.2e+32,8.41e+28,0.33059873,0.248743756,3
NeurAxon,16235.0,Canada,North America,Pharmaceuticals / Drugs,1,699,0.01799686,0.00021852400000000002,0.000773609,0.00018560700000000001,0.017946877,0.00143575,0.003699653,0.0,88.44,88.44,0.003764235,0.0,343.0,1415.0,3.85e+33,5.68e+29,0.36158922200000004,0.260021879,5
Codon Devices,2106.0,United States,North America,Drug Development,1,701,0.10908671,0.010110558,0.004304719,0.000569437,0.12570857,0.014671557,0.046098140999999995,0.0010324000000000002,88.13245033,88.13245033,0.043424474000000005,0.001003186,3.0,673.0,1.42e+39,1.22e+37,0.434722372,0.34666352,5
Efficas,19103.0,United States,North America,Biotechnology,1,703,0.011802924,0.011802924,0.0005629830000000001,0.0005629830000000001,0.011844938999999999,0.011844938999999999,0.001660395,0.001660395,94.66666667,94.66666667,0.001658566,0.001658566,435.0,435.0,1.66e+33,1.66e+33,0.34769616600000003,0.34769616600000003,1
Spartan Bioscience,77703.0,Canada,North America,Biotechnology,1,718,5.48e-23,5.48e-23,0.0027624309999999997,0.0027624309999999997,0.002770083,0.002770083,0.0,0.0,1.0,1.0,0.0,0.0,127.0,127.0,1.543080635,1.543080635,0.002770083,0.002770083,2
GluMetrics,19392.0,United States,North America,Medical Devices & Equipment,1,727,0.041926723,0.002009087,0.001662527,0.00011556299999999999,0.043431443,0.0017946879999999998,0.008407725,2.04e-06,97.2,97.2,0.008221494000000001,2.73e-06,74.0,469.0,2.09e+34,4.8e+31,0.39885709,0.300237197,4
Bone Therapeutics,85848.0,Belgium,Europe,Biotechnology,1,730,0.068349561,0.025893028999999998,0.001744741,0.000694064,0.035955056,0.013932584,0.005507784,0.000596137,63.7875,63.7875,0.005481388,0.00066888,88.0,513.0,6.13e+22,8.8e+21,0.37857939700000004,0.338376275,4
Vexim,21141.0,France,Europe,Medical Devices & Equipment,1,739,0.099066266,0.006747118000000001,0.0035105320000000002,0.000652052,0.101724745,0.014079548999999998,0.035237008,0.00157293,86.63636364,86.63636364,0.032500165,0.001774239,7.0,267.0,5.13e+37,2.3800000000000002e+35,0.424410161,0.33918958200000004,3
IDev Technologies,14330.0,United States,North America,Medical Devices & Equipment,1,740,0.101616194,0.019779619,0.003299033,0.001079028,0.09869956699999999,0.02900967,0.029136935,0.003170899,89.85526316,89.85526316,0.027181515,0.002995602,10.0,156.0,1.2300000000000001e+39,4.67e+37,0.425624516,0.36132068799999995,5
Nanobiotix,5511.0,France,Europe,Pharmaceuticals / Drugs,1,741,0.025118044,0.007079873,0.0012932739999999999,0.000391093,0.035902851,0.009855685,0.002385755,0.000122476,94.64285714,94.64285714,0.002293646,0.000144168,151.0,1122.0,3.3000000000000004e+36,2.62e+35,0.370529965,0.329491977,2
