,Money raised,Pre-money valuation
373,"$600,000",—
374,"$225,000",—
375,—,—
376,"CHF10,000",—
377,"CHF5,000,000",—
378,—,—
379,"CHF10,000",—
380,—,—
381,"$12,000,000",—
382,"€520,000",—
383,"CHF200,000",—
384,—,—
385,"$750,000",—
386,"$300,000",—
387,"$5,000,000",—
388,"CN¥1,000,000,000",—
389,"$1,400,000",—
390,"$20,000,000",—
391,"$4,000,000",—
392,"$20,000,000",—
393,"$2,000,000",—
394,"$1,650,000",—
395,"$500,000",—
396,"$125,000",—
397,"£1,600,000",—
398,—,—
399,—,—
400,—,—
401,—,—
402,"¥122,500,000",—
403,"$2,499,026",—
404,"$3,666,876",—
405,"$700,000","$1,800,000"
406,"$15,821,845",—
407,"$5,592,500",—
408,"$22,000,000",—
409,"$4,999,940",—
410,"$1,385,000",—
411,"CN¥20,000,000",—
412,"BDT14,650,000",—
413,"CHF10,000",—
414,"$200,000",—
415,"$8,350,000",—
416,"$3,283,516",—
417,—,—
418,"$4,300,000",—
419,"$49,033,667",—
420,"$20,000,000",—
421,—,—
422,"$130,000","$1,900,000"
423,"$1,047,689",—
424,"$40,000,000",—
425,"$1,500,000",—
426,—,—
427,"CN¥112,000,000",—
428,"CN¥3,000,000",—
429,"CN¥10,000,000",—
430,"CN¥3,000,000",—
431,"CN¥12,000,000",—
432,"$600,000",—
433,"£823,920",—
434,"$45,000,000",—
435,"$7,800,000",—
436,"£2,400,000",—
437,"$2,000,000",—
438,"$100,000",—
439,"$655,000",—
440,"$15,000,000",—
441,"CN¥3,000,000",—
442,"$3,000,000",—
443,—,—
444,"$1,250,000",—
445,"$20,000,000",—
446,—,—
447,"$1,000,000",—
448,"CN¥20,000,100",—
449,"$64,000,000",—
450,"$120,000",—
451,"$100,000",—
452,"$65,000",—
453,—,—
454,"£50,000","£1,500,000"
455,—,—
456,"€50,000",—
457,—,—
458,"$1,400,000",—
459,"$50,000",—
460,—,—
461,"$9,800,000",—
462,"$397,495",—
463,"$13,000,000",—
464,"$5,000,000",—
465,"€50,000",—
466,"¥200,000,000",—
467,—,—
468,"₩1,400,000,000",—
469,"€50,000",—
470,—,—
471,"$500,000",—
472,"$1,500,000",—
473,"$1,490,000",—
474,"$100,000",—
475,—,—
476,"£10,000",—
477,—,—
478,"€1,780,029",—
479,—,—
480,"$1,200,000",—
481,"$3,000,000",—
482,"€50,000",—
483,—,—
484,"SEK33,000,000",—
485,"£3,500,000",—
486,"$25,000,000",—
487,"€50,000",—
488,"€50,000",—
489,"$3,200,000",—
490,—,—
491,"€50,000",—
492,—,—
493,—,—
494,—,—
495,"€2,171,137",—
496,"$500,000","$5,000,000"
497,"€50,000",—
498,"€50,000",—
499,"$159,000",—
500,"$561,000","$500,000"
501,—,—
502,"$2,345,000",—
503,"$500,000",—
504,"$5,000,000",—
505,"$861,258",—
506,"$10,000,000",—
507,"$12,000,000",—
508,"$187,000",—
509,"$1,655,709",—
510,—,—
511,"$4,000,000",—
512,"$101,000,000",—
513,"$1,500,000",—
514,"$266,372",—
515,"$120,000",—
516,—,—
517,"€4,250,000",—
518,"$1,000,000",—
519,"$176,400",—
520,"$1,000,000",—
521,"$36,000,000",—
522,"$25,001,500",—
523,"$9,000,000",—
524,"$250,000",—
525,—,—
526,"$2,500,000",—
527,—,—
528,"$2,800,000",—
529,"CA$25,000",—
530,—,—
531,—,—
532,"$1,500,000",—
533,"CN¥1,000,000",—
534,"$27,100,143",—
535,"$750,000",—
536,"$1,000,000",—
537,"$3,000,000",—
538,"$1,600,000",—
539,"$2,250,000",—
540,"$11,000,000",—
541,"$1,180,000",—
542,"$3,500,000",—
543,"$3,900,000",—
544,"$6,619,811",—
545,"$1,946,030",—
546,"$19,006,443",—
547,—,—
548,"$7,000,000",—
549,"$325,000",—
550,—,—
551,"$12,500,000",—
552,"$20,600,000",—
553,—,—
554,"₩9,000,000,000",—
555,—,—
556,—,—
557,"€2,600,000",—
558,"$3,000,000",—
559,"$100,000",—
560,"$2,600,000",—
561,"CN¥7,500,000",—
562,—,—
563,"CN¥50,000,000",—
564,"$3,000,000",—
565,"$7,000,000",—
566,"$12,600,000",—
567,"$10,000,000",—
568,—,—
569,"$2,500,000",—
570,"$1,005,347",—
571,"$20,300,000",—
572,"$110,000,000",—
573,"$447,822",—
574,"$500,000",—
575,"$45,000,000","$1,155,000,000"
576,—,—
577,"¥5,016,000",—
578,"$14,000,000",—
579,—,—
580,"$20,000,000",—
581,"$128,179",—
582,"$300,000",—
583,"$5,500,000",—
584,"$2,400,000",—
585,—,—
586,"CN¥10,000,000",—
587,"$17,600,000",—
588,"$500,000",—
589,"$6,000,000",—
590,"CHF500,000",—
591,"$500,000",—
592,"$3,000,000",—
593,"£350,000",—
594,"$13,410,221",—
595,—,—
596,"$7,880,305",—
597,"£3,000,000",—
598,"$100,000",—
599,"$15,000,000",—
600,—,—
601,"CN¥10,000,000",—
602,"$17,600,000",—
603,"$500,000",—
604,"$6,000,000",—
605,"CHF500,000",—
606,"$500,000",—
607,"$3,000,000",—
608,"£350,000",—
609,"$13,410,221",—
610,—,—
611,"$7,880,305",—
612,"£3,000,000",—
613,"$100,000",—
614,"$15,000,000",—
615,"$1,467,138",—
616,"$500,000,000",—
617,"$1,711,494",—
618,"$5,932,584",—
619,"$3,600,000",—
620,"$15,600,000",—
621,"$30,000,000",—
622,"CN¥10,000,000",—
623,"£1,000,000",—
624,"$5,000,000",—
625,—,—
626,"CN¥10,000,000",—
627,"$17,600,000",—
628,"$500,000",—
629,"$6,000,000",—
630,"CHF500,000",—
631,"$500,000",—
632,"$3,000,000",—
633,"£350,000",—
634,"$13,410,221",—
635,—,—
636,"$7,880,305",—
637,"£3,000,000",—
638,"$100,000",—
639,"$15,000,000",—
640,"$1,467,138",—
641,"$500,000,000",—
642,"$1,711,494",—
643,"$5,932,584",—
644,"$3,600,000",—
645,"$15,600,000",—
646,"$30,000,000",—
647,"CN¥10,000,000",—
648,"£1,000,000",—
649,"$5,000,000",—
650,"$2,000,000",—
651,"€6,000,000",—
652,"$300,000",—
653,"$118,750",—
654,"$765,000",—
655,"$4,000,000",—
656,"$3,000,000",—
657,"$13,000,000",—
658,"$1,866,084",—
659,"A$400,000",—
660,"$1,427,489",—
661,"$5,000,000",—
662,"$550,000",—
663,—,—
664,"DKK500,000",—
665,"€3,500,000",—
666,"€200,000",—
667,"$450,000",—
668,"CN¥50,000,000",—
669,—,—
670,"$1,700,000",—
671,"CN¥50,000,000",—
672,"CN¥10,000,000",—
673,"$5,663,165",—
674,"CN¥5,000,000",—
675,—,—
676,"CN¥20,000,000",—
677,"$500,000",—
678,—,—
679,"$353,000",—
680,"$8,999,994",—
681,"$4,200,000",—
682,"$8,438,335",—
683,"$30,000,000",—
684,"CN¥40,000,000",—
685,"CN¥10,000,000",—
686,"$37,100,866",—
687,"$20,000,000","$780,000,000"
688,"$13,609,749",—
689,"CHF10,000",—
690,"$3,151,000",—
691,"$5,500,000",—
692,"$5,183,662",—
693,"€10,000",—
694,"$400,000",—
695,"$1,000,000",—
696,"CHF10,000",—
697,"$750,000","$3,000,000"
698,"€12,500,000",—
699,"$20,000",—
700,"CN¥3,000,000",—
701,—,—
702,"€75,000",—
703,"$2,700,000",—
704,—,—
705,—,—
706,"£3,950,000",—
707,"$3,000,000",—
708,"$565,000",—
709,—,—
710,"$375,000","$4,000,000"
711,"CA$25,000",—
712,"$9,600,000",—
713,"¥200,000,000",—
714,"$7,893,932",—
715,"€4,054,000",—
716,—,—
717,—,"$5,000,000"
718,"$10,935,616",—
719,"$3,000,000",—
720,"$3,440,000",—
721,—,—
722,—,—
723,—,—
724,"$270,000",—
725,"$38,500",—
726,—,—
727,—,—
728,"CA$1,200,000",—
729,—,—
730,"CN¥52,330,000",—
731,"$115,000",—
732,—,—
733,"€50,000",—
734,"HK$90,000",—
735,—,—
736,"$46,700,000",—
737,"CN¥80,000,000",—
738,"$14,700,000",—
739,—,—
740,—,—
741,"£4,900,000",—
742,"$550,000","$2,000,000"
743,"$200,000",—
744,—,—
745,"£4,000,000",—
746,"$877,000",—
747,"CN¥10,000,000",—
748,"CN¥3,000,000",—
749,"$51,500,000",—
750,"€1,500,000",—
751,—,—
752,"$6,100,000",—
753,—,—
754,"CA$7,092,775",—
755,"CN¥20,000,000",—
756,"$10,000,000",—
757,—,—
758,"$2,530,000","$16,100,000"
759,"$1,000,000",—
760,"$120,000",—
761,—,—
762,"$9,000,000",—
763,"$7,300,000",—
764,"$1,800,000",—
765,"€9,600,000",—
766,"$10,000,000",—
767,"$100,000",—
768,"$100,000",—
769,"CN¥3,000,000",—
770,"CN¥5,000,000",—
771,—,—
772,"£4,900,000",—
773,"£12,000,000",—
774,"$2,925,000",—
775,"$6,635,449",—
776,"$3,352,500",—
777,"CHF1,000,000",—
778,"CA$1,500,000",—
779,—,—
780,"$1,352,350",—
781,—,—
782,"$44,000,000",—
783,"$8,000,000",—
784,"$1,850,000",—
785,—,—
786,"$200,000",—
787,"CN¥1,200,000,000",—
788,—,—
789,"$1,300,000",—
790,"$1,000,000",—
791,"CN¥10,000,000",—
792,"$1,000,000",—
793,—,—
794,"CHF20,000",—
795,"$500,000",—
796,"$250,000",—
797,"£1,000,000",—
798,"$18,000,000",—
799,"$27,000,000",—
800,"$8,177,021",—
801,"$120,000",—
802,—,—
803,"$148,638",—
804,"$1,000,000",—
805,"$7,500,000",—
806,"$60,000,000",—
807,—,—
808,"$10,000,000",—
809,"$20,400,000",—
810,"$1,332,500",—
811,"$30,000,000",—
812,—,—
813,"$10,000,000",—
814,"$3,000,000",—
815,—,—
816,—,—
817,"¥830,000,000",—
818,"CN¥100,000,000",—
819,"$22,169,135",—
820,"$3,585,788",—
821,"$1,150,000","$6,000,000"
822,"CA$1,500,000","CA$6,500,000"
823,"$12,369,483",—
824,"$15,500,000",—
825,"$4,000,000",—
826,"$6,249,999",—
827,"$26,000,000",—
828,"€30,000,000",—
829,—,—
830,"CA$20,280,000",—
831,"CN¥80,000,000",—
832,"$1,650,000",—
833,"$35,000",—
834,"$434,000",—
835,"$4,000,000",—
836,"$673,354",—
837,"$33,000,000",—
838,"$45,000,000",—
839,—,—
840,"$6,407,000",—
841,"€1,000,000","€3,500,000"
842,"$34,000,000",—
843,"€1,600,000",—
844,"$214,814",—
845,"$753,986",—
846,"$562,500",—
847,"$9,999,999",—
848,"$2,181,000",—
849,"$15,000","$300,000"
850,—,—
851,"$470,000",—
852,"$1,000,000",—
853,"$2,085,937",—
854,"$315,000",—
855,"$172,500,000",—
856,"$705,000",—
857,"$250,000",—
858,"$6,600,000",—
859,"$4,016,816",—
860,"$300,000",—
861,—,—
862,"$33,000,000",—
863,—,—
864,—,—
865,"CN¥20,000,000",—
866,"$25,000,000",—
867,"$25,000",—
868,—,—
869,"$718,000",—
870,"R$150,000","R$850,000"
871,"CA$5,000,000",—
872,"$3,000,000",—
873,"$5,000,000",—
874,"$1,230,138",—
875,"$20,000,017",—
876,"$4,400,000",—
877,"€1,700,000",—
878,"$25,449,987",—
879,"¥651,664,000",—
880,"$15,000,000",—
881,"$6,000,000",—
882,"$49,389,680",—
883,—,—
884,"R$150,000","R$850,000"
885,—,—
886,"CHF130,000",—
887,"$10,000,000",—
888,—,—
889,"CN¥10,000,000",—
890,"$500,000",—
891,"$3,000,000",—
892,"$48,000,000",—
893,—,—
894,"$42,000,000",—
895,"$8,888,888",—
896,"£546,050",—
897,—,—
898,"$24,999,999",—
899,"$5,998,000","$15,000,000"
900,"CHF300,000",—
901,—,—
902,—,—
903,"$10,000,000",—
904,—,—
905,"$100,000",—
906,"$322,500",—
907,"$2,200,000",—
908,"$3,300,000",—
909,—,—
910,"$650,000",—
911,"$495,000",—
912,—,—
913,"$11,000",—
914,"£14,800,000",—
915,"$3,981,016",—
916,"$550,001",—
917,"$3,406,407",—
918,"$5,550,000",—
919,—,—
920,"$250,000",—
921,"$1,200,000",—
922,"€2,000,000",—
923,"NOK100,000",—
924,"$8,200,000",—
925,"$200,000",—
926,"CN¥3,000,000",—
927,"$6,725,000",—
928,"$14,900,000",—
929,"$25,000",—
930,"$23,000,000",—
931,—,—
932,"€2,650,000",—
933,"$352,000",—
934,"$100,000,000",—
935,"$1,000,417",—
936,"$65,000,000",—
937,—,—
938,"$7,000,000",—
939,"$35,600,000",—
940,"$400,000",—
941,"$520,000","$2,100,000"
942,"$40,000,000",—
943,—,—
944,"$35,000,000",—
945,"$345,000",—
946,—,—
947,"$11,000,000",—
948,—,—
949,—,—
950,—,—
951,"$20,000,000","$14,000,000"
952,"$29,471,095",—
953,"$17,700,000",—
954,—,—
955,"$27,318,781",—
956,—,—
957,"CHF100,000",—
958,"$40,000",—
959,—,—
960,"$2,000,000",—
961,"$1,400,000",—
962,"$40,000",—
963,"$180,000",—
964,"$7,500,000",—
965,—,—
966,"$1,500,000",—
967,"$7,000,000",—
968,"$4,500,000",—
969,"$750,000",—
970,"$60,000","$10,000,000"
971,"$4,251,178",—
972,"$50,000",—
973,—,—
974,"$691,000",—
975,"$2,000,000",—
976,"€1,590,000",—
977,"$13,000,000",—
978,—,—
979,"$1,000",—
980,—,—
981,—,—
982,—,"$1,000,000,000"
983,"€6,000,000",—
984,"$100,000",—
985,"$4,500,000",—
986,"£1,000,000",—
987,"$21,000,000",—
988,"$4,950,555",—
989,"$100,000,000",—
990,"$20,000,000",—
991,"$6,000,000","$10,000,000"
992,"£103,690",—
993,"$1,400,000",—
994,—,—
995,"CN¥93,000,000",—
996,"$11,600,000",—
997,"$5,500,000",—
998,"£350,000",—
999,"$5,000,000",—
1000,—,—
1001,"$34,400,000",—
1002,"$17,981,610",—
1003,"$26,300,000",—
1004,"$5,200,000",—
1005,"CN¥10,000,000",—
1006,"CN¥5,000,000",—
1007,"$2,000,000",—
1008,"$3,000,000",—
1009,"CN¥3,000,000",—
1010,"CN¥3,000,000",—
1011,"CN¥20,000,000",—
1012,"CN¥5,000,000",—
1013,—,—
1014,"€1,600,000",—
1015,—,—
1016,"$2,500,000",—
1017,—,—
1018,—,—
1019,—,—
1020,"CHF100,000",—
1021,—,—
1022,"$480,000",—
1023,—,—
1024,—,—
1025,—,—
1026,"$12,000,000",—
1027,—,"$8,000,000"
1028,—,—
1029,"$774,000",—
1030,—,—
1031,—,—
1032,—,—
1033,—,—
1034,—,—
1035,"CN¥60,000,000",—
1036,"$250,000",—
1037,—,—
1038,"$2,019,751",—
1039,—,—
1040,"€50,000",—
1041,"$3,000,000","$10,000,000"
1042,"$75,000",—
1043,"$450,000",—
1044,"£127,000",—
1045,"€50,000",—
1046,"€50,000",—
1047,—,—
1048,—,—
1049,—,—
1050,—,—
1051,"CA$350,000",—
1052,—,—
1053,—,—
1054,"€50,000",—
1055,—,—
1056,—,—
1057,—,—
1058,"$1,400,000",—
1059,—,—
1060,—,—
1061,"$320,000",—
1062,—,—
1063,"$680,000",—
1064,—,—
1065,"$16,000,000",—
1066,"€50,000",—
1067,—,—
1068,"€744,000",—
1069,—,—
1070,—,—
1071,—,—
1072,"$470,000",—
1073,—,—
1074,"$200,000",—
1075,"$100,000",—
1076,—,—
1077,—,—
1078,—,—
1079,—,—
1080,—,—
1081,—,—
1082,—,—
1083,"$75,000",—
1084,—,—
1085,—,—
1086,—,—
1087,"€50,000",—
1088,"$200,000",—
1089,—,—
1090,"$40,000,000",—
1091,"$1,500,000",—
1092,—,—
1093,"$2,150,000",—
1094,—,—
1095,"$900,000",—
1096,—,—
1097,"$30,000,000",—
1098,"$4,000,000",—
1099,"$853,334",—
1100,"€50,000",—
1101,—,—
1102,"$4,000,000",—
1103,"NZ$121,593",—
1104,—,—
1105,"$100,000",—
1106,"$250,000",—
1107,—,—
1108,"€50,000",—
1109,—,—
1110,"£1,300,000",—
1111,"$53,800,000",—
1112,"€300,000",—
1113,—,—
1114,—,—
1115,"$25,000,000",—
1116,"€4,393,596",—
1117,"ISK15,000,000",—
1118,"$100,000","$2,225,000"
1119,"€135,000",—
1120,"$35,000",—
1121,"$50,000,000",—
1122,"$1,985,000",—
1123,"$10,400,000",—
1124,—,—
1125,"€50,000",—
1126,—,—
1127,"$8,000,000",—
1128,"$3,000,000","$8,000,000"
1129,—,"$1,600,000"
1130,"$4,023,102",—
1131,"$170,228",—
1132,"€300,000","€2,500,000"
1133,"$1,800,000",—
1134,"$3,400,000",—
1135,—,—
1136,"$50,000,000",—
1137,—,—
1138,"$11,000,000",—
1139,—,—
1140,"$60,000,000",—
1141,"CN¥3,000,000",—
1142,"CN¥10,000,000",—
1143,"$500,000",—
1144,"€95,000",—
1145,"€437,000",—
1146,"CN¥1,500,000",—
1147,"$400,000",—
1148,—,—
1149,—,—
1150,"$700,000",—
1151,—,—
1152,—,—
1153,—,—
1154,"$15,240,000",—
1155,"$18,000,000",—
1156,"$2,500,000",—
1157,"$3,569,000",—
1158,"$1,000,000",—
1159,"$150,000",—
1160,"$25,000",—
1161,"$2,100,000",—
1162,"$51,200,000",—
1163,"$1,270,000",—
1164,"$10,000,000",—
1165,"$142,000,000",—
1166,"CN¥9,000,000",—
1167,—,—
1168,"CN¥20,000,000",—
1169,"$2,500,000",—
1170,—,—
1171,"$370,000","ISK45,000,000"
1172,"$1,070,000",—
1173,"$49,000,000",—
1174,"$197,000",—
1175,"$217,406",—
1176,—,—
1177,"€3,495,000",—
1178,"$22,499,999",—
1179,"$3,300,000",—
1180,"$2,000,000",—
1181,"$1,500,000",—
1182,"€850,000",—
1183,"$5,900,000",—
1184,"CN¥20,000,000",—
1185,"CN¥10,000,000",—
1186,"$5,000,000",—
1187,"$3,250,000",—
1188,"$829,230",—
1189,"$750,000",—
1190,"$100,000",—
1191,"$19,300,000","$62,260,000"
1192,"$1,000,000",—
1193,"$12,000,000",—
1194,—,—
1195,"$12,000,000",—
1196,"$3,000,000",—
1197,"$224,000",—
1198,—,—
1199,"$116,400",—
1200,"$600,000",—
1201,"$6,200,000",—
1202,"£513,000","£6,500,000"
1203,"$1,538,801",—
1204,"$525,000",—
1205,"$1,000,000",—
1206,"$192,500",—
1207,"$380,012",—
1208,"$2,500,000",—
1209,"$1,200,000",—
1210,"$1,500,000",—
1211,"$2,000,000",—
1212,"$396,820",—
1213,"$100,000",—
1214,"$750,000",—
1215,"$14,938,357",—
1216,"$250,000",—
1217,"$355,000",—
1218,"$50,000",—
1219,"$50,000",—
1220,"£680,000",—
1221,"$992,883",—
1222,—,—
1223,"$5,000,000",—
1224,"$5,200,000",—
1225,"$590,000",—
1226,"$450,000",—
1227,—,—
1228,"$12,000,000",—
1229,"CN¥20,000,000",—
1230,"$8,000,000",—
1231,"$4,400,000",—
1232,—,—
1233,"$4,326,723",—
1234,"$1,145,804",—
1235,"$1,080,000",—
1236,"£1,500,000",—
1237,"€120,000",—
1238,"$1,000,000",—
1239,"$1,700,000",—
1240,"$150,000",—
1241,"$20,000",—
1242,"£350,000",—
1243,"$865,000",—
1244,"$160,000,000",—
1245,"$500,000,000","$2,500,000,000"
1246,"CN¥160,000,000",—
1247,—,—
1248,"$7,791,000",—
1249,"$7,500,000",—
1250,"$99,930,499",—
1251,"$3,468,006",—
1252,"$1,100,000","$5,000,000"
1253,"£1,269,830",—
1254,"$503,000",—
1255,"$1,750,000",—
1256,—,—
1257,—,—
1258,—,—
1259,"$6,000,000",—
1260,—,—
1261,"$6,000,000",—
1262,"¥200,000,000",—
1263,—,—
1264,"$3,750,000",—
1265,"$200,000",—
1266,"$200,000",—
1267,"$1,700,000",—
1268,"SEK8,000,000",—
1269,—,—
1270,"$850,000",—
1271,"$15,200,000",—
1272,"$250,000",—
1273,"$9,200,000",—
1274,"$6,000,000",—
1275,"$100,000",—
1276,"$125,000",—
1277,—,—
1278,"$21,999",—
1279,"$4,500,000",—
1280,"$500,000",—
1281,"$8,000,000",—
1282,"$71,617",—
1283,"$205,000",—
1284,"$2,000,000",—
1285,"$125,000",—
1286,"$1,300,000",—
1287,"CN¥3,000,000",—
1288,"€12,000,000",—
1289,"$39,800,000",—
1290,"$18,200,000",—
1291,—,—
1292,"$1,450,000",—
1293,"$479,930",—
1294,"$526,000",—
1295,"$442,321",—
1296,—,—
1297,"$20,000,000",—
1298,"$10,600,000",—
1299,"$2,500,000",—
1300,"£1,150,000",—
1301,"CN¥3,800,000",—
1302,"CN¥20,000,000",—
1303,—,—
1304,"$2,500,000",—
1305,—,—
1306,"$2,230",—
