,Organisation,Investors,Location
54, River Ridge , Business Growth Fund," Burnsville, Minnesota, United States, North America"
55, University Ambulatory Surgery Center , — ," San Diego, California, United States, North America"
56, Adgero Biopharmaceuticals , SternAegis," Princeton, New Jersey, United States, North America"
57, NociMed , — ," San Mateo, California, United States, North America"
58, Lilu , Dreamit Ventures," New York, New York, United States, North America"
59, Padinmotion , Dreamit Ventures," New York, New York, United States, North America"
60, LifeWallet , — ," Miami, Florida, United States, North America"
61," LiftSync, LLC ", Ark Applications," Lutz, Florida, United States, North America"
62, Helicon Health , DigitalHealth.London Accelerator," London, England, United Kingdom, Europe"
63, Cogentix Medical , Accelmed," Minnesota City, Minnesota, United States, North America"
64, Synotrac , Dreamit Ventures," Philadelphia, Pennsylvania, United States, North America"
65, PhotoniCare , Dreamit Ventures," Champaign, Illinois, United States, North America"
66, Immunostics , — ," Ocean City, New Jersey, United States, North America"
67, Aerie Pharmaceuticals , — ," Bedminster, New Jersey, United States, North America"
68, GammaDelta Therapeutics ," Abingworth, Cancer Research Technology, King's College London, The Francis Crick Institute"," London, England, United Kingdom, Europe"
69, SenGenix , — ," Durham, North Carolina, United States, North America"
70, Enochian BioSciences , — ," New York, New York, United States, North America"
71, Kenota Health ," 1517 Fund, OS Fund, Tencent Holdings, Y Combinator"," Kitchener, Ontario, Canada, North America"
72, FitDel - Fitness Delivered , — ," Austin, Texas, United States, North America"
73, Intarcia Therapeutics ," Baillie Gifford, Fidelity, Foresite Capital, Kayon Partners, RA Capital Management, The Baupost Group, The Pritzker Organization"," Hayward, California, United States, North America"
74, Tiani Spirit GmbH , Heliad Equity Partners," Bisamberg, Niederosterreich, Austria, Europe"
75, VitaScan , — ," Ithaca, New York, United States, North America"
76, Curo Technologies , HCF Catalyst," Melbourne, Victoria, Australia, Oceania"
77, MYSPHERA , Natural Bridges Ventures (NBV)," Valencia, Comunidad Valenciana, Spain, Europe"
78, Xverity , Ben Franklin Technology Partners of Northeastern Pennsylvania," Bethlehem, Pennsylvania, United States, North America"
79, NextStep.io , IDEA Northeastern University's Venture Accelerator," Cedar Rapids, Iowa, United States, North America"
80, Xenex , — ," San Antonio, Texas, United States, North America"
81, CellNovo , — ," Wales, Cumbria, United Kingdom, Europe"
82, WattGlass , US Department of Energy," Fayetteville, Arkansas, United States, North America"
83, Peloton Therapeutics ," Foresite Capital, Nextech Invest, Regents of the University of California, Remeditex Ventures, The Column Group, Tichenor Ventures, Topspin Fund"," Dallas, Texas, United States, North America"
84, Liberate Medical , National Science Foundation," Crestwood, Kentucky, United States, North America"
85, WEconnect Health Management ," Fred Luddy, Mike Figge, Tim Kerr"," Seattle, Washington, United States, North America"
86, Adan Medical Innovation ," Banc Sabadell and the Institut Català de Finances (ICF), ENISA"," Barcelona, Catalonia, Spain, Europe"
87, VeeMed Inc. , — ," Roseville, California, United States, North America"
88, Sofregen Medical , Polaris Partners," Cambridge, Massachusetts, United States, North America"
89, Yosi ," Abe Benitez, David Zweig, Dr. Arthur Chandler, Dr. Srinivas Somanchi, Dreamit Ventures, John Gillespie, StartUp Health, Steve Barsh"," New York, New York, United States, North America"
90, H4D ," Bpifrance, CNP Assurances, Innovation Capital"," Paris, Ile-de-France, France, Europe"
91, ReFlow Therapeutics , — ," Baar, Zug, Switzerland, Europe"
92, Relay Therapeutics , Third Rock Ventures," Cambridge, Massachusetts, United States, North America"
93, Fupai E-jiao , Zhongxing Shengshi," Jinan, Shandong, China, Asia"
94, Potrero Medical , Green Park & Golf Ventures," Hayward, California, United States, North America"
95, Beijing Gene+ Technology ," BGI Group, Green Pine Capital Partners, Huoshanshi Capital"," Changping, Beijing, China, Asia"
96, Osigu , ATW Partners," Madrid, Madrid, Spain, Europe"
97, Hancock Regional Hospital , — ," Greenfield, Indiana, United States, North America"
98, Advanced Tear Diagnostics (ATD) , — ," Birmingham, Alabama, United States, North America"
99, Wellinks ," Bulldog Innovation Group LLC, SoundBoard Venture Fund"," New Haven, Connecticut, United States, North America"
100, Western Avenue Capital , — ," Los Angeles, California, United States, North America"
101, DoctorGummy , Vallis Capital Partners," Porto, Lisboa, Portugal, Europe"
102, Hybrent , — ," Arlington, Virginia, United States, North America"
103, NovaSignal , National Institutes of Health," Los Angeles, California, United States, North America"
104, BAROnova , Square 1 Bank," Goleta, California, United States, North America"
105, 1mdata.com ," FH Capital, NewMargin Ventures, Tendence Capital, West Capital Management"," Beijing, Beijing, China, Asia"
106, Enrich Bioscience , — ," Toronto, Ontario, Canada, North America"
107, Credence MedSystems , — ," Menlo Park, California, United States, North America"
108, ExplORer Surgical ," CJM Ventures, M25, SymphonyAlpha Ventures, The University of Chicago Innovation Fund, Wasson Enterprise"," Chicago, Illinois, United States, North America"
109," RFPi, Inc. ", — ," Greenville, North Carolina, United States, North America"
110, Swallow Solutions ," NEW Capital Fund, Venture Management, Wisconsin Investment Partners, Wisconsin Super Angel Fund"," Madison, Wisconsin, United States, North America"
111, Atea Pharmaceuticals , — ," Boston, Massachusetts, United States, North America"
112, SaladStop! ," DSG Consumer Partners, Hera Capital"," Media, Pennsylvania, United States, North America"
113, Promimic ," Almi Invest, Chalmers Ventures AB, Karolinska"," Göteborg, Vastra Gotaland, Sweden, Europe"
114, Med-Compliance IQ , Rev1 Ventures," Powell, Ohio, United States, North America"
115, MedBridge , — ," Seattle, Washington, United States, North America"
116, Dosist , White Owl Capital Partners," Stamford, Connecticut, United States, North America"
117, Advanced Interactive Response Systems , — ," Newaygo, Michigan, United States, North America"
118, Glooko ," Canaan Partners, Samsung NEXT, Social Capital, Yogen Dalal"," Mountain View, California, United States, North America"
119, Immuneed , Almi Invest," Uppsala, Uppsala Lan, Sweden, Europe"
120, Vim , GreatPoint Ventures," San Francisco, California, United States, North America"
121, Capsule , — ," Nairobi, Nairobi Area, Kenya, Africa"
122, SpaMedica , CBPE Capital," Manchester, Manchester, United Kingdom, Europe"
123, Community Health Network , North Central Health Services," Indianapolis, Indiana, United States, North America"
124, MedCrypt ," LRVHealth, Safeguard Scientifics"," Encinitas, California, United States, North America"
125, Waming Jiankang ," Xinyu Yongtong Investment, Yongxiangrong Touzi"," Guangzhou, Guangdong, China, Asia"
126, Candel , National Securities Corporation," Needham, Massachusetts, United States, North America"
127, Mumo , DigitalHealth.London Accelerator," London, England, United Kingdom, Europe"
128, Inhealthcare , DigitalHealth.London Accelerator," Harrogate, North Yorkshire, United Kingdom, Europe"
129, HiveWire , Creative England," Bournemouth, Bournemouth, United Kingdom, Europe"
130, Lean On Me , MIT delta v," Cambridge, Massachusetts, United States, North America"
131, Second Nature , DigitalHealth.London Accelerator," London, England, United Kingdom, Europe"
132, Semma Therapeutics , — ," Cambridge, Massachusetts, United States, North America"
133, Avitide , Mithril Capital Management," Lebanon, New Hampshire, United States, North America"
134, Written Medicine , DigitalHealth.London Accelerator," London, England, United Kingdom, Europe"
135, Onduo ," Sanofi, Verily"," Cambridge, Massachusetts, United States, North America"
136, LiveSmart , DigitalHealth.London Accelerator," Mayfair, Westminster, United Kingdom, Europe"
137, Obalon Therapeutics , — ," Carlsbad, California, United States, North America"
138, U.S. Renal Care , — ," Plano, Texas, United States, North America"
139, CV Lab ," Andrea Venturelli, Giovanni Leo, Innogest Capital, IP Investimenti Partecipazioni"," Milano, Lombardia, Italy, Europe"
140, IndeeLift , — ," Livermore, California, United States, North America"
141, Berlin Heals , — ," Berlin, Berlin, Germany, Europe"
142, Affigo.io , DigitalHealth.London Accelerator," Manchester, Manchester, United Kingdom, Europe"
143, Catalyst OrthoScience , IrishAngels," Naples, Florida, United States, North America"
144, Rendever , MIT delta v," Somerville, Massachusetts, United States, North America"
145, Securisyn Medical , — ," Littleton, Colorado, United States, North America"
146, Emerald , MIT delta v," Cambridge, Massachusetts, United States, North America"
147, 11 Health , DigitalHealth.London Accelerator," London, England, United Kingdom, Europe"
148, Dentalia , ALLVP," Mexico City, Distrito Federal, Mexico, North America"
149, Club Soda , DigitalHealth.London Accelerator," London, England, United Kingdom, Europe"
150, SUPAspot , StartUp Health," Brooklyn, New York, United States, North America"
151, Cinapsis , DigitalHealth.London Accelerator," London, England, United Kingdom, Europe"
152, Circular Wave , DigitalHealth.London Accelerator," London, England, United Kingdom, Europe"
153, Qspex Technologies , — ," Alpharetta, Georgia, United States, North America"
154," Now Healthcare Group (Now GP, Now Patient and Dr Now) ", DigitalHealth.London Accelerator," Manchester, Manchester, United Kingdom, Europe"
155, Hunterian Medicine , — ," Cambridge, Massachusetts, United States, North America"
156, Verisk Analytics , Mawer Investment Management Ltd.," Jersey City, New Jersey, United States, North America"
157, VoxelCloud , Sequoia Capital," Los Angeles, California, United States, North America"
158, ConsortiEX , — ," Milwaukee, Wisconsin, United States, North America"
159, Poshtick ," Amit Nagar, Bhavya Sharma"," Noida, Uttar Pradesh, India, Asia"
160, KYEE ," SBCVC, Sensegain Asset Management"," Xuhui, Shanghai, China, Asia"
161, Taivex Mhealth , Shenzhen Guotou Taikun Investment Management," Xuhui, Shanghai, China, Asia"
162, KANG , YILING HEALTH CENTER," Beijing, Beijing, China, Asia"
163, Halodoc ," Blibli, Capikris Foundation, Clermont Group, Gojek, Investopedia, Openspace Ventures"," Jakarta, Jakarta Raya, Indonesia, Asia"
164, Texas Health Presbyterian Hospital Rockwall , — ," Rockwall, Texas, United States, North America"
165, Valeris Medical , — ," Marietta, Georgia, United States, North America"
166, Nectarine Health AB , — ," Stockholm, Stockholms Lan, Sweden, Europe"
167, Paubox , 500 Startups," San Francisco, California, United States, North America"
168, VITALI Wear ," HAX, SOSV"," Vancouver, British Columbia, Canada, North America"
169, Tangible Science , Mission Bay Capital," Menlo Park, California, United States, North America"
170, Blue Prairie ," DSM Venturing, Invest Nebraska, Middleland Capital, PM Equity Partner, S2G Ventures"," Gering, Nebraska, United States, North America"
171, ORamaVR , PJ Tech Catalyst," Carouge, Geneve, Switzerland, Europe"
172, Leapcure , 500 Startups," Los Angeles, California, United States, North America"
173, Ischemia Care , — ," Oxford, Ohio, United States, North America"
174, Nonnatech , 500 Startups," New York, New York, United States, North America"
175, Lineage Cell Therapeutics , — ," Carlsbad, California, United States, North America"
176, Aluna , Bolt," San Francisco, California, United States, North America"
177, AcuFocus ," Kohlberg Kravis Roberts, SV Health Investors"," Irvine, California, United States, North America"
178," SimplifiMed, Inc. ", 500 Startups," Fremont, California, United States, North America"
179, Made of Genes (Genomcore) ," CG Health Ventures, ENISA, ESADE BAN, Wayra"," Esplugas De Llobregat, Catalonia, Spain, Europe"
180, Good Feeling Fitness , SUVC," Shenzhen, Guangdong, China, Asia"
181, THEYA Healthcare , Enterprise Ireland," Dublin, Dublin, Ireland, Europe"
182, Cureinstant , Rameshwar Kumar," Noida, Uttar Pradesh, India, Asia"
183, SoyMeds , National Institutes of Health," Charlotte, North Carolina, United States, North America"
184, Feel ," HAX, SOSV"," San Francisco, California, United States, North America"
185, LifeSignals ," Seraph Group, UniQuest,, XSeed Capital"," Fremont, California, United States, North America"
186, BodyBoss , — ," Cincinnati, Ohio, United States, North America"
187, GraftWorx , Dreamit Ventures," Menlo Park, California, United States, North America"
188, Centre for Diabetes and Endocrinology , KLEOSS Capital," Johannesburg, NA - South Africa, South Africa, Africa"
189, VetPronto , Asian Cowboy," San Francisco, California, United States, North America"
190, Algal Scientific ," Evonik Industries, Formation 8, Huron River Ventures, Independence Equity"," Plymouth, Michigan, United States, North America"
191, TDX , Valle Impacta," Cali, Valle del Cauca, Colombia, South America"
192, 410 Medical , — ," Durham, North Carolina, United States, North America"
193, CarePlus ," Fulcrum Equity Partners, Level Capital Partners"," Watkinsville, Georgia, United States, North America"
194, IDbyDNA ," Abstract Ventures, Artis Ventures (AV), ARUP Laboratories"," San Carlos, California, United States, North America"
195, Veniti , — ," Fremont, California, United States, North America"
196, OBMedical ," New World Angels, VentureSouth"," Newberry, Florida, United States, North America"
197, AnTolRx ," JDRF (The Juvenile Diabetes Research Foundation), Orion Healthcare Equity Partners, Pfizer Venture Investments"," Cambridge, Massachusetts, United States, North America"
198, Urotronic , — ," Minneapolis, Minnesota, United States, North America"
199, SOC Telemed , CRG," Reston, Virginia, United States, North America"
200, University of Rochester Medical Center , — ," Rochester, New York, United States, North America"
201, AltheaDx , — ," San Diego, California, United States, North America"
202, accuRx , Entrepreneur First," Johnston, Rhode Island, United States, North America"
203, Vivasure Medical ," Enterprise Ireland, Evonik Venture Capital, Fountain Healthcare Partners, Life Sciences Partners, LSP Health Economics Fund, Panakes Partners"," Galway, Galway, Ireland, Europe"
204, Kheiron ," Cambridge Angels group, Connect Ventures, Edward Lando, Entrepreneur First, Isomer Capital, Samos Investments, Walking Ventures"," London, England, United Kingdom, Europe"
205, Neurofenix , Entrepreneur First," London, England, United Kingdom, Europe"
206, Backjoy , — ," Boulder, Colorado, United States, North America"
207, Innovative Wellness Solutions , — ," Oakmont, Pennsylvania, United States, North America"
208, LASIK MD , — ," Montréal, Quebec, Canada, North America"
209, GENE DENOVO , Shenzhen Yanghe Biomedical Industry Investment," Panyu, Guangdong, China, Asia"
210, BioMarker Strategies , — ," Baltimore, Maryland, United States, North America"
211, ROX Medical ," Apple Tree Partners, Domain Associates, Novartis Venture Fund, Versant Ventures"," San Clemente, California, United States, North America"
212, Fitwell , Founders Factory," London, England, United Kingdom, Europe"
213, eMedi Innovations , Vertical.vc," Helsinki, Southern Finland, Finland, Europe"
214, Effectus Labs , Vertical.vc," Torino, Piemonte, Italy, Europe"
215, Fabupharm , Eos Capital," Otjiwarongo, Otjozondjupa, Namibia, Africa"
216, DermoSafe , — ," Lausanne, Vaud, Switzerland, Europe"
217, MedicSen , Vertical.vc," Madrid, Madrid, Spain, Europe"
218, enigma BioTech , Vertical.vc," Istanbul, Istanbul, Turkey, Europe"
219, Diske , Vertical.vc," Kuopio, Eastern Finland, Finland, Europe"
220, Line Health ," Don Dodge, Ganexa Capital"," Boston, Massachusetts, United States, North America"
221, Elanix Biotechnologies , — ," Berlin, Berlin, Germany, Europe"
222, IoCare , Vertical.vc," Stuttgart, Baden-Wurttemberg, Germany, Europe"
223, Therapair , BlueChilli," Gold Coast, Queensland, Australia, Oceania"
224, Chemomab , OrbiMed," Tel Aviv, Tel Aviv, Israel, Asia"
225, Greenspace ," DMZ, Ontario Centres of Excellence"," Toronto, Ontario, Canada, North America"
226, TranQool Inc , Ontario Centres of Excellence," Toronto, Ontario, Canada, North America"
227, 24 Mantra Organic ," Peepul Capital LLC, VenturEast"," Hyderabad, Andhra Pradesh, India, Asia"
228, CryoCaddy , Ontario Centres of Excellence," London, Ontario, Canada, North America"
229, Attune Medical , — ," Chicago, Illinois, United States, North America"
230, SmileMD , — ," Dublin, Ohio, United States, North America"
231, OncoDNA ," Ackermans & van Haaren, Inventures SA"," Gosselies, Hainaut, Belgium, Europe"
232, Ranomics , SOSV," San Francisco, California, United States, North America"
233, Sinopsys Surgical , Mercury Fund," Boulder, Colorado, United States, North America"
234, PenBlade , — ," Salt Lake City, Utah, United States, North America"
235, Carevoyance ," Startupbootcamp, Startupbootcamp Scale Digital Health Miami"," Portland, Oregon, United States, North America"
236, QoC Health , Startupbootcamp Scale Digital Health Miami," Toronto, Ontario, Canada, North America"
237, Blue Willow Systems ," Brian Underwood, Jeff Marks, John Luger, Ken Melkus, Paxion Capital Partners, Robert Bailey, Scott Macomber"," Menlo Park, California, United States, North America"
238, Maxwell Plus , Transition Level Investments," Brisbane, Queensland, Australia, Oceania"
239, Elder ," Hummingbird Ventures, MMC Ventures"," London, England, United Kingdom, Europe"
240, Spark-Tech , EASME - EU Executive Agency for SMEs," Kraków, Malopolskie, Poland, Europe"
241, MedtechtoMarket , SBRI Healthcare," Ince, Wigan, United Kingdom, Europe"
242, Smartmedical , Nippon Television Holdings," Chofu, Tokyo, Japan, Asia"
243, Healum , SBRI Healthcare," London, England, United Kingdom, Europe"
244, WEconnect Health Management , Steve Moak," Seattle, Washington, United States, North America"
245, GymForLess , Turtle Capital & Investments," Barcelona, Catalonia, Spain, Europe"
246, Tencar , Launch NY," Batavia, Illinois, United States, North America"
247, MSKnote , SBRI Healthcare," Worthing, West Sussex, United Kingdom, Europe"
248, Beyond Verbal ," Kuang-Chi Science, Singulariteam, Winnovation"," Tel Aviv, Tel Aviv, Israel, Asia"
249, FORM Life Invest , Jan Vichr," San Francisco, California, United States, North America"
250, Medipta Solutions Pvt Ltd , — ," Pune, Maharashtra, India, Asia"
251, ensa , — ," New York, New York, United States, North America"
252, MediConecta , Startupbootcamp Scale Digital Health Miami," Caracas, NA - Venezuela, Venezuela, South America"
253, VisionQuest Biomedical , National Institutes of Health," Albuquerque, New Mexico, United States, North America"
254, Viamed , SBRI Healthcare," Keighley, Bradford, United Kingdom, Europe"
255, PEGASI International , — ," Santiago, Region Metropolitana, Chile, South America"
256, Hayriya , Vestel Ventures," Kocaeli, Kocaeli, Turkey, Europe"
257, Viz ," Pear Launchpad, Techammer"," San Francisco, California, United States, North America"
258, iPlato Healthcare , SBRI Healthcare," Hammersmith, Hammersmith and Fulham, United Kingdom, Europe"
259, NuvOx Pharma , — ," Tucson, Arizona, United States, North America"
260, Zebra Academy , EASME - EU Executive Agency for SMEs," Brussels, Brussels Hoofdstedelijk Gewest, Belgium, Europe"
261, Osso VR , Presence Capital," Boston, Massachusetts, United States, North America"
262, Arcus Biosciences ," Celgene, DROIA, Foresite Capital, GV, Invus, Novartis, RTA Capital, Stanford University, Taiho Ventures, The Column Group"," Hayward, California, United States, North America"
263, HealAI ," Plug and Play, Plug and Play China"," Beijing, Beijing, China, Asia"
264, Meddy , — ," Dubai, Dubai, United Arab Emirates, Asia"
265, SweetSense , National Science Foundation," Portland, Oregon, United States, North America"
266, Mrayti , Oasis500," Amman, Amman, Jordan, Asia"
267, Kleo , Biohaven Pharmaceutical," New Haven, Connecticut, United States, North America"
268, Beebot company , — ," Hong Kong, Hong Kong Island, Hong Kong, Asia"
269, Babyscripts ," Startupbootcamp, Startupbootcamp Scale Digital Health Miami"," Washington, District of Columbia, United States, North America"
270, Marigold Health , — ," Boston, Massachusetts, United States, North America"
271, MyWay Digital Health , SBRI Healthcare," Dundee, Dundee City, United Kingdom, Europe"
272, Monsenso , — ," Copenhagen, Hovedstaden, Denmark, Europe"
273, Ulsys , SBRI Healthcare," Halifax, Calderdale, United Kingdom, Europe"
274, NMS Laboratories , FlyCap," Riga, Riga, Latvia, Europe"
275, Xytal , SBRI Healthcare," London, England, United Kingdom, Europe"
276, Medigo , Groupe Arnault," Berlin, Berlin, Germany, Europe"
277, Sight Diagnostics ," GEOC, New Alliance Capital, OurCrowd"," Tel Aviv, Tel Aviv, Israel, Asia"
278, Doc Abode , SBRI Healthcare," Pudsey, York, United Kingdom, Europe"
279, Urban Ultralight , Lumos Accelerator," Sanford, North Carolina, United States, North America"
280, Covolution , SBRI Healthcare," London, England, United Kingdom, Europe"
281, Micrima ," Parkwalk Advisors, Swarraton Partners, Technology Venture Partners, University of Bristol Enterprise Fund"," Bristol, Bristol, City of, United Kingdom, Europe"
282, Maui Wellness Group , — ," Kahului, Hawaii, United States, North America"
283, RENOVION , — ," Chapel Hill, North Carolina, United States, North America"
284, Lifelight (xim) , SBRI Healthcare," Southampton, Southampton, United Kingdom, Europe"
285, Saccade Diagnostics , SBRI Healthcare," Edinburgh, Edinburgh, City of, United Kingdom, Europe"
286, Instabeat , — ," San Francisco, California, United States, North America"
287, P1vital , SBRI Healthcare," Wallingford, Oxfordshire, United Kingdom, Europe"
288, Leuko , MIT delta v," Boston, Massachusetts, United States, North America"
289, Egalet , — ," Wayne, Pennsylvania, United States, North America"
290, Grace ," 14W, Luma Launch, Right Side Capital Management, Silicon Badia"," Santa Monica, California, United States, North America"
291, Correlia Biosystems , — ," San Francisco, California, United States, North America"
292, Iota Sciences , Oxford Sciences Innovation," Oxford, Oxfordshire, United Kingdom, Europe"
293, Hail Cosmetics , Costarter," Thunder Bay, Ontario, Canada, North America"
294, MedEx , Cowin Capital," Haidian, Beijing, China, Asia"
295," Luminostics, Inc. ", Khosla Ventures," Palo Alto, California, United States, North America"
296, Easterseals , Comcast Foundation," Chicago, Illinois, United States, North America"
297, Virginia Mason Medical Center , — ," Seattle, Washington, United States, North America"
298, Zillion Group , TwinFocus Capital Partners," Norwalk, Connecticut, United States, North America"
299, Bi02 Medical , Oxford Finance LLC," San Antonio, Texas, United States, North America"
300, PlanforFIT ," muru-D, RCL Accelerator"," Bangkok, Krung Thep, Thailand, Asia"
301, Micro-Helix ," Elite Capital, Golden Sunflower Capital, NCE Ventures, Touhu Network"," Beijing, Beijing, China, Asia"
302, Test Appropriate , StartUp Health," Centennial, Colorado, United States, North America"
303, PT Siloam International Hospitals , CVC Capital Partners," Tangerang, Jawa Barat, Indonesia, Asia"
304, Rock My World Media , Lighter Capital," San Diego, California, United States, North America"
305, Babybe ," MBG Baden Wuerttemberg, SOSV, VC Fonds Baden-Württemberg"," Stuttgart, Baden-Wurttemberg, Germany, Europe"
306, BlueCall , Propel Capital," Stockholm, Stockholms Lan, Sweden, Europe"
307, DogHero , Monashees," São Paulo, Sao Paulo, Brazil, South America"
308, Oh My Green , ZhenFund," Burlingame, California, United States, North America"
309, HighRoads , — ," Ottawa, Ontario, Canada, North America"
310, Darma Inc. , Shunwei Capital," Mountain View, California, United States, North America"
311, Farcast ," Accel, RA Capital Management, Sands Capital Ventures, Sequoia Capital India, Tata Capital"," Boston, Massachusetts, United States, North America"
312, Impel NeuroPharma , Alliance of Angels," Seattle, Washington, United States, North America"
313, Apollomics , OrbiMed," Foster City, California, United States, North America"
314, WinProbe , — ," North Palm Beach, Florida, United States, North America"
315, Klara ," Atlantic Labs, Groupe Arnault, Lerer Hippeau, Project A Ventures"," New York, New York, United States, North America"
316, Bluedrop Medical ," Dreamit Ventures, Enterprise Ireland"," Galway, Galway, Ireland, Europe"
317, QUBIC , Plum Ventures," Beijing, Beijing, China, Asia"
318, Doctor Insta ," BrahmaX Ventures, RoundGlass Partners"," Gurgaon, Haryana, India, Asia"
319, Right at Home , — ," Omaha, Nebraska, United States, North America"
320, Doctrin , — ," Stockholm, Stockholms Lan, Sweden, Europe"
321, Kontour Medical , Highlight Capital," Xuhui, Shanghai, China, Asia"
322, HelpWear , startGBC," Toronto, Ontario, Canada, North America"
323, Briotech , — ," Woodinville, Washington, United States, North America"
324, Fast Pace Urgent Care , Revelstoke Capital Partners," Waynesboro, Virginia, United States, North America"
325, Dr. Z , German Startups Group," Düsseldorf, Nordrhein-Westfalen, Germany, Europe"
326, LipUm , Almi Invest," Umeå, Vasterbottens Lan, Sweden, Europe"
327, OraSure Technologies , — ," Bethlehem, Pennsylvania, United States, North America"
328, Grupo Empresarial Bienestar , Alta Growth Capital," Valle De Guadalupe, Jalisco, Mexico, North America"
329, Pila Pharma AB , Almi Invest," Malmö, Skane Lan, Sweden, Europe"
330, PatientBank , Y Combinator," San Francisco, California, United States, North America"
331, Breath Diagnostics , The Vogt Awards," Prospect, Kentucky, United States, North America"
332, Cupris Health , Crowdcube," London, England, United Kingdom, Europe"
333, Enjoy Dental Clinic , Huatai Zijin Investment," Beijing, Beijing, China, Asia"
334, NephroPlus ," IFC Venture Capital Group, SeaLink Capital Partners"," Hyderabad, Andhra Pradesh, India, Asia"
