,Round
77, Angel Round - MYSPHERA 
78, Seed Round - Xverity 
79, Grant - NextStep.io 
80, Venture Round - Xenex 
81, Post-IPO Equity - CellNovo 
82, Grant - WattGlass 
83, Series D - Peloton Therapeutics 
84, Grant - Liberate Medical 
85, Series A - WEconnect Health Management 
86, Debt Financing - Adan Medical Innovation 
87, Seed Round - VeeMed Inc. 
88, Series A - Sofregen Medical 
89, Angel Round - Yosi 
90, Series B - H4D 
91, Seed Round - ReFlow Therapeutics 
92, Series A - Relay Therapeutics 
93, Angel Round - Fupai E-jiao 
94, Series A - Potrero Medical 
95, Series A - Beijing Gene+ Technology 
96, Series A - Osigu 
97, Seed Round - Hancock Regional Hospital 
98, Venture Round - Advanced Tear Diagnostics (ATD) 
99, Seed Round - Wellinks 
100, Venture Round - Western Avenue Capital 
101, Private Equity Round - DoctorGummy 
102, Venture Round - Hybrent 
103, Grant - NovaSignal 
104, Debt Financing - BAROnova 
105, Series A - 1mdata.com 
106, Grant - Enrich Bioscience 
107, Series A - Credence MedSystems 
108, Seed Round - ExplORer Surgical 
109," Angel Round - RFPi, Inc. "
110, Debt Financing - Swallow Solutions 
111, Venture Round - Atea Pharmaceuticals 
112, Venture Round - SaladStop! 
113, Venture Round - Promimic 
114, Convertible Note - Med-Compliance IQ 
115, Debt Financing - MedBridge 
116, Seed Round - Dosist 
117, Seed Round - Advanced Interactive Response Systems 
118, Series C - Glooko 
119, Seed Round - Immuneed 
120, Venture Round - Vim 
121, Seed Round - Capsule 
122, Private Equity Round - SpaMedica 
123, Grant - Community Health Network 
124, Seed Round - MedCrypt 
125, Angel Round - Waming Jiankang 
126, Series A - Candel 
127, Seed Round - Mumo 
128, Seed Round - Inhealthcare 
129, Seed Round - HiveWire 
130, Non Equity Assistance - Lean On Me 
131, Seed Round - Second Nature 
132, Grant - Semma Therapeutics 
133, Series D - Avitide 
134, Seed Round - Written Medicine 
135, Seed Round - Onduo 
136, Seed Round - LiveSmart 
137, Post-IPO Equity - Obalon Therapeutics 
138, Private Equity Round - U.S. Renal Care 
139, Seed Round - CV Lab 
140, Seed Round - IndeeLift 
141, Series B - Berlin Heals 
142, Seed Round - Affigo.io 
143, Venture Round - Catalyst OrthoScience 
144, Grant - Rendever 
145, Seed Round - Securisyn Medical 
146, Non Equity Assistance - Emerald 
147, Seed Round - 11 Health 
148, Series B - Dentalia 
149, Seed Round - Club Soda 
150, Seed Round - SUPAspot 
151, Seed Round - Cinapsis 
152, Seed Round - Circular Wave 
153, Debt Financing - Qspex Technologies 
154," Seed Round - Now Healthcare Group (Now GP, Now Patient and Dr Now) "
155, Convertible Note - Hunterian Medicine 
156, Post-IPO Equity - Verisk Analytics 
157, Seed Round - VoxelCloud 
158, Series A - ConsortiEX 
159, Angel Round - Poshtick 
160, Series C - KYEE 
161, Series A - Taivex Mhealth 
162, Series A - KANG 
163, Series A - Halodoc 
164, Seed Round - Texas Health Presbyterian Hospital Rockwall 
165, Debt Financing - Valeris Medical 
166, Venture Round - Nectarine Health AB 
167, Seed Round - Paubox 
168, Seed Round - VITALI Wear 
169, Venture Round - Tangible Science 
170, Series A - Blue Prairie 
171, Pre Seed Round - ORamaVR 
172, Seed Round - Leapcure 
173, Debt Financing - Ischemia Care 
174, Seed Round - Nonnatech 
175, Post-IPO Equity - Lineage Cell Therapeutics 
176, Seed Round - Aluna 
177, Private Equity Round - AcuFocus 
178," Seed Round - SimplifiMed, Inc. "
179, Seed Round - Made of Genes (Genomcore) 
180, Series A - Good Feeling Fitness 
181, Venture Round - THEYA Healthcare 
182, Seed Round - Cureinstant 
183, Grant - SoyMeds 
184, Seed Round - Feel 
185, Series C - LifeSignals 
186, Product Crowdfunding - BodyBoss 
187, Venture Round - GraftWorx 
188, Private Equity Round - Centre for Diabetes and Endocrinology 
189, Seed Round - VetPronto 
190, Convertible Note - Algal Scientific 
191, Non Equity Assistance - TDX 
192, Venture Round - 410 Medical 
193, Private Equity Round - CarePlus 
194, Series A - IDbyDNA 
195, Series D - Veniti 
196, Seed Round - OBMedical 
197, Series A - AnTolRx 
198, Venture Round - Urotronic 
199, Debt Financing - SOC Telemed 
200, Grant - University of Rochester Medical Center 
201, Debt Financing - AltheaDx 
202, Seed Round - accuRx 
203, Series C - Vivasure Medical 
204, Seed Round - Kheiron 
205, Seed Round - Neurofenix 
206, Venture Round - Backjoy 
207, Seed Round - Innovative Wellness Solutions 
208, Venture Round - LASIK MD 
209, Angel Round - GENE DENOVO 
210, Venture Round - BioMarker Strategies 
211, Series E - ROX Medical 
212, Convertible Note - Fitwell 
213, Venture Round - eMedi Innovations 
214, Venture Round - Effectus Labs 
215, Venture Round - Fabupharm 
216, Seed Round - DermoSafe 
217, Seed Round - MedicSen 
218, Venture Round - enigma BioTech 
219, Venture Round - Diske 
220, Seed Round - Line Health 
221, Post-IPO Equity - Elanix Biotechnologies 
222, Venture Round - IoCare 
223, Non Equity Assistance - Therapair 
224, Series A - Chemomab 
225, Pre Seed Round - Greenspace 
226, Seed Round - TranQool Inc 
227, Series B - 24 Mantra Organic 
228, Seed Round - CryoCaddy 
229, Debt Financing - Attune Medical 
230, Seed Round - SmileMD 
231, Series A - OncoDNA 
232, Seed Round - Ranomics 
233, Debt Financing - Sinopsys Surgical 
234, Convertible Note - PenBlade 
235, Seed Round - Carevoyance 
236, Venture Round - QoC Health 
237, Convertible Note - Blue Willow Systems 
238, Pre Seed Round - Maxwell Plus 
239, Series A - Elder 
240, Grant - Spark-Tech 
241, Grant - MedtechtoMarket 
242, Corporate Round - Smartmedical 
243, Grant - Healum 
244, Seed Round - WEconnect Health Management 
245, Pre Seed Round - GymForLess 
246, Convertible Note - Tencar 
247, Grant - MSKnote 
248, Series A - Beyond Verbal 
249, Funding Round - FORM Life Invest 
250, Seed Round - Medipta Solutions Pvt Ltd 
251, Seed Round - ensa 
252, Angel Round - MediConecta 
253, Grant - VisionQuest Biomedical 
254, Grant - Viamed 
255, Pre Seed Round - PEGASI International 
256, Venture Round - Hayriya 
257, Convertible Note - Viz 
258, Grant - iPlato Healthcare 
259, Grant - NuvOx Pharma 
260, Grant - Zebra Academy 
261, Seed Round - Osso VR 
262, Series B - Arcus Biosciences 
263, Seed Round - HealAI 
264, Seed Round - Meddy 
265, Grant - SweetSense 
266, Seed Round - Mrayti 
267, Series A - Kleo 
268, Angel Round - Beebot company 
269, Venture Round - Babyscripts 
270, Grant - Marigold Health 
271, Grant - MyWay Digital Health 
272, Funding Round - Monsenso 
273, Grant - Ulsys 
274, Venture Round - NMS Laboratories 
275, Grant - Xytal 
276, Series A - Medigo 
277, Series B - Sight Diagnostics 
278, Grant - Doc Abode 
279, Convertible Note - Urban Ultralight 
280, Grant - Covolution 
281, Venture Round - Micrima 
282, Venture Round - Maui Wellness Group 
283, Seed Round - RENOVION 
284, Grant - Lifelight (xim) 
285, Grant - Saccade Diagnostics 
286, Series B - Instabeat 
287, Grant - P1vital 
288, Grant - Leuko 
289, Post-IPO Debt - Egalet 
290, Seed Round - Grace 
291, Grant - Correlia Biosystems 
292, Seed Round - Iota Sciences 
293, Pre Seed Round - Hail Cosmetics 
294, Series A - MedEx 
295," Convertible Note - Luminostics, Inc. "
296, Grant - Easterseals 
297, Venture Round - Virginia Mason Medical Center 
298, Series C - Zillion Group 
299, Debt Financing - Bi02 Medical 
300, Seed Round - PlanforFIT 
301, Series A - Micro-Helix 
302, Seed Round - Test Appropriate 
303, Post-IPO Equity - PT Siloam International Hospitals 
304, Debt Financing - Rock My World Media 
305, Series A - Babybe 
306, Convertible Note - BlueCall 
307, Venture Round - DogHero 
308, Seed Round - Oh My Green 
309, Venture Round - HighRoads 
310, Series A - Darma Inc. 
311, Series B - Farcast 
312, Debt Financing - Impel NeuroPharma 
313, Series A - Apollomics 
314, Seed Round - WinProbe 
315, Seed Round - Klara 
316, Seed Round - Bluedrop Medical 
317, Series A - QUBIC 
318, Series A - Doctor Insta 
319, Venture Round - Right at Home 
320, Venture Round - Doctrin 
321, Series A - Kontour Medical 
322, Grant - HelpWear 
323, Venture Round - Briotech 
324, Private Equity Round - Fast Pace Urgent Care 
325, Venture Round - Dr. Z 
326, Seed Round - LipUm 
327, Grant - OraSure Technologies 
328, Private Equity Round - Grupo Empresarial Bienestar 
329, Venture Round - Pila Pharma AB 
330, Seed Round - PatientBank 
331, Grant - Breath Diagnostics 
332, Equity Crowdfunding - Cupris Health 
333, Series A - Enjoy Dental Clinic 
334, Series C - NephroPlus 
335, Seed Round - CancerAid 
336, Series D - ClearCare 
337, Series F - Moderna Therapeutics 
338, Post-IPO Debt - Fibrocell Science 
339, Venture Round - Sleep.ai 
340, Venture Round - Phico Therapeutics 
341, Post-IPO Equity - OrganiGram 
342, Corporate Round - Hil Applied Medical 
343, Venture Round - InDemand Interpreting 
344, Non Equity Assistance - Docbot 
345, Venture Round - Physicians Endoscopy 
346, Private Equity Round - Pathway Partners Vet Holding 
347, Venture Round - AbsoluteCARE 
348, Pre Seed Round - Airo Health 
349, Seed Round - Densitas 
350, Convertible Note - Elemeno Health 
351, Series A - Singlera Genomics 
352, Venture Round - Oh My Green 
353, Seed Round - Epitel 
354, Venture Round - C D Services of America 
355, Venture Round - Aridis Pharmaceuticals 
356, Venture Round - Qura 
357, Post-IPO Equity - Fate Therapeutics 
358, Series B - CareDox 
359, Seed Round - BLITAB Technology 
360, Venture Round - INBRACE 
361, Seed Round - Pack Health 
362, Series A - Visionly 
363, Pre Seed Round - Mentorum Inc. 
364, Venture Round - Clinique médicale privée Opti-Soins inc 
365, Seed Round - Ossium Health 
366, Series A - FULLCHEER 
367, Series D - Nutrinia 
368, Post-IPO Debt - iCoreConnect 
369, Debt Financing - ReVision Optics 
370, Venture Round - The Good Care Group 
371, Convertible Note - Rock My World Media 
372, Venture Round - Barrecore 
373, Debt Financing - Imbed Biosciences 
374, Grant - Phoresa 
375, Series B - Cologenomics 
376, Grant - Epthera 
377, Series C - ProteoMediX 
378, Series A - Oculis 
379, Grant - StethoMD 
380," Venture Round - Theragen, Inc "
381, Series B - Rotation Medical 
382, Pre Seed Round - HairRemoval.co.uk 
383, Debt Financing - KB Medical 
384, Venture Round - Tapa Healthcare 
385, Seed Round - BodyFly Fitness 
386, Seed Round - PureCarbon 
387, Venture Round - Happify 
388, Series E - Meiyou 
389, Seed Round - The Rounds 
390, Venture Round - CareLinx 
391, Seed Round - Bloomlife 
392, Post-IPO Equity - Medtronic 
393, Seed Round - PetCoach 
394, Venture Round - PriorAuthNow 
395, Debt Financing - 3D Bio Holdings 
396, Convertible Note - Navinata Health 
397, Seed Round - Live Better With 
398, Seed Round - SimpleVisit 
399, Seed Round - Epharmix 
400, Private Equity Round - HydroMassage 
401, Corporate Round - Teatox GmbH 
402, Corporate Round - ORTHOReBIRTH 
403, Debt Financing - Apos Therapy 
404, Venture Round - IngagePatient 
405, Series A - ProCARE Portal 
406, Venture Round - Cytocentrics 
407, Post-IPO Equity - Interleukin Genetics 
408, Post-IPO Equity - Medicrea 
409, Venture Round - MDsave 
410, Venture Round - Lua 
411, Series A - CYCARES 
412, Grant - Maya 
413, Grant - Numex 
414, Debt Financing - EMPATHIQ 
415, Venture Round - Frontida Biopharm 
416, Grant - CSATS 
417, Seed Round - Healthcare X.0 - HealthAssist 
418, Seed Round - CareSkore 
419, Series C - Auris Health 
420, Debt Financing - CVRx 
421," Seed Round - GSIL Co., Ltd. "
422," Pre Seed Round - Cardiomo Care, Inc. "
423, Debt Financing - Autism Home Support Services 
424, Series A - Woundtech 
425, Debt Financing - electroCore 
426, Series A - Tricog Health 
427, Series A - jkwin.com.cn 
428, Angel Round - Homey Health 
429, Series A - Fangcun Doctor 
430, Angel Round - PUPPY TOWN ANIMAL HOSPITAL 
431, Series A - Li Mishu 
432, Seed Round - Deton 
433, Equity Crowdfunding - London Doctors Clinic 
434, Venture Round - Ambrx 
435, Venture Round - Meijer 
436, Post-IPO Equity - Scancell 
437, Grant - DNAtriX 
438, Grant - Shatterproof 
439, Convertible Note - Betterpath 
440, Series B - Elation Health 
441, Angel Round - Bear Mam Home 
442, Seed Round - Sequence Bio 
443, Angel Round - Uprise 
444, Venture Round - OpenTempo 
445, Series C - Ornim Medical 
446, Funding Round - Revision Skincare 
447, Venture Round - eCare Vault 
448, Series B - Haoyayi 
449, Series B - XIKANG 
450, Seed Round - OutSense 
451, Seed Round - BioBreath 
452, Grant - Tunefork 
453, Venture Round - WorkWell Prevention & Care 
454, Angel Round - FitSprint 
455, Venture Round - Vivametrica 
456, Grant - Aenitis Technologies 
457, Seed Round - RistCall 
458, Series A - Lemonaid Health 
459, Convertible Note - Medpick 
460, Angel Round - Saccadous 
461, Series A - Artemis Health 
462, Seed Round - IM Your Doc 
463, Series A - Bioniz Therapeutics 
464, Series A - Ovumhospitals 
465, Grant - KeyNatura 
466, Corporate Round - Mitsufuji 
467, Funding Round - OnTrack 
468, Seed Round - Dr.Kitchen 
469, Grant - Ar Diagnostic 
470, Seed Round - Mimi Hearing Technologies 
471, Seed Round - Fitternity 
472, Non Equity Assistance - DiA Imaging Analysis 
473," Seed Round - Klogene Therapeutics, Inc. "
474, Seed Round - Uplifers 
475, Venture Round - Rumble 
476, Grant - Myroo Skincare 
477, Funding Round - AprilAge 
478, Grant - Microphyt 
479, Private Equity Round - WatchFit 
480, Series A - Owl Manor Veterinary 
481, Seed Round - SmartFoam 
482, Grant - QUIBIM S.L. 
483, Private Equity Round - PathGroup 
484, Seed Round - Werlabs 
485, Series A - Urban 
486, Post-IPO Equity - Evofem Biosciences 
487, Grant - Isobar Compression 
488, Grant - Ingenza 
489, Seed Round - TRAQ 
490, Private Equity Round - inVentiv Health 
491, Grant - JRI Orthopaedics 
492, Angel Round - CyanoGuard AG 
493, Venture Round - Penda Health 
494, Seed Round - Cast21 
495, Grant - Dianax 
496, Angel Round - Well Beyond Care 
497, Grant - Rigvir Holding 
498, Grant - Filisia 
499, Debt Financing - Quire 
500, Product Crowdfunding - BodyBoss 
501, Seed Round - Muvr 
502, Venture Round - Flower Orthopedics 
503, Seed Round - Avails Medical 
504, Seed Round - MDClone 
505, Debt Financing - SonarMed 
506, Series A - Phosphorus 
507, Series B - Big Health 
508, Seed Round - CEIBA TELE ICU 
509, Series A - 3Derm Systems 
510, Seed Round - OxSight 
511, Debt Financing - Svelte Medical Systems 
512, Corporate Round - Columbia Asia Hospitals 
513, Seed Round - Modasta 
514, Debt Financing - Informatics In Context 
515, Angel Round - Tiyo 
516, Angel Round - Ananda Devices 
517, Series H - Lophius Biosciences 
518, Venture Round - SynGen 
519, Seed Round - TruClinic 
520, Venture Round - Intellirod Spine 
521, Grant - Health Resources and Services Administration 
522, Series E - Torax Medical 
523, Series A - CellMax Life 
524, Venture Round - Lincoln Peak Partners 
525, Grant - GOGO Band 
526, Seed Round - Saykara 
527, Seed Round - Ritual 
528, Venture Round - Paratus Diagnostics 
529, Grant - UpGrain 
530, Venture Round - Be Well Hospitals 
531, Venture Round - ViCare 
532," Seed Round - Eyenuk, Inc. "
533, Seed Round - 12 Sigma Technologies 
534, Venture Round - Direct Flow Medical 
535, Debt Financing - GrandCare Health Services 
536, Seed Round - LifeDojo 
537, Venture Round - HealthLynked 
538, Venture Round - Complion 
539, Venture Round - Creo Wellness 
540, Series A - AristaMD 
541, Venture Round - Mend VIP 
542, Post-IPO Equity - CHF Solutions 
543, Grant - ViaCyte 
544, Series A - Epigamia 
545, Venture Round - Acquisition Glacier II 
546, Venture Round - MindCare Solutions 
547, Private Equity Round - LifeAID Beverage 
548, Series B - N-of-One 
549, Venture Round - Discovery Sound Technology 
550, Seed Round - NeuCyte 
551, Post-IPO Debt - Auris Medical 
552, Series A - Oxular 
553, Convertible Note - Windgap Medical 
554, Series A - ABL Bio 
555, Venture Round - Firefly Medical 
556, Convertible Note - JOY Familytech 
557, Venture Round - PromoFarma.com 
558, Venture Round - Genomind 
559, Seed Round - HealthCall 
560, Venture Round - Stepping Stone Dental Partners 
561, Angel Round - Yifei Huatong 
562, Angel Round - Syntbiolab 
563, Post-IPO Equity - Beauty&Health 
564, Seed Round - Magnetic Insight 
565, Series A - PamBio 
566, Series A - 98point6 
567, Series B - Lifesum 
568, Venture Round - Mediktor 
569, Grant - Clarity Pharmaceuticals 
570, Venture Round - The Firm of John Dickinson Schneider 
571, Series A - CMR Surgical 
572, Post-IPO Equity - Ardelyx 
573, Venture Round - Agency for Student Health Research 
574, Angel Round - DentalDate 
575, Series A - iCarbonX 
576, Seed Round - Japet Medical 
577, Seed Round - Trim Japan 
578, Venture Round - Caremerge 
579, Venture Round - TheraNova LLC. 
580, Private Equity Round - Aspect Imaging 
581, Product Crowdfunding - Solos 
582, Venture Round - Pursuit Vascular 
583, Series A - Dot Incorporation 
584, Grant - VLP Therapeutics 
585, Series A - Forward 
586, Series A - Nainiumama 
587, Private Equity Round - Corona Remedies 
588, Angel Round - Topical Remedy 
589, Series E - SpaceOAR 
590, Debt Financing - Saphetor 
591, Convertible Note - ZendyHealth 
592, Series B - Kerecis 
593, Pre Seed Round - Hello Tomo 
594, Debt Financing - Syndevrx 
595, Venture Round - ConsortiEX 
596, Venture Round - Titan Spine 
597, Venture Round - Abingdon Health 
598, Seed Round - Resilience Code 
599, Series A - Docent Health 
600, Series A - Forward 
601, Series A - Nainiumama 
602, Private Equity Round - Corona Remedies 
603, Angel Round - Topical Remedy 
604, Series E - SpaceOAR 
605, Debt Financing - Saphetor 
606, Convertible Note - ZendyHealth 
607, Series B - Kerecis 
608, Pre Seed Round - Hello Tomo 
609, Debt Financing - Syndevrx 
610, Venture Round - ConsortiEX 
611, Venture Round - Titan Spine 
612, Venture Round - Abingdon Health 
613, Seed Round - Resilience Code 
614, Series A - Docent Health 
615, Series C - Adient Medical 
616, Private Equity Round - Roivant Sciences 
617, Venture Round - Lemonaid Health 
618, Venture Round - Lyndra Therapeutics 
619, Post-IPO Equity - Supreme Cannabis 
620, Series A - Innovaccer 
621, Post-IPO Debt - Senseonics 
622, Series A - Ethicall 
623, Series A - Ziylo 
624, Series B - FlexDex 
625, Series A - Forward 
626, Series A - Nainiumama 
627, Private Equity Round - Corona Remedies 
628, Angel Round - Topical Remedy 
629, Series E - SpaceOAR 
630, Debt Financing - Saphetor 
631, Convertible Note - ZendyHealth 
632, Series B - Kerecis 
633, Pre Seed Round - Hello Tomo 
634, Debt Financing - Syndevrx 
635, Venture Round - ConsortiEX 
636, Venture Round - Titan Spine 
637, Venture Round - Abingdon Health 
638, Seed Round - Resilience Code 
639, Series A - Docent Health 
640, Series C - Adient Medical 
641, Private Equity Round - Roivant Sciences 
642, Venture Round - Lemonaid Health 
643, Venture Round - Lyndra Therapeutics 
644, Post-IPO Equity - Supreme Cannabis 
645, Series A - Innovaccer 
646, Post-IPO Debt - Senseonics 
647, Series A - Ethicall 
648, Series A - Ziylo 
649, Series B - FlexDex 
650, Seed Round - Zenrez 
651, Series A - Salupro 
652, Seed Round - Crossroads Systems 
653, Venture Round - Visante 
654, Debt Financing - Circadiance 
655, Convertible Note - SwipeSense 
656, Series A - 2020 On-site 
657, Venture Round - Innovative Health 
658, Debt Financing - AcuFocus 
659, Seed Round - xLabs 
660, Venture Round - Saranas 
661, Series B - Vigilant Biosciences 
662, Debt Financing - HealthLynked 
663, Seed Round - MBD Medical 
664, Grant - Siren 
665, Series A - Nightingale Health 
666, Seed Round - Techies 4 Temple Street 
667, Pre Seed Round - Sana Health 
668, Angel Round - 39hospital.com 
669, Seed Round - Novadiscovery 
670, Venture Round - KaiNexus 
671, Funding Round - E Life 
672, Angel Round - TSINGHILL 
673, Venture Round - Recombinetics 
674, Series A - Waterdrop 
675, Series A - EagleDream Health 
676, Series B - Synbio Technologies 
677, Seed Round - Ocular Data Systems 
678, Venture Round - Enzium 
679, Debt Financing - Celsense 
680, Series B - LeanTaaS 
681, Post-IPO Equity - Sernova 
682, Venture Round - Recombine 
683, Series B - Medbanks 
684, Seed Round - Nanopep 
685, Series A - iHealthbaby 
686, Series C - Endotronix 
687, Venture Round - Delos 
688, Post-IPO Equity - VBI Vaccines 
689, Grant - hemotune 
690, Post-IPO Equity - CAPNIA 
691, Series A - DOC+ 
692, Angel Round - Ontera 
693, Grant - InnaMed 
694, Seed Round - 3Z Pharmaceuticals 
695, Seed Round - seeDoc 
696, Grant - MaxWell Biosystems 
697, Pre Seed Round - XRHealth 
698, Series B - Nightbalance 
699, Pre Seed Round - Omen Health 
700, Angel Round - ATMAN 
701, Post-IPO Debt - Bastide le Confort Medical 
702, Grant - AdjuCor 
703, Seed Round - Swift Shift 
704, Seed Round - Infinity Health 
705," Pre Seed Round - ZB Technologies, Inc. "
706, Series A - Tictrac 
707, Series A - BIO-NEXUS 
708, Angel Round - Abartys Health 
709, Series A - Karify 
710, Seed Round - Conscious 2 
711, Grant - UpGrain 
712, Series A - SmartCare 
713, Series A - CLIPLA 
714, Venture Round - Serenity Pharmaceuticals 
715, Grant - Nemo Healthcare 
716, Seed Round - Moxxly 
717, Venture Round - Neutun Labs 
718, Debt Financing - NOWDiagnostics 
719, Post-IPO Debt - Humanigen 
720, Venture Round - MuscleSound 
721, Non Equity Assistance - Monthly Gift 
722, Series A - Bang Er Orthopedic 
723, Venture Round - BeoCare Group 
724, Seed Round - ReThink Medical 
725, Pre Seed Round - The Health Orange 
726, Venture Round - Doctor Kinetic 
727, Convertible Note - Paradromics 
728, Pre Seed Round - iBIONICS 
729, Non Equity Assistance - Healthymize 
730, Series B - Junhetang 
731, Seed Round - Abogen 
732, Seed Round - Mashh 
733, Grant - Syndivia 
734, Seed Round - With You Services 
735, Seed Round - Aprehend 
736, Venture Round - SmileDirectClub 
737, Series A - LIH Investment & Management 
738, Series B - Progyny 
739, Non Equity Assistance - Oh My Green 
740, Debt Financing - QMENTA 
741, Grant - Olympic Legacy Park 
742, Seed Round - Medesk 
743, Pre Seed Round - Zingo (Ko Shwe) 
744, Venture Round - GymHit Software 
745, Angel Round - Cydar Medical 
746," Venture Round - Syntekabio, Inc. "
747, Series A - e-LinkCare 
748, Angel Round - Tianying Jiuyuan 
749, Series A - Morphic Therapeutic 
750, Seed Round - REJOINT 
751, Seed Round - Fight The Stroke 
752, Series A - Digime 
753, Venture Round - iHealthHome 
754, Post-IPO Equity - Kane Biotech 
755, Series B - Kangai Weishi 
756, Debt Financing - Monteris Medical 
757, Series A - StretchSense 
758," Series A - Arrinex, Inc. "
759, Seed Round - HemoGenyx 
760, Venture Round - eWellness Corporation 
761, Grant - Adient Medical 
762, Series A - Vidac Pharma 
763, Post-IPO Equity - Simavita 
764, Series A - Zilico 
765, Post-IPO Equity - Paion 
766, Series B - NeuroVision Imaging 
767, Seed Round - Janus Choice 
768, Convertible Note - TrueCoach 
769, Angel Round - Witon Technology 
770, Angel Round - 160 Muying 
771, Non Equity Assistance - Door2door Doctor 
772, Venture Round - Owlstone Medical 
773, Series A - Storm Therapeutics 
774, Venture Round - Immutrix Therapeutics 
775, Venture Round - Physiowave 
776, Series A - Arkis BioSciences 
777, Seed Round - Piavita 
778, Seed Round - AVA Health Technologies 
779, Seed Round - Fysio24 
780, Venture Round - Triopsy Medical 
781, Venture Round - 4Doctor 
782, Series B - Annexon Biosciences 
783, Debt Financing - NICO 
784, Venture Round - Emerge Diagnostics 
785, Seed Round - Tyromotion 
786, Seed Round - PeptiMed 
787, Series D - Chunyu Yisheng 
788, Series B - Drishti Eye Care 
789, Seed Round - Jaanuu 
790, Debt Financing - EpiBiome 
791, Series A - DIH Medical 
792, Seed Round - Be Well Nutrition 
793, Seed Round - Kip 
794, Grant - SensArs 
795, Seed Round - Ultraflex Systems 
796, Seed Round - PolyCore Therapeutics 
797, Series A - Freeline 
798, Series B - Reflexion Health 
799, Series A - IFM Therapeutics 
800, Venture Round - Therapydia 
801, Pre Seed Round - Credentially 
802, Seed Round - Prose 
803, Seed Round - FlyBird Innovations 
804, Seed Round - Charter Medical 
805, Series A - BluePrintBio 
806, Private Equity Round - F2G 
807, Seed Round - Drfocused 
808, Post-IPO Debt - Viveve 
809, Series C - Kit Check 
810, Seed Round - Hinge Health 
811, Post-IPO Debt - Regulus Therapeutics 
812, Seed Round - Cyclops Medtech 
813, Series B - Tempus 
814, Series A - Xip 
815, Seed Round - Avalon AI 
816, Seed Round - Thriva 
817, Venture Round - Kyoto Drug Discovery & Development 
818, Series A - Xingxiang Yuan 
819, Post-IPO Equity - CareDx 
820, Venture Round - EmeraMed 
821, Funding Round - MEDUDEM 
822, Seed Round - Boondoc 
823, Series D - CardioDx 
824, Post-IPO Equity - Viveve 
825, Series A - Solera Health 
826, Venture Round - Hospital IQ 
827, Venture Round - SI-BONE 
828, Post-IPO Equity - Mainstay Medical 
829, Seed Round - Selfapy 
830, Post-IPO Equity - Savaria Corp 
831, Series A - Loving Medical 
832, Debt Financing - Common Sensing 
833, Grant - Polywed 
834, Grant - Massachusetts eHealth Institute 
835, Seed Round - Mark One 
836, Debt Financing - Bergen Medical Products 
837, Series C - Mersana Therapeutics 
838, Series B - Blade Therapeutics 
839, Seed Round - TC BioPharm 
