,industry,index_x,target_name,target_founded,target_status,alive
9874,Medical Facilities & Services,536977.0,Rehab Systems,1987.0,Acquired,0
9879,Medical Facilities & Services,537374.0,Samissa Health Care,1987.0,Acquired,0
9894,Medical Facilities & Services,515839.0,Hallmark Health Services,1987.0,Acquired,0
9900,Medical Devices & Equipment,535175.0,Protocol Systems,1985.0,IPO / Went public,0
9903,Biotechnology,495578.0,Applied Biotechnology,1984.0,Acquired,0
9911,Drug Delivery,502291.0,Cardiopulmonics,1985.0,IPO / Went public,0
9929,Medical Facilities & Services,504845.0,Co-care Eye Centers,1987.0,Acquired,0
9931,Biotechnology,505564.0,Cortech,1982.0,IPO / Went public,0
9932,Medical Facilities & Services,511791.0,First Commonwealth,1986.0,IPO / Went public,0
9950,Medical Facilities & Services,492508.0,ASGN,1895.0,IPO / Went public,0
9953,Medical Equipment & Supplies,500099.0,Biotope,1987.0,Dead / Inactive,0
9958,Medical Facilities & Services,505875.0,Corus Medical,1985.0,Dead / Inactive,0
9959,Biotechnology,510678.0,Enzytech,1987.0,Acquired,0
9962,Medical Devices & Equipment,526820.0,Luconex,1987.0,Dead / Inactive,0
9964,Drug Development,495523.0,Amylin,1987.0,IPO / Went public,0
9965,Medical Facilities & Services,495269.0,American Transitional Hos,1987.0,Acquired,0
9979,Pharmaceuticals / Drugs,524789.0,Mast Immunosystems,1984.0,Acquired,0
9982,Disease Diagnosis,526470.0,Molecular Dynamics,1987.0,IPO / Went public,0
9987,Medical Facilities & Services,535952.0,Rehabilitation Technologies,1988.0,Dead / Inactive,0
9990,Biotechnology,543756.0,Synaptic Pharmaceutical,1987.0,IPO / Went public,0
9995,Medical Devices & Equipment,519584.0,Intra-sonix,1987.0,Dead / Inactive,0
9998,Drug Delivery,503572.0,Cima Labs,1987.0,IPO / Went public,0
10001,Medical Facilities & Services,547341.0,Vencor,1985.0,IPO / Went public,0
10004,Medical Devices & Equipment,493379.0,Acoustic Imaging Technolo,1985.0,Acquired,0
10040,Drug Development,499864.0,Biotein,1988.0,Dead / Inactive,0
10048,Medical Facilities & Services,529697.0,Molecular Simulations,1985.0,Acquired,0
10051,Medical Facilities & Services,549212.0,Virx,1987.0,Acquired,0
10052,Biotechnology,494564.0,Alpha-beta Technology,1988.0,IPO / Went public,0
10059,Medical Devices & Equipment,508372.0,Dynamic Digital Displays,1985.0,Acquired,0
10063,Medical Facilities & Services,515722.0,HCI Services,1988.0,Acquired,0
10064,Pharmaceuticals / Drugs,524048.0,Magainin Pharmaceuticals,1987.0,IPO / Went public,0
10065,Medical Devices & Equipment,526220.0,Mitek Surgical Products,1985.0,IPO / Went public,0
10069,Medical Equipment & Supplies,529091.0,Nimbus Medical,1982.0,Acquired,0
10073,Drug Development,526262.0,Matritech,1987.0,IPO / Went public,0
10077,Medical Devices & Equipment,494573.0,Albion Instruments,1988.0,Acquired,0
10082,Medical Equipment & Supplies,503622.0,Cholestech,1988.0,IPO / Went public,0
10087,Medical Devices & Equipment,519692.0,Intelligent Surgical Lase,1987.0,IPO / Went public,0
10089,Pharmaceuticals / Drugs,505533.0,Corvas International,1987.0,IPO / Went public,0
10105,Medical Equipment & Supplies,528278.0,Neurocom International,1984.0,Acquired,0
10108,Drug Development,530639.0,Oculon,1987.0,Acquired,0
10128,Biotechnology,531071.0,Neomorphics,1988.0,Acquired,0
10131,Medical Devices & Equipment,530978.0,Paramed Technology,1988.0,Dead / Inactive,0
10133,Medical Devices & Equipment,531388.0,Ottosensors,1985.0,Dead / Inactive,0
10136,Pharmaceuticals / Drugs,550095.0,Xenon Vision,1988.0,Acquired,0
10140,Drug Delivery,551348.0,Zynaxis Cell Science,1988.0,IPO / Went public,0
10155,Drug Delivery,512765.0,Fuisz Technologies,1988.0,IPO / Went public,0
10157,Medical Equipment & Supplies,530913.0,Oncologix,1988.0,Acquired,0
10159,Medical Devices & Equipment,532826.0,Phoenix Laser Systems,1987.0,IPO / Went public,0
10160,Healthcare Software,544394.0,Tecxel,1988.0,Dead / Inactive,0
10169,Stealth Mode,534370.0,ProCyte,1986.0,IPO / Went public,0
10171,Pharmaceuticals / Drugs,497135.0,Autoimmune,1988.0,IPO / Went public,0
10183,Medical Facilities & Services,524672.0,Managed Care Administrato,1988.0,Dead / Inactive,0
10200,Healthcare Software,493073.0,Access Health Marketing,1988.0,IPO / Went public,0
10202,Medical Devices & Equipment,518805.0,Interflo Medical,1988.0,Acquired,0
10231,Biotechnology,551400.0,Zonagen,1987.0,IPO / Went public,0
10238,Medical Facilities & Services,514152.0,Genica Pharmaceuticals,1988.0,Acquired,0
10239,Disease Diagnosis,525889.0,Metrigen,1989.0,Dead / Inactive,0
10271,Medical Facilities & Services,513918.0,Genmark,1988.0,Acquired,0
10272,Medical Facilities & Services,528232.0,Medrehab,1987.0,Acquired,0
10292,Pharmaceuticals / Drugs,526710.0,Medclone,1989.0,Dead / Inactive,0
10296,Medical Equipment & Supplies,496221.0,Aprogenex,1988.0,IPO / Went public,0
10314,Drug Delivery,532964.0,Pharmedic,1989.0,Dead / Inactive,0
10334,Biotechnology,513917.0,Genmap,1988.0,Dead / Inactive,0
10338,Healthcare Software,517672.0,Health Management Systems,1989.0,IPO / Went public,0
10339,Medical Facilities & Services,520941.0,IVF America,1985.0,IPO / Went public,0
10344,Pharmaceuticals / Drugs,520644.0,Isis Pharmaceuticals,1989.0,IPO / Went public,0
10373,Medical Facilities & Services,494652.0,Alamar Biosciences Labora,1988.0,IPO / Went public,0
10381,Drug Development,514406.0,Ges Pharmaceuticals,1989.0,Dead / Inactive,0
10384,Disease Diagnosis,524955.0,Lark Sequencing Technolog,1989.0,Acquired,0
10396,Medical Equipment & Supplies,543878.0,Symex,1989.0,Dead / Inactive,0
10398,Medical Facilities & Services,506005.0,Curaflex Health Services,1984.0,IPO / Went public,0
10420,Biotechnology,528160.0,Medi-Cult,1989.0,IPO / Went public,0
10421,Medical Equipment & Supplies,525804.0,Medical Composite Technol,1989.0,Acquired,0
10438,Biotechnology,523846.0,Lexin Pharmaceutical,1989.0,Acquired,0
10448,Medical Facilities & Services,497094.0,Automated Dispatch,1987.0,Acquired,0
10450,Healthcare Software,497316.0,August International,1987.0,Acquired,0
10463,Medical Facilities & Services,543933.0,Systemix,1988.0,IPO / Went public,0
10465,Pharmaceuticals / Drugs,541907.0,Sphinx Pharmaceuticals,1987.0,IPO / Went public,0
10472,Medical Devices & Equipment,495399.0,Applied Medical Resources Corp.,1987.0,Alive / Active,1
10474,Biotechnology,546359.0,Triplex Pharmaceutical,1989.0,Acquired,0
10478,Biotechnology,500076.0,Biocircuits,1989.0,IPO / Went public,0
10486,Disease Diagnosis,504298.0,Cirrus Diagnostics,1987.0,Acquired,0
10489,Biotechnology,506099.0,Cytotherapeutics,1989.0,IPO / Went public,0
10521,Stealth Mode,515730.0,Health Innovations,1985.0,Dead / Inactive,0
10522,Drug Delivery,537502.0,Sangstat Medical,1988.0,IPO / Went public,0
10523,Drug Development,535708.0,Receptor Laboratories,1990.0,Acquired,0
10525,Medical Devices & Equipment,530284.0,Optex Biomedical,1985.0,IPO / Went public,0
10564,Medical Devices & Equipment,534878.0,PSI Medical Products,1989.0,Dead / Inactive,0
10565,Medical Devices & Equipment,546621.0,Tomtec Tomographic,1989.0,Acquired,0
10567,Medical Devices & Equipment,548606.0,Urological Instrument,1987.0,Dead / Inactive,0
10570,Stealth Mode,520500.0,Innerdyne Medical,1989.0,Acquired,0
10591,Medical Equipment & Supplies,526199.0,Metriflow Medical Systems,1984.0,Dead / Inactive,0
10593,Medical Equipment & Supplies,530321.0,Optical Sensors,1989.0,IPO / Went public,0
10595,Healthcare Software,532802.0,Phamis,1981.0,IPO / Went public,0
10598,Medical Facilities & Services,548899.0,Wellmark Healthcare,1989.0,Dead / Inactive,0
10617,Drug Delivery,524147.0,Lifequest Medical,1988.0,IPO / Went public,0
10624,Biotechnology,544538.0,Targetech,1990.0,Acquired,0
10627,Medical Devices & Equipment,545751.0,TME,1983.0,Acquired,0
10641,Drug Delivery,547451.0,Transtech Medical,1988.0,Acquired,0
10645,Medical Devices & Equipment,495400.0,Applied Urology,1988.0,Acquired,0
10690,Healthcare Software,532359.0,PACE,1987.0,IPO / Went public,0
10695,Pharmaceuticals / Drugs,538331.0,Shaman Pharmaceuticals,1989.0,IPO / Went public,0
10706,Biotechnology,532239.0,Oravax,1990.0,IPO / Went public,0
10709,Medical Facilities & Services,540435.0,Sleep Physiology Services,1988.0,Acquired,0
10714,Healthcare Software,493209.0,Act/pc,1987.0,Acquired,0
10717,Medical Facilities & Services,495090.0,American Day Treatment Ce,1990.0,Dead / Inactive,0
10734,Medical Facilities & Services,517633.0,Health Professionals,1988.0,Assets Purchased,0
10750,Medical Devices & Equipment,533136.0,Pilot Cardiovascular,1989.0,Acquired,0
10805,Medical Facilities & Services,545403.0,TheraTx,1989.0,IPO / Went public,0
10810,Medical Equipment & Supplies,500683.0,Boston Pacific Medical,1989.0,IPO / Went public,0
10832,Drug Delivery,509329.0,Electrochemical Drug Deli,1989.0,Assets Purchased,0
10835,Medical Facilities & Services,534651.0,Qual-med,1985.0,IPO / Went public,0
10840,Medical Facilities & Services,513970.0,Genesys Therapeutics,1990.0,Acquired,0
10843,Medical Devices & Equipment,531996.0,OB Tech,1990.0,Dead / Inactive,0
10844,Medical Facilities & Services,533014.0,Pharmaco LSR,1984.0,Acquired,0
10856,Drug Delivery,523100.0,Littlepoint,1990.0,Acquired,0
10869,Stealth Mode,496075.0,Artisoft,1982.0,IPO / Went public,0
10881,Disease Diagnosis,537941.0,Selectide,1989.0,Acquired,0
10882,Medical Devices & Equipment,542785.0,Stuart Medical,1984.0,Dead / Inactive,0
10893,Medical Facilities & Services,513229.0,Genetic Design,1986.0,Acquired,0
10911,Drug Delivery,537665.0,Secretech,1989.0,Acquired,0
10939,Medical Devices & Equipment,519987.0,Intramed Labs,1987.0,IPO / Went public,0
10995,Medical Facilities & Services,503078.0,Champion Healthcare,1990.0,Acquired,0
11012,Healthcare Software,519820.0,IVI Publishing,1990.0,IPO / Went public,0
11014,Pharmaceuticals / Drugs,530096.0,Onco Therapeutics,1988.0,Acquired,0
11017,Drug Delivery,495652.0,Aradigm,1991.0,IPO / Went public,0
11019,Biotechnology,510963.0,Erox,1989.0,IPO / Went public,0
11020,Medical Devices & Equipment,525230.0,Laparomed,1990.0,Dead / Inactive,0
11024,Biotechnology,493043.0,Aastrom Biosciences,1989.0,IPO / Went public,0
11029,Drug Development,499930.0,Inotiv,1974.0,IPO / Went public,0
11042,Pharmaceuticals / Drugs,538465.0,Sentinel Medical,1991.0,Dead / Inactive,0
11054,Medical Equipment & Supplies,495328.0,AMSCO,1988.0,IPO / Went public,0
11056,Healthcare Software,525419.0,Medirisk,1983.0,IPO / Went public,0
11078,Medical Devices & Equipment,516277.0,Heart Technology,1989.0,IPO / Went public,0
11080,Pharmaceuticals / Drugs,25099.0,MedImmune,1987.0,Acquired,0
11097,Pharmaceuticals / Drugs,518912.0,Immunopharmaceutics,1990.0,Acquired,0
11101,Medical Facilities & Services,533934.0,Premier Anesthesia,1988.0,IPO / Went public,0
11105,Biotechnology,543947.0,T Cell Diagnostics,1991.0,Acquired,0
11106,Medical Facilities & Services,547311.0,Trim Healthcare Systems,1985.0,Acquired,0
11109,Pharmaceuticals / Drugs,549158.0,Vasocor,1986.0,Acquired,0
11112,Biotechnology,555.0,Cephalon,1987.0,IPO / Went public,0
11119,Medical Devices & Equipment,550256.0,Vision Sciences Inc.,1987.0,IPO / Went public,0
11124,Drug Development,495726.0,Arcturus Pharmaceutical,1991.0,Dead / Inactive,0
11138,Pharmaceuticals / Drugs,506389.0,Dallas Biomedical,1990.0,Dead / Inactive,0
11145,Biotechnology,530575.0,Nzym,1990.0,Alive / Active,1
11149,Biotechnology,543994.0,Talent,1989.0,Alive / Active,1
11162,Medical Devices & Equipment,547732.0,Unisurge,1990.0,Dead / Inactive,0
11164,Pharmaceuticals / Drugs,502138.0,Cambridge Neuroscience,1985.0,Acquired,0
11189,Medical Facilities & Services,493681.0,Advanced Rehabilitation R,1990.0,Acquired,0
11210,Medical Devices & Equipment,501986.0,Cardiorhythm,1991.0,Acquired,0
11211,Biotechnology,502622.0,Celtrix,1990.0,IPO / Went public,0
11239,Medical Devices & Equipment,548301.0,Vaso Products,1991.0,Assets Purchased,0
11252,Medical Facilities & Services,533036.0,Pharmchem,1971.0,IPO / Went public,0
11276,Pharmaceuticals / Drugs,519357.0,Inhale Therapeutic System,1990.0,IPO / Went public,0
11281,Pharmaceuticals / Drugs,254361.0,Sunovion,1984.0,Acquired,0
11307,Biotechnology,541756.0,Sonus Pharmaceutical,1991.0,IPO / Went public,0
11335,Stealth Mode,505216.0,Copley Pharmaceutical,1972.0,IPO / Went public,0
11345,Biotechnology,39968.0,Cascadian Therapeutics,1985.0,Acquired,0
11347,Medical Devices & Equipment,495213.0,American Surgical Technol,1991.0,Dead / Inactive,0
11376,Biotechnology,8468.0,Genta,1988.0,IPO / Went public,0
11377,Healthcare Software,516667.0,HPR,1987.0,IPO / Went public,0
11378,Medical Facilities & Services,511515.0,Financing For Science Int,1986.0,IPO / Went public,0
11389,Pharmaceuticals / Drugs,541442.0,Sparta Pharmaceuticals,1990.0,IPO / Went public,0
11402,Medical Devices & Equipment,537524.0,SCP,1991.0,IPO / Went public,0
11416,Medical Equipment & Supplies,507321.0,Diatron,1979.0,Acquired,0
11432,Medical Devices & Equipment,13013.0,Spectranetics,1984.0,Acquired,0
11441,Medical Facilities & Services,506878.0,Diagnostic Health,1992.0,Acquired,0
11444,Medical Facilities & Services,516558.0,Health Horizons,1992.0,Acquired,0
11450,Biotechnology,523791.0,Lipomatrix,1992.0,Acquired,0
11452,Medical Facilities & Services,528292.0,New Day of America,1989.0,Acquired,0
11461,Biotechnology,533272.0,PNAD,1992.0,Acquired,0
11464,Medical Facilities & Services,492872.0,Abbey Healthcare Group,1998.0,IPO / Went public,0
11479,Biotechnology,471072.0,Lineage Cell Therapeutics,1990.0,IPO / Went public,0
11489,Medical Facilities & Services,504772.0,Collaborative Clinical Re,1991.0,IPO / Went public,0
11511,Biotechnology,513617.0,GalaGen,1987.0,IPO / Went public,0
11535,Medical Facilities & Services,518044.0,Home Health Corp Of Ameri,1982.0,IPO / Went public,0
11543,Medical Devices & Equipment,529115.0,Novoste,1987.0,IPO / Went public,0
11544,Medical Facilities & Services,530591.0,Oak Tree Health Plan,1992.0,Acquired,0
11551,Healthcare Software,534138.0,Preferred Solutions,1987.0,Acquired,0
11557,Pharmaceuticals / Drugs,543925.0,Synthecell,1988.0,Dead / Inactive,0
11571,Biotechnology,545246.0,Theratech,1985.0,IPO / Went public,0
11589,Biotechnology,514097.0,Genetronics,1983.0,Acquired,0
11595,Medical Facilities & Services,534265.0,Prism Health Group,1992.0,Acquired,0
11605,Medical Facilities & Services,549318.0,Westar Linen Service,1992.0,Acquired,0
11620,Biotechnology,503894.0,Chiroscience,1992.0,IPO / Went public,0
11623,Healthcare Software,527249.0,MRC,1981.0,Acquired,0
11629,Pharmaceuticals / Drugs,537494.0,Richwood Pharmaceuticals,1990.0,Acquired,0
11644,Medical Facilities & Services,504833.0,Commonwealth Care,1990.0,Acquired,0
11650,Medical Devices & Equipment,495281.0,Analyte,1985.0,Acquired,0
11655,Medical Facilities & Services,507508.0,Diversified Health Center,1992.0,Acquired,0
11665,Medical Facilities & Services,528647.0,Metrahealth,1992.0,Acquired,0
11667,Medical Equipment & Supplies,536283.0,Rhodon,1992.0,Dead / Inactive,0
11671,Biotechnology,549880.0,Xenometrix,1991.0,IPO / Went public,0
11677,Medical Devices & Equipment,525531.0,Medrad,1964.0,IPO / Went public,0
11698,Pharmaceuticals / Drugs,493065.0,ACEA Pharmaceuticals,1991.0,Acquired,0
11709,Pharmaceuticals / Drugs,506354.0,Cypros Pharmaceuticals,1990.0,IPO / Went public,0
11710,Medical Facilities & Services,514288.0,Genetrex,1988.0,Acquired,0
11733,Pharmaceuticals / Drugs,506920.0,D & K Wholesale Drug,1987.0,IPO / Went public,0
11739,Disease Diagnosis,539180.0,Shena,1992.0,Dead / Inactive,0
11764,Medical Facilities & Services,512987.0,Future Care Affiliates,1992.0,Acquired,0
11766,Medical Devices & Equipment,535470.0,R2 Medical Systems,1991.0,IPO / Went public,0
11767,Medical Equipment & Supplies,544269.0,Taylor Medical,1989.0,Acquired,0
11768,Medical Devices & Equipment,528337.0,Myriad Ultrasound Systems,1992.0,Dead / Inactive,0
11783,Disease Diagnosis,527941.0,Nanotronics,1992.0,Acquired,0
11784,Healthcare Software,531849.0,Patient Care Technologies,1991.0,Acquired,0
11790,Medical Devices & Equipment,521184.0,Kerus Medical,1992.0,Dead / Inactive,0
11791,Disease Diagnosis,493884.0,Advanced Molecular System,1990.0,Dead / Inactive,0
11796,Medical Devices & Equipment,503904.0,Circadian,1979.0,Dead / Inactive,0
11799,Biotechnology,518691.0,Immtech International,1992.0,Acquired,0
11801,Medical Facilities & Services,519054.0,Innovative Health Concept,1992.0,Dead / Inactive,0
11802,Medical Devices & Equipment,523932.0,LDT,1991.0,Acquired,0
11803,Drug Development,524860.0,LXR Biotechnology,1992.0,IPO / Went public,0
11805,Medical Equipment & Supplies,525816.0,Medical Specialties Group,1984.0,Acquired,0
11806,Medical Devices & Equipment,528467.0,NexRay,1992.0,Assets Purchased,0
11819,Biotechnology,543645.0,Supragen,1992.0,Acquired,0
11823,Biotechnology,523971.0,Khepri Pharmaceuticals,1992.0,Acquired,0
11845,Medical Devices & Equipment,494711.0,Alamed,1993.0,Dead / Inactive,0
11847,Medical Devices & Equipment,499765.0,BioSeparations,1991.0,Dead / Inactive,0
11858,Medical Facilities & Services,497498.0,Back Health Of Seattle,1993.0,Dead / Inactive,0
11860,Biotechnology,527747.0,Microcide Pharmaceuticals,1992.0,IPO / Went public,0
11863,Biotechnology,537828.0,Scotgen Biopharmaceutical,1993.0,Dead / Inactive,0
11918,Medical Equipment & Supplies,543201.0,Sunshine Medical,1992.0,Dead / Inactive,0
11919,Medical Facilities & Services,548154.0,Vanguard Healthcare Group,1987.0,Acquired,0
11924,Medical Facilities & Services,500103.0,Biosafety Systems,1982.0,IPO / Went public,0
11929,Medical Devices & Equipment,517970.0,Il Med,1987.0,Dead / Inactive,0
11931,Medical Facilities & Services,499840.0,Bio-pharm Clinical Servic,1985.0,Acquired,0
11934,Drug Development,500682.0,Boston Life Sciences,1992.0,Acquired,0
11935,Biotechnology,514178.0,Geron,1990.0,IPO / Went public,0
11953,Medical Facilities & Services,531927.0,Oncogenetics,1992.0,Acquired,0
11971,Medical Facilities & Services,504637.0,Collegiate Healthcare,1992.0,Dead / Inactive,0
11973,Medical Devices & Equipment,511717.0,Fiberoptic Sensor Technol,1986.0,Acquired,0
11976,Medical Facilities & Services,547975.0,Vha Long Term Care,1986.0,Acquired,0
11999,Healthcare Software,517675.0,HealthBanks,1993.0,Acquired,0
12000,Pharmaceuticals / Drugs,519164.0,IMB,1991.0,Dead / Inactive,0
12029,Drug Delivery,534019.0,PowderJect,1993.0,IPO / Went public,0
12030,Drug Development,534315.0,PrimaGen,1993.0,Dead / Inactive,0
12031,Medical Devices & Equipment,545295.0,Tomtec Imaging Systems,1993.0,Dead / Inactive,0
12039,Medical Facilities & Services,498195.0,Behavioral Healthcare,1992.0,Acquired,0
12053,Biotechnology,495876.0,Apoptech,1993.0,Acquired,0
12056,Drug Development,531947.0,Oncormed,1993.0,IPO / Went public,0
12073,Medical Facilities & Services,515681.0,Health Devices Research I,1992.0,Dead / Inactive,0
12074,Healthcare Software,533211.0,Physicians' Online,1992.0,Acquired,0
12075,Biotechnology,545001.0,TNI Pharmaceuticals,1993.0,Dead / Inactive,0
12078,Medical Facilities & Services,493631.0,Advance Paradigm,1986.0,IPO / Went public,0
12080,Pharmaceuticals / Drugs,535809.0,Reperfusion,1993.0,Acquired,0
12086,Pharmaceuticals / Drugs,541473.0,Spectra Biomedical,1993.0,Acquired,0
12089,Medical Facilities & Services,542807.0,Southeast Health Plan,1984.0,Acquired,0
12096,Healthcare Software,528012.0,Mecon,1984.0,IPO / Went public,0
12102,Biotechnology,545687.0,Therox Pharmaceuticals,1993.0,Acquired,0
12122,Drug Delivery,525413.0,Medi-Ject,1979.0,IPO / Went public,0
12126,Pharmaceuticals / Drugs,508974.0,Dura Delivery Systems,1993.0,Acquired,0
12147,Drug Development,515714.0,Halo Perinatal,1993.0,Dead / Inactive,0
12155,Medical Equipment & Supplies,38886.0,InSite Vision,1986.0,Acquired,0
