node,country,continent,industry,bipartite,id,deg_max,deg_min,deg_median,voterank_max,voterank_min,voterank_median,clustering_max,clustering_min,clustering_median,harmonic_centrality_max,harmonic_centrality_min,harmonic_centrality_median,closeness_centrality_max,closeness_centrality_min,closeness_centrality_median,newman_betweenness_centrality_max,newman_betweenness_centrality_min,newman_betweenness_centrality_median,pagerank_max,pagerank_min,pagerank_median,betweenness_centrality_max,betweenness_centrality_min,betweenness_centrality_median,eigenvector_centrality_max,eigenvector_centrality_min,eigenvector_centrality_median,average_neighbor_degree_max,average_neighbor_degree_min,average_neighbor_degree_median,num_inv,deg_org,voterank_org,clustering_org,core_number_org,harmonic_centrality_org,closeness_centrality_org,newman_betweenness_centrality_org,pagerank_org,eigenvector_centrality_org,average_neighbor_degree_org
Plurogen Therapeutics,United States,North America,Pharmaceuticals / Drugs,1,76,7.0,4.0,4.0,3102.0,838.0,1774.0,1.0,0.4,1.0,1034.615476,829.3833333,829.3833333,0.212118021,0.17166081,0.17166081,0.000758799,0.0,0.0,0.000218915,0.000147627,0.000147627,0.000758799,0.0,0.0,2.65e-06,1.92e-08,1.92e-08,5.142857143,3.75,3.75,3,3.0,1951.0,0.333333333,2.0,860.3492063,0.209253994,0.000479224,0.000163855,1.56e-07,3.666666667
Cardiac Insight,United States,North America,Medical Devices & Equipment,1,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1.0,3449.0,0.0,1.0,1.0,0.000183891,0.0,0.000183857,6.399999999999999e-42,1.0
Ocera Therapeutics,United States,North America,Biotechnology,1,79,452.0,46.0,123.0,390.0,11.0,109.0,0.154589372,0.103683064,0.138477942,1992.792857,1533.77619,1697.709524,0.411776429,0.332270182,0.362197281,0.020509934,0.000955978,0.002318523,0.002575327,0.000382171,0.000855227,0.021593912,0.000864825,0.002243521,0.089089406,0.004344444,0.012986406,105.3871681,82.84782609,89.03252033,3,127.0,2036.0,0.655793026,98.0,1480.392857,0.386384673,0.000128611,0.000372642,0.022364507,220.5669291
Histogenics,United States,North America,Pharmaceuticals / Drugs,1,81,117.0,11.0,68.0,1179.0,126.0,339.0,0.944444444,0.154691076,0.210722611,1702.659524,1287.564286,1581.039286,0.36325391,0.284845672,0.339782772,0.005572269,8.64e-08,0.000628179,0.000875334,0.000113659,0.000478974,0.005835564,8.32e-08,0.00057258,0.01630505,0.000627955,0.007543642,104.1709402,53.72727273,94.86764706,3,26.0,,0.630769231,20.0,1311.785714,0.34728647,1.14e-05,0.000126893,0.002859067,161.3846154
Everist Health,United States,North America,Medical Devices & Equipment,1,84,2.0,2.0,2.0,1954.0,1954.0,1954.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000277778,0.000277778,0.000277778,0.0,0.0,0.0,5.45e-27,5.45e-27,5.45e-27,1.0,1.0,1.0,1,1.0,,0.0,1.0,1.0,0.000364964,0.0,0.00036483,2.4099999999999997e-34,1.0
Biofisica,United States,North America,Pharmaceuticals / Drugs,1,88,182.0,6.0,26.0,2953.0,52.0,769.0,0.470769231,0.110304159,0.166666667,1768.314286,1198.372619,1462.422619,0.375863629,0.266328854,0.317446146,0.00944725,0.001783453,0.002316613,0.001304046,0.000169967,0.000277888,0.009738936,0.001642664,0.002434061,0.018762546,0.000169063,0.003763222,109.0384615,37.0,80.64285714,3,45.0,1272.0,0.772727273,40.0,1381.185714,0.366455772,0.001328907,0.000249562,0.005494011,179.8
ReaMetrix,United States,North America,Drug Development,1,92,9.0,3.0,6.0,1578.0,1578.0,1578.0,0.476190476,0.333333333,0.4047619045,1043.230952,785.4400794,914.3355156999999,0.276888178,0.212216172,0.24455217499999998,0.00151355,0.000504278,0.001008914,0.000208665,0.000180903,0.00019478399999999998,0.001513234,0.000504278,0.001008756,0.00061517,5.27e-06,0.00031022,33.11111111,5.333333333,19.2222222215,2,2.0,1660.0,0.0,1.0,762.6071429,0.264801917,0.000696882,0.000173027,4.54e-05,41.5
Abeome,United States,North America,Biotechnology,1,119,17.0,14.0,15.5,844.0,616.0,730.0,0.380952381,0.272727273,0.326839827,1494.269048,1485.145238,1489.707143,0.298165275,0.297310404,0.2977378395,0.00073057,0.000353709,0.0005421395,0.000178661,0.000176721,0.000177691,0.000652958,0.00027908,0.000466019,0.001258615,0.00104964,0.0011541275,80.78571429,63.29411765,72.03991597,2,8.0,1993.0,0.714285714,6.0,1185.720238,0.283675547,1.88e-05,0.00010523,0.000132723,42.0
ArunA Biomedical,United States,North America,Biotechnology,1,121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
InsectiGen,United States,North America,Biotechnology,1,124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1.0,,0.0,1.0,1.0,0.000326691,0.0,0.000326584,2.73e-35,1.0
Patheon,United States,North America,Pharmaceuticals / Drugs,1,128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
Biocytogen,China,Asia,Biotechnology,1,141,11.0,11.0,11.0,5420.0,5420.0,5420.0,0.944444444,0.944444444,0.944444444,2101.427381,2101.427381,2101.427381,0.263161289,0.263161289,0.263161289,1.5e-07,1.5e-07,1.5e-07,5.64e-05,5.64e-05,5.64e-05,8.96e-08,8.96e-08,8.96e-08,0.001341611,0.001341611,0.001341611,112.1818182,112.1818182,112.1818182,1,,,,,,,,,,
Argolyn Bioscience,United States,North America,Biotechnology,1,159,106.0,35.0,98.0,1007.0,142.0,159.0,0.317647059,0.157592093,0.157795077,1838.783333,1646.25,1838.35,0.358846873,0.324821433,0.358143448,0.005025452,0.000221724,0.003831897,0.000727068,0.000239699,0.000665552,0.005069278,0.000184421,0.003961937,0.014467594,0.004793424,0.011616103,126.8285714,100.5566038,114.9795918,3,50.0,1452.0,0.41877551,37.0,1540.792857,0.355770341,0.000136,0.000184517,0.003484905,146.3
Avancen,United States,North America,Medical Devices & Equipment,1,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
Charleston Laboratories,United States,North America,Pharmaceuticals / Drugs,1,162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
KIYATEC,United States,North America,Drug Development,1,163,2.0,2.0,2.0,2451.0,2451.0,2451.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000201126,0.000201126,0.000201126,0.0,0.0,0.0,6.05e-30,6.05e-30,6.05e-30,1.0,1.0,1.0,1,1.0,2784.0,0.0,1.0,1.0,0.000225023,0.0,0.000224972,3.07e-37,1.0
Lab21,United Kingdom,Europe,Medical Devices & Equipment,1,164,87.0,4.0,5.0,437.0,437.0,437.0,0.833333333,0.370489174,0.4,1888.12619,1097.705952,1433.709524,0.351838498,0.214320835,0.276215342,0.000782573,1.02e-05,1.83e-05,0.000433295,7.07e-05,0.000101351,0.000778014,6.93e-06,1.3e-05,0.02155672,3.26e-06,0.000398937,165.7356322,11.75,76.0,3,11.0,2302.0,0.527272727,9.0,1465.710714,0.310373821,0.000384784,8.1e-05,0.000521856,95.27272727
Alpha Innotech,United States,North America,Drug Development,1,165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
BioForm Medical,United States,North America,Pharmaceuticals / Drugs,1,166,151.0,151.0,151.0,20.0,20.0,20.0,0.190640177,0.190640177,0.190640177,911.1761905,911.1761905,911.1761905,0.384101941,0.384101941,0.384101941,0.01210834,0.01210834,0.01210834,0.002266842,0.002266842,0.002266842,0.012288483,0.012288483,0.012288483,0.079838898,0.079838898,0.079838898,63.96688742,63.96688742,63.96688742,1,21.0,564.0,1.0,21.0,458.7166667,0.320419969,0.0,0.000528987,0.006974628,55.80952381
Optimer Pharmaceuticals,United States,North America,Pharmaceuticals / Drugs,1,169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
Sabal Medical,United States,North America,Healthcare Software,1,172,2.0,2.0,2.0,2155.0,2155.0,2155.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000232019,0.000232019,0.000232019,0.0,0.0,0.0,8.53e-28,8.53e-28,8.53e-28,1.0,1.0,1.0,1,,,,,,,,,,
Mitralign,United States,North America,Medical Devices & Equipment,1,173,317.0,5.0,48.5,2504.0,19.0,438.5,0.666666667,0.10316256,0.22738943150000002,1796.214286,1190.72619,1321.7964285,0.414573754,0.289489431,0.314217537,0.025504625,7.38e-06,0.0018121105,0.002504727,8.59e-05,0.000500233,0.027007437,4.83e-06,0.0017127485,0.0614416,0.000542801,0.003042332,99.13249211,46.07142857,72.327710845,4,69.0,,0.733589088,61.0,1240.752381,0.373791692,0.000500868,0.000321237,0.00965108,152.4347826
USGI Medical,United States,North America,Medical Devices & Equipment,1,174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
Valeritas,United States,North America,Drug Delivery,1,178,39.0,39.0,39.0,172.0,172.0,172.0,0.142642643,0.142642643,0.142642643,1471.853571,1471.853571,1471.853571,0.264090595,0.264090595,0.264090595,0.00468915,0.00468915,0.00468915,0.000824645,0.000824645,0.000824645,0.004665545,0.004665545,0.004665545,0.000149224,0.000149224,0.000149224,14.41025641,14.41025641,14.41025641,1,129.0,,1.0,129.0,2012.709524,0.374560334,0.0,0.000246146,0.009034308,209.9612403
Vantage Oncology,United States,North America,Medical Facilities & Services,1,186,93.0,18.0,36.0,330.0,89.0,319.0,0.307189542,0.19541842,0.201587302,1136.75,904.5571429,1027.785714,0.358151742,0.293618286,0.327495748,0.002870297,0.000730667,0.000949081,0.001052118,0.000363431,0.000507597,0.002819287,0.000596642,0.00062269,0.019297302,0.001557564,0.007101261,64.4516129,32.66666667,62.61111111,3,40.0,530.0,0.524358974,30.0,790.4428571,0.350731561,0.000168503,0.000402656,0.01240278,91.65
Intersect ENT,United States,North America,Drug Delivery,1,194,167.0,137.0,152.0,158.0,70.0,114.0,0.169375345,0.119616189,0.144495767,1946.459524,1922.5,1934.479762,0.377265562,0.374394102,0.375829832,0.005133335,0.002526363,0.0038298489999999998,0.001061113,0.00078635,0.0009237315000000001,0.005325557,0.002628041,0.003976799,0.022641276,0.021391222,0.022016249,129.0948905,106.1616766,117.62828354999999,2,46.0,1503.0,0.529468599,37.0,1488.559524,0.34277462,3.51e-05,0.000152185,0.003259954,142.0434783
Synapsin Pharmaceuticals,United States,North America,Pharmaceuticals / Drugs,1,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
INDIGO Biosciences,United States,North America,Biotechnology,1,206,6.0,6.0,6.0,2028.0,2028.0,2028.0,1.0,1.0,1.0,932.5214286,932.5214286,932.5214286,0.182737949,0.182737949,0.182737949,0.0,0.0,0.0,0.000144863,0.000144863,0.000144863,0.0,0.0,0.0,1.19e-07,1.19e-07,1.19e-07,6.833333333,6.833333333,6.833333333,1,6.0,3047.0,1.0,6.0,946.5753968,0.206884506,0.0,0.000205161,6.07e-08,6.666666667
Aetion,United States,North America,Internet Software & Services,1,226,165.0,7.0,86.0,214.0,214.0,214.0,0.904761905,0.166250095,0.535506,3990.792857,3130.27619,3560.5345235,0.291715648,0.236870345,0.2642929965,0.001329317,6.03e-07,0.00066496,0.000433241,3.32e-05,0.0002332205,0.001407101,4.87e-07,0.000703794,0.021597844,0.000904716,0.01125128,135.7142857,132.8727273,134.2935065,2,12.0,,0.863636364,12.0,3506.37619,0.281419774,1.2e-06,2.56e-05,0.00022427,124.3333333
Almedtrac,United States,North America,Healthcare Software,1,235,25.0,25.0,25.0,286.0,286.0,286.0,0.283333333,0.283333333,0.283333333,1326.761905,1326.761905,1326.761905,0.266795825,0.266795825,0.266795825,0.0026431,0.0026431,0.0026431,0.000417252,0.000417252,0.000417252,0.002078601,0.002078601,0.002078601,0.000193962,0.000193962,0.000193962,17.48,17.48,17.48,1,33.0,2335.0,1.0,33.0,1135.484524,0.265373899,0.0,0.00023039,1.6e-05,38.63636364
VLST Corporation,United States,North America,Biotechnology,1,239,423.0,29.0,131.0,678.0,6.0,75.0,0.256157635,0.094394586,0.1423772215,1718.202381,1251.052381,1453.984524,0.426570388,0.326087695,0.370533405,0.027053269,0.000303975,0.0039078125,0.003117197,0.000284932,0.0011299370000000001,0.028403519,0.000246766,0.0038713045,0.094618368,0.004596766,0.0171658585,89.81323877,67.2189781,87.22427586,4,151.0,1097.0,0.523178808,89.0,1199.342857,0.395755297,0.00021627,0.000647844,0.041224484,173.6357616
Arteriocyte,United States,North America,Drug Development,1,249,5.0,5.0,5.0,3203.0,3203.0,3203.0,0.333333333,0.333333333,0.333333333,1327.095238,1327.095238,1327.095238,0.269003068,0.269003068,0.269003068,5.49e-05,5.49e-05,5.49e-05,8.82e-05,8.82e-05,8.82e-05,2.28e-05,2.28e-05,2.28e-05,0.000274704,0.000274704,0.000274704,39.8,39.8,39.8,1,4.0,,1.0,4.0,1053.758333,0.253021139,0.0,9.55e-05,1.15e-05,11.0
Ash Access Technology,United States,North America,Pharmaceuticals / Drugs,1,250,89.0,30.0,59.5,337.0,337.0,337.0,0.310344828,0.213738509,0.2620416685,1654.359524,1502.632143,1578.4958335000001,0.354068348,0.322884888,0.33847661799999995,0.000888419,0.000117459,0.000502939,0.000562119,0.000214543,0.000388331,0.000875285,9.5e-05,0.0004851425,0.013680194,0.005000212,0.009340203,115.9666667,110.9101124,113.43838955000001,2,16.0,,0.641666667,16.0,1265.302381,0.335943123,2.45e-06,8.72e-05,0.002525018,199.8125
Asterand Bioscience,United States,North America,Drug Discovery,1,254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
Banyan Biomarkers,United States,North America,Biotechnology,1,270,28.0,6.0,17.0,10544.0,3918.0,7231.0,0.6,0.276923077,0.4384615385,3417.852381,2685.370238,3051.6113095,0.254868321,0.20537964,0.2301239805,0.000278054,1.12e-05,0.000144627,9.28e-05,4.19e-05,6.735000000000001e-05,0.000246855,5.23e-06,0.0001260425,0.003563004,4.95e-05,0.001806252,133.25,18.0,75.625,2,4.0,7585.0,0.5,3.0,3387.090476,0.271405515,1.5e-05,2.27e-05,0.000204341,206.75
BioProtection Systems,United States,North America,Biotechnology,1,282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
Comprehend Systems,United States,North America,Internet Software & Services,1,287,108.0,8.0,10.5,5072.0,176.0,1203.0,0.952380952,0.184366577,0.5759740259999999,2196.305952,1593.076587,1630.7742065,0.323034411,0.243146132,0.24873568499999998,0.00168036,4.37e-08,2.895e-05,0.000544806,8.74e-05,0.00010235149999999999,0.001643335,4.72e-08,1.3655e-05,0.011436024,0.000161172,0.0001945475,117.8405797,26.33333333,28.714743589999998,9,9.0,2298.0,0.305555556,5.0,1796.236111,0.287127235,0.000288738,0.000101297,0.000140392,49.55555556
Cellular Dynamics International,United States,North America,Drug Development,1,297,44.0,24.0,34.0,1949.0,711.0,1330.0,0.663043478,0.355179704,0.5091115909999999,1710.609524,1558.766667,1634.6880955000001,0.321558824,0.296099901,0.30882936250000004,0.000218784,3.14e-05,0.000125092,0.000261086,0.000152595,0.0002068405,0.000199895,2.22e-05,0.0001110475,0.005349442,0.00221299,0.0037812160000000004,97.61363636,79.625,88.61931818,2,3.0,,0.666666667,3.0,1294.713095,0.277392921,8.27e-07,4.48e-05,8.96e-05,92.33333333
Clearflow,United States,North America,Medical Devices & Equipment,1,305,3.0,3.0,3.0,2521.0,2521.0,2521.0,0.0,0.0,0.0,1.0,1.0,1.0,0.000232072,0.000232072,0.000232072,0.0,0.0,0.0,0.000232019,0.000232019,0.000232019,0.0,0.0,0.0,2.49e-25,2.49e-25,2.49e-25,2.0,2.0,2.0,1,,,,,,,,,,
CleveX,United States,North America,Medical Devices & Equipment,1,308,2.0,2.0,2.0,2388.0,2388.0,2388.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000210881,0.000210881,0.000210881,0.0,0.0,0.0,4.6399999999999995e-28,4.6399999999999995e-28,4.6399999999999995e-28,1.0,1.0,1.0,1,,,,,,,,,,
Alimera Sciences,United States,North America,Pharmaceuticals / Drugs,1,314,350.0,76.0,128.5,135.0,16.0,98.5,0.165988948,0.118788375,0.140023288,1664.666667,1371.219048,1499.4095235,0.41585675,0.351871193,0.384583341,0.016477645,0.003484089,0.0037451615,0.002414738,0.000779013,0.001074909,0.017396627,0.003584465,0.003826268,0.088763721,0.008757028,0.0237291035,108.5390071,76.26315789,91.46943352,4,136.0,995.0,0.426034858,72.0,1184.933333,0.391659351,0.000480762,0.000628562,0.027522428,147.7720588
EMSystems,United States,North America,Internet Software & Services,1,316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
FLAVORx,United States,North America,Pharmaceuticals / Drugs,1,318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
Diagnostic Hybrids,United States,North America,Medical Devices & Equipment,1,328,22.0,9.0,15.5,1649.0,420.0,1034.5,1.0,0.238095238,0.619047619,1125.095238,1097.528571,1111.3119045,0.296203384,0.289859272,0.293031328,0.000942097,0.0,0.0004710485,0.000326943,0.000111053,0.000218998,0.000816043,0.0,0.0004080215,0.001457056,0.000772761,0.0011149085,70.22222222,34.81818182,52.52020202,2,10.0,1309.0,0.8,9.0,800.0571429,0.276682362,0.000317173,0.000220151,0.000108868,23.0
Cambridge Temperature Concepts,United Kingdom,Europe,Medical Devices & Equipment,1,329,5.0,4.0,5.0,1943.0,1114.0,1528.5,1.0,0.3,0.666666667,1333.271429,1020.238095,1020.738095,0.258248231,0.200528708,0.200538767,0.00108197,0.0,4.05e-08,0.000186503,0.000141592,0.000182033,0.00108197,0.0,4.05e-08,0.000112812,8.14e-07,8.2e-07,25.6,3.5,3.6,3,3.0,2940.0,0.666666667,3.0,1217.755952,0.262418896,1.28e-05,6.87e-05,1.54e-05,31.66666667
DiscoveryBioMed,United States,North America,Drug Discovery,1,332,39.0,39.0,39.0,181.0,181.0,181.0,0.190690691,0.190690691,0.190690691,1480.036905,1480.036905,1480.036905,0.265507748,0.265507748,0.265507748,0.003200835,0.003200835,0.003200835,0.000692211,0.000692211,0.000692211,0.003296248,0.003296248,0.003296248,0.00016715,0.00016715,0.00016715,15.97435897,15.97435897,15.97435897,1,43.0,2690.0,1.0,43.0,1680.428571,0.31940518,0.0,0.000154674,0.000741689,85.79069767
Asensus Surgical,United States,North America,Medical Devices & Equipment,1,340,297.0,4.0,16.0,3013.0,33.0,1823.0,1.0,0.118482118,0.32967033,2094.6,1380.595238,1537.442857,0.405408998,0.280200888,0.30723821,0.012235844,0.0,5.26e-05,0.001692174,6.11e-05,0.000128213,0.013209909,0.0,3.08e-05,0.049962408,0.000372781,0.001824499,119.003367,79.25,112.75,3,48.0,,0.920212766,47.0,1569.509524,0.364536466,5.27e-05,0.000152187,0.004574386,185.6666667
