node,country,continent,industry,bipartite,id,closeness_centrality_max,closeness_centrality_min,closeness_centrality_median,newman_betweenness_centrality_max,newman_betweenness_centrality_min,newman_betweenness_centrality_median,clustering_max,clustering_min,clustering_median,eigenvector_centrality_max,eigenvector_centrality_min,eigenvector_centrality_median,average_neighbor_degree_max,average_neighbor_degree_min,average_neighbor_degree_median,deg_max,deg_min,deg_median,pagerank_max,pagerank_min,pagerank_median,harmonic_centrality_max,harmonic_centrality_min,harmonic_centrality_median,betweenness_centrality_max,betweenness_centrality_min,betweenness_centrality_median,num_inv,closeness_centralityorg,core_numberorg,clusteringorg,eigenvector_centralityorg,average_neighbor_degreeorg,degorg,pagerankorg,harmonic_centralityorg,newman_betweenness_centralityorg
HealthGate,United States,North America,Healthcare Software,1,47,0.378500808,0.378500808,0.378500808,0.003559374,0.003559374,0.003559374,0.337576822,0.337576822,0.337576822,0.047629886,0.047629886,0.047629886,87.10294118,87.10294118,87.10294118,68.0,68.0,68.0,0.001139912,0.001139912,0.001139912,870.6833333,870.6833333,870.6833333,0.00368205,0.00368205,0.00368205,1,0.323398888,12.0,1.0,0.010883502,78.41666667,12.0,0.000333002,456.7166667,0.0
Signase,United States,North America,Pharmaceuticals / Drugs,1,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
TYRX,United States,North America,Medical Devices & Equipment,1,50,0.363340116,0.363340116,0.363340116,0.002196707,0.002196707,0.002196707,0.167287785,0.167287785,0.167287785,0.013758602,0.013758602,0.013758602,117.9857143,117.9857143,117.9857143,70.0,70.0,70.0,0.000578358,0.000578358,0.000578358,1544.72619,1544.72619,1544.72619,0.002143466,0.002143466,0.002143466,1,0.334412669,14.0,1.0,0.001563094,125.7142857,14.0,0.000108972,1101.269048,0.0
EndoMedix,United States,North America,Medical Devices & Equipment,1,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
Tengion,United States,North America,Medical Devices & Equipment,1,54,0.382618679,0.301852843,0.369045099,0.004289089,5.4e-07,0.0034296450000000003,0.4,0.137513998,0.1725644195,0.025212578,0.001791654,0.0150335585,132.0,89.96842105,118.42196225,125.0,8.0,100.5,0.000929082,8.51e-05,0.0008447465,1629.964286,1258.389286,1578.232738,0.004444763,4.97e-07,0.0034898455,4,0.377428961,46.0,0.399435028,0.008382149,152.6666667,60.0,0.000275131,1251.719048,0.000226163
Osteotech,United States,North America,Medical Devices & Equipment,1,61,0.329421384,0.241116605,0.241116605,0.002228777,0.0,0.0,1.0,0.343873518,1.0,0.010287615,0.000117686,0.000119002,107.3913043,7.2,9.1,23.0,3.0,5.0,0.000389776,0.000145954,0.00018749,1030.802381,730.3952381,730.3952381,0.002230373,0.0,0.0,4,0.285572213,3.0,1.0,0.000586787,73.0,3.0,0.000104023,622.5690476,0.0
Potentia Pharmaceuticals,United States,North America,Biotechnology,1,64,0.288914967,0.218695324,0.2538051455,0.000402557,0.0,0.0002012785,0.355555556,0.0,0.177777778,0.000738146,5.31e-06,0.000371728,60.16666667,5.0,32.583333335,12.0,3.0,7.5,0.000133569,7.33e-05,0.0001034345,1434.335714,1063.845238,1249.090476,0.000394545,0.0,0.0001972725,2,0.274753597,2.0,1.0,3.62e-05,52.0,2.0,4.44e-05,1143.527381,0.0
Sequoia Pharmaceuticals,United States,North America,Pharmaceuticals / Drugs,1,66,0.361657416,0.326542897,0.337595224,0.006274319,0.00017133,0.000811163,0.281650071,0.189929656,0.263157895,0.012218107,0.005069369,0.007663748,129.0263158,65.36842105,109.2972973,74.0,38.0,57.0,0.00071421,0.000290901,0.000504484,1537.292857,1387.82619,1434.722619,0.006325971,0.000148397,0.000686399,3,0.364927448,33.0,0.470588235,0.005600499,127.4615385,52.0,0.000288088,1211.269048,0.000297545
Sierra Neuropharmaceuticals,United States,North America,Drug Development,1,67,0.364376673,0.293082681,0.3526765155,0.002103287,9.63e-05,0.0013995185,0.380952381,0.173474409,0.212490914,0.019001393,0.001014474,0.013943008,132.3580247,105.5555556,116.79057575,128.0,9.0,96.0,0.000718106,0.00010747,0.0005462175,1961.683333,1531.116667,1892.625,0.002112575,3.19e-05,0.001424313,4,0.346617829,41.0,0.650241546,0.003097655,161.173913,46.0,0.000151111,1669.22619,0.000193606
Plurogen Therapeutics,United States,North America,Pharmaceuticals / Drugs,1,76,0.212118021,0.17166081,0.17166081,0.000758799,0.0,0.0,1.0,0.4,1.0,2.65e-06,1.92e-08,1.92e-08,5.142857143,3.75,3.75,7.0,4.0,4.0,0.000218915,0.000147627,0.000147627,1034.615476,829.3833333,829.3833333,0.000758799,0.0,0.0,3,0.209253994,2.0,0.333333333,1.56e-07,3.666666667,3.0,0.000163855,860.3492063,0.000479224
Cardiac Insight,United States,North America,Medical Devices & Equipment,1,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.000183891,1.0,0.0,6.399999999999999e-42,1.0,1.0,0.000183857,1.0,0.0
Ocera Therapeutics,United States,North America,Biotechnology,1,79,0.411776429,0.332270182,0.362197281,0.020509934,0.000955978,0.002318523,0.154589372,0.103683064,0.138477942,0.089089406,0.004344444,0.012986406,105.3871681,82.84782609,89.03252033,452.0,46.0,123.0,0.002575327,0.000382171,0.000855227,1992.792857,1533.77619,1697.709524,0.021593912,0.000864825,0.002243521,3,0.386384673,98.0,0.655793026,0.022364507,220.5669291,127.0,0.000372642,1480.392857,0.000128611
Histogenics,United States,North America,Pharmaceuticals / Drugs,1,81,0.36325391,0.284845672,0.339782772,0.005572269,8.64e-08,0.000628179,0.944444444,0.154691076,0.210722611,0.01630505,0.000627955,0.007543642,104.1709402,53.72727273,94.86764706,117.0,11.0,68.0,0.000875334,0.000113659,0.000478974,1702.659524,1287.564286,1581.039286,0.005835564,8.32e-08,0.00057258,3,0.34728647,20.0,0.630769231,0.002859067,161.3846154,26.0,0.000126893,1311.785714,1.14e-05
Everist Health,United States,North America,Medical Devices & Equipment,1,84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.45e-27,5.45e-27,5.45e-27,1.0,1.0,1.0,2.0,2.0,2.0,0.000277778,0.000277778,0.000277778,0.0,0.0,0.0,0.0,0.0,0.0,1,0.000364964,1.0,0.0,2.4099999999999997e-34,1.0,1.0,0.00036483,1.0,0.0
Biofisica,United States,North America,Pharmaceuticals / Drugs,1,88,0.375863629,0.266328854,0.317446146,0.00944725,0.001783453,0.002316613,0.470769231,0.110304159,0.166666667,0.018762546,0.000169063,0.003763222,109.0384615,37.0,80.64285714,182.0,6.0,26.0,0.001304046,0.000169967,0.000277888,1768.314286,1198.372619,1462.422619,0.009738936,0.001642664,0.002434061,3,0.366455772,40.0,0.772727273,0.005494011,179.8,45.0,0.000249562,1381.185714,0.001328907
ReaMetrix,United States,North America,Drug Development,1,92,0.276888178,0.212216172,0.24455217499999998,0.00151355,0.000504278,0.001008914,0.476190476,0.333333333,0.4047619045,0.00061517,5.27e-06,0.00031022,33.11111111,5.333333333,19.2222222215,9.0,3.0,6.0,0.000208665,0.000180903,0.00019478399999999998,1043.230952,785.4400794,914.3355156999999,0.001513234,0.000504278,0.001008756,2,0.264801917,1.0,0.0,4.54e-05,41.5,2.0,0.000173027,762.6071429,0.000696882
Abeome,United States,North America,Biotechnology,1,119,0.298165275,0.297310404,0.2977378395,0.00073057,0.000353709,0.0005421395,0.380952381,0.272727273,0.326839827,0.001258615,0.00104964,0.0011541275,80.78571429,63.29411765,72.03991597,17.0,14.0,15.5,0.000178661,0.000176721,0.000177691,1494.269048,1485.145238,1489.707143,0.000652958,0.00027908,0.000466019,2,0.283675547,6.0,0.714285714,0.000132723,42.0,8.0,0.00010523,1185.720238,1.88e-05
ArunA Biomedical,United States,North America,Biotechnology,1,121,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
InsectiGen,United States,North America,Biotechnology,1,124,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.000326691,1.0,0.0,2.73e-35,1.0,1.0,0.000326584,1.0,0.0
Patheon,United States,North America,Pharmaceuticals / Drugs,1,128,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
Biocytogen,China,Asia,Biotechnology,1,141,0.263161289,0.263161289,0.263161289,1.5e-07,1.5e-07,1.5e-07,0.944444444,0.944444444,0.944444444,0.001341611,0.001341611,0.001341611,112.1818182,112.1818182,112.1818182,11.0,11.0,11.0,5.64e-05,5.64e-05,5.64e-05,2101.427381,2101.427381,2101.427381,8.96e-08,8.96e-08,8.96e-08,1,,,,,,,,,
Argolyn Bioscience,United States,North America,Biotechnology,1,159,0.358846873,0.324821433,0.358143448,0.005025452,0.000221724,0.003831897,0.317647059,0.157592093,0.157795077,0.014467594,0.004793424,0.011616103,126.8285714,100.5566038,114.9795918,106.0,35.0,98.0,0.000727068,0.000239699,0.000665552,1838.783333,1646.25,1838.35,0.005069278,0.000184421,0.003961937,3,0.355770341,37.0,0.41877551,0.003484905,146.3,50.0,0.000184517,1540.792857,0.000136
Avancen,United States,North America,Medical Devices & Equipment,1,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
Charleston Laboratories,United States,North America,Pharmaceuticals / Drugs,1,162,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
KIYATEC,United States,North America,Drug Development,1,163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.05e-30,6.05e-30,6.05e-30,1.0,1.0,1.0,2.0,2.0,2.0,0.000201126,0.000201126,0.000201126,0.0,0.0,0.0,0.0,0.0,0.0,1,0.000225023,1.0,0.0,3.07e-37,1.0,1.0,0.000224972,1.0,0.0
Lab21,United Kingdom,Europe,Medical Devices & Equipment,1,164,0.351838498,0.214320835,0.276215342,0.000782573,1.02e-05,1.83e-05,0.833333333,0.370489174,0.4,0.02155672,3.26e-06,0.000398937,165.7356322,11.75,76.0,87.0,4.0,5.0,0.000433295,7.07e-05,0.000101351,1888.12619,1097.705952,1433.709524,0.000778014,6.93e-06,1.3e-05,3,0.310373821,9.0,0.527272727,0.000521856,95.27272727,11.0,8.1e-05,1465.710714,0.000384784
Alpha Innotech,United States,North America,Drug Development,1,165,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
BioForm Medical,United States,North America,Pharmaceuticals / Drugs,1,166,0.384101941,0.384101941,0.384101941,0.01210834,0.01210834,0.01210834,0.190640177,0.190640177,0.190640177,0.079838898,0.079838898,0.079838898,63.96688742,63.96688742,63.96688742,151.0,151.0,151.0,0.002266842,0.002266842,0.002266842,911.1761905,911.1761905,911.1761905,0.012288483,0.012288483,0.012288483,1,0.320419969,21.0,1.0,0.006974628,55.80952381,21.0,0.000528987,458.7166667,0.0
Optimer Pharmaceuticals,United States,North America,Pharmaceuticals / Drugs,1,169,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
Sabal Medical,United States,North America,Healthcare Software,1,172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.53e-28,8.53e-28,8.53e-28,1.0,1.0,1.0,2.0,2.0,2.0,0.000232019,0.000232019,0.000232019,0.0,0.0,0.0,0.0,0.0,0.0,1,,,,,,,,,
Mitralign,United States,North America,Medical Devices & Equipment,1,173,0.414573754,0.289489431,0.314217537,0.025504625,7.38e-06,0.0018121105,0.666666667,0.10316256,0.22738943150000002,0.0614416,0.000542801,0.003042332,99.13249211,46.07142857,72.327710845,317.0,5.0,48.5,0.002504727,8.59e-05,0.000500233,1796.214286,1190.72619,1321.7964285,0.027007437,4.83e-06,0.0017127485,4,0.373791692,61.0,0.733589088,0.00965108,152.4347826,69.0,0.000321237,1240.752381,0.000500868
USGI Medical,United States,North America,Medical Devices & Equipment,1,174,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
Valeritas,United States,North America,Drug Delivery,1,178,0.264090595,0.264090595,0.264090595,0.00468915,0.00468915,0.00468915,0.142642643,0.142642643,0.142642643,0.000149224,0.000149224,0.000149224,14.41025641,14.41025641,14.41025641,39.0,39.0,39.0,0.000824645,0.000824645,0.000824645,1471.853571,1471.853571,1471.853571,0.004665545,0.004665545,0.004665545,1,0.374560334,129.0,1.0,0.009034308,209.9612403,129.0,0.000246146,2012.709524,0.0
Vantage Oncology,United States,North America,Medical Facilities & Services,1,186,0.358151742,0.293618286,0.327495748,0.002870297,0.000730667,0.000949081,0.307189542,0.19541842,0.201587302,0.019297302,0.001557564,0.007101261,64.4516129,32.66666667,62.61111111,93.0,18.0,36.0,0.001052118,0.000363431,0.000507597,1136.75,904.5571429,1027.785714,0.002819287,0.000596642,0.00062269,3,0.350731561,30.0,0.524358974,0.01240278,91.65,40.0,0.000402656,790.4428571,0.000168503
Intersect ENT,United States,North America,Drug Delivery,1,194,0.377265562,0.374394102,0.375829832,0.005133335,0.002526363,0.0038298489999999998,0.169375345,0.119616189,0.144495767,0.022641276,0.021391222,0.022016249,129.0948905,106.1616766,117.62828354999999,167.0,137.0,152.0,0.001061113,0.00078635,0.0009237315000000001,1946.459524,1922.5,1934.479762,0.005325557,0.002628041,0.003976799,2,0.34277462,37.0,0.529468599,0.003259954,142.0434783,46.0,0.000152185,1488.559524,3.51e-05
Synapsin Pharmaceuticals,United States,North America,Pharmaceuticals / Drugs,1,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
INDIGO Biosciences,United States,North America,Biotechnology,1,206,0.182737949,0.182737949,0.182737949,0.0,0.0,0.0,1.0,1.0,1.0,1.19e-07,1.19e-07,1.19e-07,6.833333333,6.833333333,6.833333333,6.0,6.0,6.0,0.000144863,0.000144863,0.000144863,932.5214286,932.5214286,932.5214286,0.0,0.0,0.0,1,0.206884506,6.0,1.0,6.07e-08,6.666666667,6.0,0.000205161,946.5753968,0.0
Aetion,United States,North America,Internet Software & Services,1,226,0.291715648,0.236870345,0.2642929965,0.001329317,6.03e-07,0.00066496,0.904761905,0.166250095,0.535506,0.021597844,0.000904716,0.01125128,135.7142857,132.8727273,134.2935065,165.0,7.0,86.0,0.000433241,3.32e-05,0.0002332205,3990.792857,3130.27619,3560.5345235,0.001407101,4.87e-07,0.000703794,2,0.281419774,12.0,0.863636364,0.00022427,124.3333333,,2.56e-05,3506.37619,1.2e-06
Almedtrac,United States,North America,Healthcare Software,1,235,0.266795825,0.266795825,0.266795825,0.0026431,0.0026431,0.0026431,0.283333333,0.283333333,0.283333333,0.000193962,0.000193962,0.000193962,17.48,17.48,17.48,25.0,25.0,25.0,0.000417252,0.000417252,0.000417252,1326.761905,1326.761905,1326.761905,0.002078601,0.002078601,0.002078601,1,0.265373899,33.0,1.0,1.6e-05,38.63636364,33.0,0.00023039,1135.484524,0.0
VLST Corporation,United States,North America,Biotechnology,1,239,0.426570388,0.326087695,0.370533405,0.027053269,0.000303975,0.0039078125,0.256157635,0.094394586,0.1423772215,0.094618368,0.004596766,0.0171658585,89.81323877,67.2189781,87.22427586,423.0,29.0,131.0,0.003117197,0.000284932,0.0011299370000000001,1718.202381,1251.052381,1453.984524,0.028403519,0.000246766,0.0038713045,4,0.395755297,89.0,0.523178808,0.041224484,173.6357616,151.0,0.000647844,1199.342857,0.00021627
Arteriocyte,United States,North America,Drug Development,1,249,0.269003068,0.269003068,0.269003068,5.49e-05,5.49e-05,5.49e-05,0.333333333,0.333333333,0.333333333,0.000274704,0.000274704,0.000274704,39.8,39.8,39.8,5.0,5.0,5.0,8.82e-05,8.82e-05,8.82e-05,1327.095238,1327.095238,1327.095238,2.28e-05,2.28e-05,2.28e-05,1,0.253021139,4.0,1.0,1.15e-05,11.0,4.0,9.55e-05,1053.758333,0.0
Ash Access Technology,United States,North America,Pharmaceuticals / Drugs,1,250,0.354068348,0.322884888,0.33847661799999995,0.000888419,0.000117459,0.000502939,0.310344828,0.213738509,0.2620416685,0.013680194,0.005000212,0.009340203,115.9666667,110.9101124,113.43838955000001,89.0,30.0,59.5,0.000562119,0.000214543,0.000388331,1654.359524,1502.632143,1578.4958335000001,0.000875285,9.5e-05,0.0004851425,2,0.335943123,16.0,0.641666667,0.002525018,199.8125,16.0,8.72e-05,1265.302381,2.45e-06
Asterand Bioscience,United States,North America,Drug Discovery,1,254,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
Banyan Biomarkers,United States,North America,Biotechnology,1,270,0.254868321,0.20537964,0.2301239805,0.000278054,1.12e-05,0.000144627,0.6,0.276923077,0.4384615385,0.003563004,4.95e-05,0.001806252,133.25,18.0,75.625,28.0,6.0,17.0,9.28e-05,4.19e-05,6.735000000000001e-05,3417.852381,2685.370238,3051.6113095,0.000246855,5.23e-06,0.0001260425,2,0.271405515,3.0,0.5,0.000204341,206.75,,2.27e-05,3387.090476,1.5e-05
BioProtection Systems,United States,North America,Biotechnology,1,282,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
Comprehend Systems,United States,North America,Internet Software & Services,1,287,0.323034411,0.243146132,0.24873568499999998,0.00168036,4.37e-08,2.895e-05,0.952380952,0.184366577,0.5759740259999999,0.011436024,0.000161172,0.0001945475,117.8405797,26.33333333,28.714743589999998,108.0,8.0,10.5,0.000544806,8.74e-05,0.00010235149999999999,2196.305952,1593.076587,1630.7742065,0.001643335,4.72e-08,1.3655e-05,9,0.287127235,5.0,0.305555556,0.000140392,49.55555556,,0.000101297,1796.236111,0.000288738
Cellular Dynamics International,United States,North America,Drug Development,1,297,0.321558824,0.296099901,0.30882936250000004,0.000218784,3.14e-05,0.000125092,0.663043478,0.355179704,0.5091115909999999,0.005349442,0.00221299,0.0037812160000000004,97.61363636,79.625,88.61931818,44.0,24.0,34.0,0.000261086,0.000152595,0.0002068405,1710.609524,1558.766667,1634.6880955000001,0.000199895,2.22e-05,0.0001110475,2,0.277392921,3.0,0.666666667,8.96e-05,92.33333333,3.0,4.48e-05,1294.713095,8.27e-07
Clearflow,United States,North America,Medical Devices & Equipment,1,305,0.000232072,0.000232072,0.000232072,0.0,0.0,0.0,0.0,0.0,0.0,2.49e-25,2.49e-25,2.49e-25,2.0,2.0,2.0,3.0,3.0,3.0,0.000232019,0.000232019,0.000232019,1.0,1.0,1.0,0.0,0.0,0.0,1,,,,,,,,,
CleveX,United States,North America,Medical Devices & Equipment,1,308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6399999999999995e-28,4.6399999999999995e-28,4.6399999999999995e-28,1.0,1.0,1.0,2.0,2.0,2.0,0.000210881,0.000210881,0.000210881,0.0,0.0,0.0,0.0,0.0,0.0,1,,,,,,,,,
Alimera Sciences,United States,North America,Pharmaceuticals / Drugs,1,314,0.41585675,0.351871193,0.384583341,0.016477645,0.003484089,0.0037451615,0.165988948,0.118788375,0.140023288,0.088763721,0.008757028,0.0237291035,108.5390071,76.26315789,91.46943352,350.0,76.0,128.5,0.002414738,0.000779013,0.001074909,1664.666667,1371.219048,1499.4095235,0.017396627,0.003584465,0.003826268,4,0.391659351,72.0,0.426034858,0.027522428,147.7720588,136.0,0.000628562,1184.933333,0.000480762
EMSystems,United States,North America,Internet Software & Services,1,316,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
FLAVORx,United States,North America,Pharmaceuticals / Drugs,1,318,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
Diagnostic Hybrids,United States,North America,Medical Devices & Equipment,1,328,0.296203384,0.289859272,0.293031328,0.000942097,0.0,0.0004710485,1.0,0.238095238,0.619047619,0.001457056,0.000772761,0.0011149085,70.22222222,34.81818182,52.52020202,22.0,9.0,15.5,0.000326943,0.000111053,0.000218998,1125.095238,1097.528571,1111.3119045,0.000816043,0.0,0.0004080215,2,0.276682362,9.0,0.8,0.000108868,23.0,10.0,0.000220151,800.0571429,0.000317173
Cambridge Temperature Concepts,United Kingdom,Europe,Medical Devices & Equipment,1,329,0.258248231,0.200528708,0.200538767,0.00108197,0.0,4.05e-08,1.0,0.3,0.666666667,0.000112812,8.14e-07,8.2e-07,25.6,3.5,3.6,5.0,4.0,5.0,0.000186503,0.000141592,0.000182033,1333.271429,1020.238095,1020.738095,0.00108197,0.0,4.05e-08,3,0.262418896,3.0,0.666666667,1.54e-05,31.66666667,3.0,6.87e-05,1217.755952,1.28e-05
DiscoveryBioMed,United States,North America,Drug Discovery,1,332,0.265507748,0.265507748,0.265507748,0.003200835,0.003200835,0.003200835,0.190690691,0.190690691,0.190690691,0.00016715,0.00016715,0.00016715,15.97435897,15.97435897,15.97435897,39.0,39.0,39.0,0.000692211,0.000692211,0.000692211,1480.036905,1480.036905,1480.036905,0.003296248,0.003296248,0.003296248,1,0.31940518,43.0,1.0,0.000741689,85.79069767,43.0,0.000154674,1680.428571,0.0
Asensus Surgical,United States,North America,Medical Devices & Equipment,1,340,0.405408998,0.280200888,0.30723821,0.012235844,0.0,5.26e-05,1.0,0.118482118,0.32967033,0.049962408,0.000372781,0.001824499,119.003367,79.25,112.75,297.0,4.0,16.0,0.001692174,6.11e-05,0.000128213,2094.6,1380.595238,1537.442857,0.013209909,0.0,3.08e-05,3,0.364536466,47.0,0.920212766,0.004574386,185.6666667,48.0,0.000152187,1569.509524,5.27e-05
ArtusLabs,United States,North America,Drug Discovery,1,341,0.296737242,0.22297495,0.25985609600000004,0.000489935,0.0,0.0002449675,0.244444444,0.0,0.122222222,0.000948707,6.8e-06,0.0004777535,83.25,5.0,44.125,12.0,3.0,7.5,0.000145407,7.24e-05,0.0001089035,1549.266667,1138.664286,1343.9654765,0.000465429,0.0,0.0002327145,2,0.284665828,5.0,1.0,8.7e-05,48.0,5.0,5.75e-05,1322.794048,0.0
BioRegen,China,Asia,Medical Devices & Equipment,1,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
Suneva Medical,United States,North America,Drug Manufacturing,1,350,0.347054651,0.347054651,0.347054651,0.003454755,0.003454755,0.003454755,0.272115385,0.272115385,0.272115385,0.014587156,0.014587156,0.014587156,140.8461538,140.8461538,140.8461538,65.0,65.0,65.0,0.000465064,0.000465064,0.000465064,1621.49881,1621.49881,1621.49881,0.003425848,0.003425848,0.003425848,1,0.325775312,12.0,1.0,0.000764796,116.6666667,12.0,9.27e-05,1215.169048,0.0
Pharmacopeia,United States,North America,Pharmaceuticals / Drugs,1,352,0.406881828,0.303196317,0.37621388099999997,0.016028489,4.05e-08,0.004283486499999999,0.836363636,0.096373662,0.171265827,0.119254907,0.006342988,0.07727616849999999,235.0,88.1879845,108.03065215000001,516.0,13.0,300.5,0.002805308,9.97e-05,0.0015624035000000001,1844.97619,1285.972619,1669.3142855,0.01711097,3.4e-08,0.004436103,12,0.367199075,89.0,0.682754183,0.033373785,181.6891892,148.0,0.000484333,1258.545238,8.98e-05
Endotronix,United States,North America,Medical Devices & Equipment,1,354,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
FluGen,United States,North America,Drug Development,1,371,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
Adamas Pharmaceuticals,United States,North America,Pharmaceuticals / Drugs,1,387,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
